45_d500_124_7_badger_2015-09-01,45_d500_124_8_badger_2015-06-01,45_d500_124_9_badger_2018-07-01,45_d500_147_0_badger_2020-02-01,45_d500_152_0_badger_2020-02-01,45_d500_157_858_0_badger_2016-05-01,45_d500_160_0_badger_2007-10-01,45_d500_160_1_badger_2012-05-01,45_d500_163_0_badger_2020-02-01,45_d500_99_766_0_badger_2019-07-01,45_d500_99_766_1_badger_2015-01-01,45_d500_99_766_2_badger_2014-08-01,45_d500_99_766_3_badger_2014-04-01,45_d500_99_866_0_badger_2015-06-01,45_d500_99_866_1_badger_2015-12-01,45_d500_99_866_2_badger_2016-06-01,45_d500_99_866_3_badger_2014-09-01,45_d500_99_866_4_badger_2014-05-01,64310006_0_cattle_2020-02-01,64310006_1_cattle_2020-02-01,64310006_2_cattle_2020-02-01,64349048_0_cattle_2020-02-01,64349048_1_cattle_2020-02-01,64349053_0_cattle_2019-12-01,64349068_0_cattle_2017-10-01,64349068_1_cattle_2019-01-01,64349068_2_cattle_2019-01-01,64349068_3_cattle_2019-01-01,64349068_4_cattle_2018-12-01,64349_0_boar_2018-09-01,64349_10_boar_2019-03-01,64349_11_boar_2019-01-01,64349_12_boar_2020-02-01,64349_13_boar_2020-02-01,64349_14_boar_2020-02-01,64349_15_boar_2020-02-01,64349_16_boar_2019-10-01,64349_17_boar_2020-02-01,64349_18_boar_2020-02-01,64349_19_boar_2019-09-01,64349_1_boar_2018-06-01,64349_20_boar_2020-02-01,64349_21_boar_2020-02-01,64349_2_boar_2017-09-01,64349_3_boar_2020-02-01,64349_4_boar_2018-12-01,64349_5_boar_2018-05-01,64349_6_boar_2018-06-01,64349_7_boar_2020-02-01,64349_8_boar_2018-09-01,64349_9_boar_2019-06-01,64420009_0_cattle_2017-05-01,64420009_10_cattle_2017-03-01,64420009_11_cattle_2017-03-01,64420009_12_cattle_2017-05-01,64420009_13_cattle_2017-03-01,64420009_14_cattle_2017-05-01,64420009_15_cattle_2017-03-01,64420009_16_cattle_2017-03-01,64420009_17_cattle_2017-03-01,64420009_1_cattle_2017-03-01,64420009_2_cattle_2017-03-01,64420009_3_cattle_2017-03-01,64420009_4_cattle_2017-03-01,64420009_5_cattle_2017-03-01,64420009_6_cattle_2017-03-01,64420009_7_cattle_2017-03-01,64420009_8_cattle_2017-03-01,64420009_9_cattle_2017-05-01,64420015_0_cattle_2007-12-01,64420015_1_cattle_2008-01-01,64420015_2_cattle_2011-03-01,64420015_3_cattle_2011-05-01,64420035_0_cattle_2008-02-01,64420035_10_cattle_2014-05-01,64420035_11_cattle_2014-05-01,64420035_12_cattle_2014-05-01,64420035_13_cattle_2014-05-01,64420035_14_cattle_2014-05-01,64420035_15_cattle_2014-05-01,64420035_16_cattle_2014-05-01,64420035_17_cattle_2014-05-01,64420035_18_cattle_2014-05-01,64420035_19_cattle_2014-05-01,64420035_1_cattle_2008-03-01,64420035_20_cattle_2014-05-01,64420035_21_cattle_2014-05-01,64420035_22_cattle_2014-05-01,64420035_23_cattle_2014-04-01,64420035_24_cattle_2014-05-01,64420035_25_cattle_2015-12-01,64420035_2_cattle_2008-03-01,64420035_3_cattle_2008-03-01,64420035_5_cattle_2014-05-01,64420035_6_cattle_2014-05-01,64420035_7_cattle_2014-04-01,64420035_8_cattle_2014-05-01,64420035_9_cattle_2014-05-01,64420038_0_cattle_2018-12-01,64420039_0_cattle_2014-12-01,64420039_1_cattle_2014-12-01,64420039_2_cattle_2014-12-01,64420039_3_cattle_2015-02-01,64420039_4_cattle_2014-12-01,64420039_5_cattle_2015-02-01,64420039_6_cattle_2015-02-01,64420047_0_cattle_2014-01-01,64420047_1_cattle_2014-01-01,64420047_2_cattle_2014-01-01,64420047_3_cattle_2013-11-01,64420047_4_cattle_2014-01-01,64420047_5_cattle_2014-01-01,64512027_0_cattle_2019-11-01,64512027_1_cattle_2019-12-01
0,0,0,0,0,0,0,0,0,0,0,0.004199160167966408,0.02119576084783039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0.001399720055988802,0,0,0.04899020195960793,0.09858028394321228,0.06938612277544493,0.03459308138372316,0.06098780243951191,0.027194561087782378,0.027594481103779177,0,0,0,0,0,0,0,0
0,0.008998200359928014,0,0,0,0,0,0,0,0,0.02159568086382719,0,0.5478904219155905,0.0035992801439712063,0.0011997600479904018,0,0,3.999200159968006e-4,0,0,0,0,0,0,0.005798840231953611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519896020795841,0,0,0.011797640471905608,0,0,0,0.004199160167966408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007198560287942414,9.998000399920016e-4,0.008998200359928014,0.009798040391921612,0,0.0031993601279744054,0.017596480703859198,7.998400319936012e-4,0,0,0,0,0.01059788042391521,0.0157968406318736,0.012397520495900807,0,0.8020395920815299,0,0,0.008598280343931215,0,0.00519896020795841,0.14097180563887446,9.998000399920016e-4,0,0.004199160167966408,0.002999400119976005,0.003999200159968007,0,0.0035992801439712063,0,0,0.008198360327934416,0.008998200359928014,0.014597080583883202,0.019196160767846394,0.009998000399920012,0.0067986402719456135,0,0
0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0.6494701059787669,0.306938612277544,0,7.998400319936012e-4,1.999600079984003e-4,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,5.998800239952009e-4,0.007398520295940815,1.999600079984003e-4,0,0.006198760247950412,3.999200159968006e-4,5.998800239952009e-4,0,0,0,0.00519896020795841,0.012597480503899207,0.008398320335932815,9.998000399920016e-4,0.09858028394321228,0,0,5.998800239952009e-4,0,0.008998200359928014,0.06418716256748636,0.002199560087982403,0,0.1329734053189382,0.16296740651869918,0.14937012597480753,0.056988602279543915,0.14057188562287765,0.038192361527694355,0.04359128174365114,0.0045990801839632086,0.005598880223955211,0.009198160367926414,0.018796240751849595,0.006998600279944014,0.0045990801839632086,0,0
0.19236152769446493,0.5378924215156715,0.012997400519896006,0,0,0,0,0,0,0,0,0,0,0,0.11657668466306886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0.002199560087982403,0,0.003999200159968007,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,1.999600079984003e-4,0,0,0.0031993601279744054,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0.012597480503899207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42671465706857287,0.10577884423115491,0.10297940411917722,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0.17856428714257488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,3.999200159968006e-4,1.999600079984003e-4,0,5.998800239952009e-4,0.0027994401119776045,0.00519896020795841,9.998000399920016e-4,7.998400319936012e-4,0.052589482103579124,0.005598880223955211,0.013997200559888004,0,0.008798240351929614,0.011397720455908809,0,0.0011997600479904018,0.0011997600479904018,0,0,0,0,0,0,0,3.999200159968006e-4,3.999200159968006e-4,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,0,0.004399120175964808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.3791241751649587,0,0,0,0,0,0,0,0,0,0,0.0163967206558688,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.30633873225354885,0,0,0,0,0,0,0,0,0,0.19956008798240757,0,0.03139372125574877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0.18916216756649043,0.05078984203159353,0,0.01099780043991201,0,0.014797040591881602,0,0.012997400519896006,0,0,0,0.01059788042391521,0,0,0,0,0.008598280343931215,0.056388722255548716,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,7.998400319936012e-4,7.998400319936012e-4,0,0,0
0,0,0,0,0,0.02099580083983199,0,0,0,0,0,0,0,0,0,0.014197160567886403,0.06378724255148954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019596080783843194,0,0,0.09158168366326805,0.47210557888420485,0,0.022795440911817587,0,0.022595480903819187,0,0.018196360727854397,0,0,0,0.011797640471905608,0,0,0,0,0.014997000599880001,0.10917816436712782,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0.003399320135972806,0,0,0.004399120175964808,0.0031993601279744054,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006398720255948813,0.02679464107178558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0.03159368126374717,0,0.022195560887822388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
