tinfection,tremoved,infector_id,infected_id
2010.1453865095384,2012.4153005464632,29,45_d500_156_2_badger_2012-06-01
2012.3989370382674,2013.4136986302178,42,45_d500_156_3_badger_2013-06-01
2012.5832773748932,2013.4136986302237,198,45_d500_156_4_badger_2013-06-01
2019.009915561389,2019.328767123339,220,45_d500_156_5_badger_2019-05-01
2011.0885950037475,2012.666666666731,29,45_d500_157_858_0_badger_2012-09-01
2012.1811106708894,2013.3287671233727,36,45_d500_157_858_1_badger_2013-05-01
2012.605993631336,2014.3287671233168,188,45_d500_157_858_2_badger_2014-05-01
2008.856685180001,2009.8328767123962,49,45_d500_157_858_3_badger_2009-11-01
2007.991744605874,2008.666666666684,153,45_d500_157_858_4_badger_2008-09-01
2011.5459517714578,2012.1639344263272,162,45_d500_157_858_5_badger_2012-03-01
2010.8804486562626,2013.3287671233181,166,45_d500_157_858_6_badger_2013-05-01
2012.6966048155964,2012.8333333333455,44,45_d500_157_858_7_badger_2012-11-01
2011.519944853869,2013.6657534246754,163,45_d500_157_858_8_badger_2013-09-01
2007.5206148375871,2008.6666666667634,179,45_d500_160_1_badger_2008-09-01
2012.3312889665824,2012.8333333334135,55,45_d500_160_2_badger_2012-11-01
2008.675521226788,2009.413698630233,49,45_d500_160_3_badger_2009-06-01
2012.1525607893816,2013.3287671233234,132,45_d500_163_0_badger_2013-05-01
2008.3769883894622,2009.1616438356643,45,45_d500_163_1_badger_2009-03-01
2013.8560099716067,2015.3287671233693,141,45_d500_163_2_badger_2015-05-01
2010.690069662365,2012.9999999999998,221,45_d500_163_3_badger_2013-01-01
2018.9236494850945,2019.665753424659,89,45_d500_171_0_badger_2019-09-01
2016.280848546815,2016.4153005465168,78,45_d500_171_1_badger_2016-06-01
2016.8951582993936,2017.1616438357094,68,45_d500_37_760_0_badger_2017-03-01
2011.3363485043344,2013.4136986301644,132,45_d500_61_1_badger_2013-06-01
2016.4558805819884,2016.4972677596443,92,45_d500_78_668_0_badger_2016-07-01
2016.4567429055362,2018.328767123366,62,45_d500_99_720_0_badger_2018-05-01
2012.4441541320152,2013.4136986302358,232,45_d500_99_720_1_badger_2013-06-01
2012.960603563074,2013.3287671233497,58,45_d500_99_720_2_badger_2013-05-01
2011.7263548877006,2013.0849315069192,42,45_d500_99_766_0_badger_2013-02-01
2012.5842581401155,2015.0849315069258,42,45_d500_99_766_1_badger_2015-02-01
2014.9433874665654,2016.4972677596518,92,45_d500_99_766_2_badger_2016-07-01
2013.2290198799951,2013.4136986301994,44,45_d500_99_766_3_badger_2013-06-01
2015.0624843898236,2015.4136986301628,30,45_d500_99_839_0_badger_2015-06-01
2008.2014047373507,2009.9150684932365,155,45_d500_99_839_1_badger_2009-12-01
2010.2441685731308,2011.1616438356582,221,45_d500_99_866_0_badger_2011-03-01
2009.4906380083262,2009.6657534246986,221,45_d500_99_866_1_badger_2009-09-01
2016.410282142617,2017.1616438356625,62,64165002_0_cattle_2017-03-01
2016.240394594154,2017.6657534246792,88,64201014_0_cattle_2017-09-01
2018.0388268348318,2019.9150684931574,271,64253028_0_cattle_2019-12-01
2019.8746767061875,2020.0846994535793,249,64253028_1_cattle_2020-02-01
2020.0382741594135,2020.084699453583,241,64253_1_boar_2020-02-01
2020.0514490934804,2020.0846994535561,238,64253_2_boar_2020-02-01
2019.7748630859019,2020.0846994535702,255,64253_3_boar_2020-02-01
2020.0258315505127,2020.0846994535702,242,64253_4_boar_2020-02-01
2015.9827352717195,2016.2486338798567,85,64281001_0_cattle_2016-04-01
2015.2714568578956,2016.24863387981,272,64281001_1_cattle_2016-04-01
2015.126595178766,2016.0846994536387,235,64281001_2_cattle_2016-02-01
2015.604057898283,2016.084699453592,78,64281001_3_cattle_2016-02-01
2016.0712533238786,2016.2486338798385,85,64281001_4_cattle_2016-04-01
2016.1158001177203,2016.2486338798162,79,64281001_5_cattle_2016-04-01
2015.9566541468657,2016.0846994536191,77,64281001_6_cattle_2016-02-01
2016.0577122785694,2016.2486338797837,79,64281001_7_cattle_2016-04-01
2016.1123344377436,2016.2486338798212,79,64281001_8_cattle_2016-04-01
2015.2278337763457,2016.2486338798012,272,64281001_9_cattle_2016-04-01
2014.7466637432863,2015.9150684932363,87,64281003_0_cattle_2015-12-01
2014.3799034057442,2016.2486338798783,93,64281003_1_cattle_2016-04-01
2014.7616735522265,2016.7486338798135,87,64281_0_boar_2016-10-01
2017.6467909034125,2018.7479452055527,88,64281_1_boar_2018-10-01
2012.2176813448182,2014.1616438356493,55,64306_0_boar_2014-03-01
2014.059238585025,2014.7479452055775,12,64306_1_boar_2014-10-01
2014.4559438546019,2016.248633879821,18,64306_2_boar_2016-04-01
2013.5128799582083,2015.0849315068867,231,64326020_0_cattle_2015-02-01
2020.0803142541488,2020.0846994536078,236,64328040_0_cattle_2020-02-01
2019.9459004926484,2020.0846994535982,127,64328040_1_cattle_2020-02-01
2019.7823187746396,2020.0846994535716,254,64328040_2_cattle_2020-02-01
2019.7955669277876,2020.0846994535946,127,64328040_3_cattle_2020-02-01
2019.8683387967715,2020.0846994535611,127,64328040_4_cattle_2020-02-01
2020.0251106767946,2020.0846994535634,243,64359001_0_cattle_2020-02-01
2019.37471209642,2020.084699453596,113,64359001_1_cattle_2020-02-01
2019.199089522878,2020.0846994535718,113,64359001_2_cattle_2020-02-01
2018.3490527237732,2019.084931506892,109,64359005_3_cattle_2019-02-01
2018.1957821310139,2019.4136986302349,271,64359005_5_cattle_2019-06-01
2019.8706681209776,2020.0846994536348,114,64359005_7_cattle_2020-02-01
2018.4132909272937,2019.0000000000286,270,64359045_0_cattle_2019-01-01
2019.4217743713614,2020.0846994536114,125,64359045_2_cattle_2020-02-01
2018.0226441159152,2018.9150684932404,120,64359056_0_cattle_2018-12-01
2018.6406136266737,2019.0849315068945,121,64359056_1_cattle_2019-02-01
2018.037084030339,2019.084931506864,121,64359056_2_cattle_2019-02-01
2018.230301432529,2019.0849315068622,120,64359056_3_cattle_2019-02-01
2018.3444666924124,2019.0849315068517,133,64359056_4_cattle_2019-02-01
2018.5357067743394,2019.0849315069229,124,64359056_5_cattle_2019-02-01
2018.6540401518012,2019.2465753425029,262,64359056_6_cattle_2019-04-01
2019.77757930278,2020.0846994536093,106,64359056_7_cattle_2020-02-01
2020.0482717852185,2020.0846994536344,239,64359061_0_cattle_2020-02-01
2018.7787225651139,2019.4958904110404,262,64359103_0_cattle_2019-07-01
2018.7631113531563,2019.328767123375,262,64359103_1_cattle_2019-05-01
2019.1867501352313,2019.3287671232988,117,64359103_2_cattle_2019-05-01
2018.9510623891986,2019.1616438357116,262,64359103_3_cattle_2019-03-01
2017.5073088793863,2018.0849315069058,124,64359138_0_cattle_2018-02-01
