19_d500_10_0_badger_2017-05-01,2_d500_28_0_badger_2017-08-01,2_d500_41_0_badger_2019-07-01,2_d500_42_0_badger_2019-09-01,2_d500_43_0_badger_2014-07-01,2_d500_6_0_badger_2018-06-01,2_d500_9_0_badger_2015-05-01,40089001_0_cattle_2014-04-01,40089001_1_cattle_2014-05-01,40089001_2_cattle_2014-05-01,40089001_3_cattle_2014-05-01,40089001_4_cattle_2014-05-01,40089001_5_cattle_2014-05-01,40089001_6_cattle_2014-05-01,40089001_7_cattle_2014-05-01,40089001_8_cattle_2014-05-01,40089001_9_cattle_2014-05-01,40203001_0_cattle_2016-12-01,40203001_1_cattle_2016-12-01,40203015_0_cattle_2016-02-01,40203015_1_cattle_2016-02-01,40203015_2_cattle_2016-01-01,40203015_3_cattle_2016-02-01,40203015_4_cattle_2016-02-01,40203015_5_cattle_2016-02-01,40203015_6_cattle_2016-02-01,40203015_7_cattle_2016-02-01,40203015_8_cattle_2016-02-01,45_d500_155_880_0_badger_2020-02-01,45_d500_156_0_badger_2015-02-01,45_d500_156_1_badger_2011-04-01,45_d500_157_858_0_badger_2013-05-01,45_d500_157_858_1_badger_2013-08-01,45_d500_159_855_0_badger_2012-03-01,45_d500_160_0_badger_2018-06-01,45_d500_163_0_badger_2013-06-01,45_d500_163_1_badger_2020-02-01,45_d500_57_715_0_badger_2013-07-01,45_d500_61_0_badger_2017-08-01,45_d500_61_1_badger_2020-02-01,45_d500_78_668_0_badger_2014-02-01,45_d500_78_668_1_badger_2017-05-01,45_d500_99_866_0_badger_2011-09-01,45_d500_99_866_1_badger_2013-04-01,45_d500_99_866_2_badger_2013-09-01,45_d500_99_866_3_badger_2014-03-01,45_d500_99_866_4_badger_2019-06-01,45_d500_99_866_5_badger_2014-08-01,45_d500_99_869_0_badger_2020-02-01,45_d500_99_869_1_badger_2014-08-01,64359108_0_cattle_2020-02-01,64359108_1_cattle_2020-02-01,64359187_0_cattle_2014-01-01,64359187_1_cattle_2014-01-01,64359187_2_cattle_2014-01-01,64359189_0_cattle_2018-03-01,64420009_0_cattle_2014-03-01,64420009_10_cattle_2017-04-01,64420009_11_cattle_2017-02-01,64420009_12_cattle_2017-02-01,64420009_13_cattle_2017-04-01,64420009_14_cattle_2017-02-01,64420009_15_cattle_2017-04-01,64420009_16_cattle_2017-04-01,64420009_17_cattle_2017-04-01,64420009_1_cattle_2014-01-01,64420009_2_cattle_2014-01-01,64420009_3_cattle_2014-01-01,64420009_4_cattle_2014-01-01,64420009_5_cattle_2014-01-01,64420009_6_cattle_2014-03-01,64420009_7_cattle_2014-01-01,64420009_8_cattle_2014-03-01,64420009_9_cattle_2017-04-01,64420015_0_cattle_2007-04-01,64420015_1_cattle_2007-06-01,64420015_2_cattle_2007-04-01,64420035_0_cattle_2012-05-01,64420035_10_cattle_2012-07-01,64420035_11_cattle_2012-05-01,64420035_12_cattle_2012-07-01,64420035_13_cattle_2012-07-01,64420035_14_cattle_2012-07-01,64420035_15_cattle_2012-05-01,64420035_16_cattle_2012-05-01,64420035_17_cattle_2012-07-01,64420035_18_cattle_2012-07-01,64420035_19_cattle_2012-05-01,64420035_1_cattle_2012-07-01,64420035_20_cattle_2012-05-01,64420035_21_cattle_2012-07-01,64420035_22_cattle_2016-03-01,64420035_2_cattle_2012-05-01,64420035_3_cattle_2012-05-01,64420035_4_cattle_2012-05-01,64420035_5_cattle_2012-05-01,64420035_6_cattle_2012-05-01,64420035_7_cattle_2012-05-01,64420035_8_cattle_2012-05-01,64420035_9_cattle_2012-05-01
0,0,0,0,0,0,0,0,0.011597680463907209,9.998000399920016e-4,0,0.017396520695860798,0,0.06618676264747042,0.3805238952209474,0.06398720255948795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,0,0,0.0011997600479904018,0,0,0,0,0.056388722255548716,0,0,0,5.998800239952009e-4,0,0,0.002199560087982403,0,0.0023995200959808036,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0.003399320135972806,0.012197560487902407,0.018796240751849595,0.0045990801839632086,9.998000399920016e-4,1.999600079984003e-4,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7.998400319936012e-4,0.44011197760446424,0,0.013997200559888004,0,1.999600079984003e-4,0.022995400919815986,0.014597080583883202,0.013597280543891204,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,5.998800239952009e-4,0,0,0,9.998000399920016e-4,0,0.0035992801439712063,0,0,0.004399120175964808,0,0,5.998800239952009e-4,0,0.043391321735652744,0,0,0,0,0,0,0.011597680463907209,9.998000399920016e-4,0.003999200159968007,0,0.007398520295940815,0,0,0,0,0,0,0,0,0.009198160367926414,0.03659268146370716,0.04899020195960793,0.003399320135972806,5.998800239952009e-4,0.004399120175964808,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.018796240751849595,0,0.003399320135972806,0.03579284143171356,0,0.04579084183163354,0,0,0,0,0,0,0.2635472905418958,0,1.999600079984003e-4,0,0,0.0027994401119776045,0,0,1.999600079984003e-4,0,0.0019996000799840027,0,0,0.028794241151769574,0,0,0,0,0,0,0,0.002599480103979204,0,0,0.006998600279944014,0,0,0,0,0,0,0.05998800239951991,0,0.23575284943011915,0,0,1.999600079984003e-4,0.013597280543891204,1.999600079984003e-4,0,0.002199560087982403,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0.005998800239952012,0.012197560487902407,0.007198560287942414,0.02079584083183359,0.03879224155168955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5.998800239952009e-4,0.022195560887822388,0,0.10077984403119475,0.020395920815836792,0,0,0.1327734453109398,0.4905018996200557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0.002199560087982403,0,0,5.998800239952009e-4,0,0,0,0,0.10757848430314057,0,0,0,0,0,0,0.002199560087982403,0,0.003399320135972806,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0.008598280343931215,0.015996800639872,0.03019396120775837,0.002599480103979204,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0165966806638672,0,0.44851029794039615,0.02119576084783039,0,0.08938212357528558,0,0.05878824235152951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0.0015996800639872023,0,0,0.0031993601279744054,0,0,0,0,0.08418316336732701,0,0,0,0,0,0,0.0015996800639872023,0,9.998000399920016e-4,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0.002999400119976005,0.007798440311937616,0.017596480703859198,0.0031993601279744054,1.999600079984003e-4,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.013397320535892805,0,0.06938612277544493,0.014997000599880001,0,0.3235352929414094,0.06498700259947998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,5.998800239952009e-4,0,0,5.998800239952009e-4,0,0,0,0,0.07538492301539712,0,0,0,0,0,0,0.00539892021595681,0,0.0011997600479904018,0,0.001399720055988802,0,0,0,0,0,0,0,0,5.998800239952009e-4,0.01099780043991201,0.019796040791841593,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0031993601279744054,0,0.0035992801439712063,0.018396320735852796,0,0.02619476104779038,0,0,0.21835632873425778,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,1.999600079984003e-4,0,0,5.998800239952009e-4,0,0,0.022595480903819187,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0.02679464107178558,0,0.41451709658067176,0,0,0,0.010397920415916811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035992801439712063,0.004799040191961609,0.0011997600479904018,0.007798440311937616,0.02559488102379518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.024595080983803183,0.008598280343931215,7.998400319936012e-4,0,0,3.999200159968006e-4,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0.5050989802039374,0,0.0017996400719856025,0.001399720055988802,3.999200159968006e-4,0,5.998800239952009e-4,0.002599480103979204,0.0011997600479904018,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0.009598080383923213,1.999600079984003e-4,0.0049990001999600095,0.0015996800639872023,0.004799040191961609,5.998800239952009e-4,0.0019996000799840027,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0,0,0,0,0,0,0,0
0.03399320135972796,0.0027994401119776045,0,5.998800239952009e-4,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0.48990201959606056,0,0,0.001399720055988802,7.998400319936012e-4,0,1.999600079984003e-4,3.999200159968006e-4,0.004199160167966408,3.999200159968006e-4,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0.005998800239952012,0,0,0.003399320135972806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0.005598880223955211,0,0.001399720055988802,9.998000399920016e-4,0.0027994401119776045,1.999600079984003e-4,0.003399320135972806,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004199160167966408,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,3.999200159968006e-4,0,1.999600079984003e-4,0.024595080983803183,0,0.17076584683063703,9.998000399920016e-4,0,0.06618676264747042,0.408318336332722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007998400319936016,0,0,0,0,0,0,0,0
