64281003_0_cattle_2014-03-01,64281003_10_cattle_2016-02-01,64281003_11_cattle_2016-02-01,64281003_12_cattle_2016-04-01,64281003_13_cattle_2016-04-01,64281003_1_cattle_2014-01-01,64281003_2_cattle_2016-02-01,64281003_3_cattle_2016-02-01,64281003_4_cattle_2016-02-01,64281003_5_cattle_2016-02-01,64281003_6_cattle_2016-02-01,64281003_7_cattle_2016-04-01,64281003_8_cattle_2016-02-01,64281003_9_cattle_2016-04-01,64281008_0_cattle_2016-03-01,64281008_1_cattle_2016-03-01,64281008_2_cattle_2017-07-01,64281_0_boar_2017-01-01,64281_1_boar_2014-08-01,64281_2_boar_2020-02-01,64281_3_boar_2015-03-01,64281_4_boar_2015-10-01,64281_5_boar_2017-05-01,64281_6_boar_2016-03-01,64359005_1_cattle_2018-05-01,64359005_2_cattle_2018-05-01,64359005_3_cattle_2020-02-01,64359005_4_cattle_2020-02-01,64359005_5_cattle_2020-02-01,64359008_0_cattle_2020-02-01,64359008_1_cattle_2020-02-01,64359045_0_cattle_2018-06-01,64359045_1_cattle_2018-06-01,64359045_2_cattle_2018-05-01,64359045_3_cattle_2018-06-01,64359045_4_cattle_2020-02-01,64359045_5_cattle_2020-02-01,64359050_0_cattle_2019-12-01,64359050_1_cattle_2020-02-01,64359056_0_cattle_2019-02-01,64359056_1_cattle_2019-02-01,64359061_0_cattle_2019-02-01,64359061_10_cattle_2020-02-01,64359061_11_cattle_2019-12-01,64359061_12_cattle_2020-02-01,64359061_13_cattle_2020-02-01,64359061_1_cattle_2019-06-01,64359061_2_cattle_2019-09-01,64359061_3_cattle_2019-02-01,64359061_4_cattle_2019-02-01,64359061_5_cattle_2019-06-01,64359061_6_cattle_2019-04-01,64359061_7_cattle_2020-02-01,64359061_8_cattle_2019-06-01,64359061_9_cattle_2019-12-01,64359103_0_cattle_2020-02-01,64359103_1_cattle_2020-02-01,64359103_2_cattle_2020-02-01,64359103_3_cattle_2020-02-01,64359103_4_cattle_2020-02-01,64359108_0_cattle_2019-03-01,64359108_1_cattle_2019-04-01,64359108_2_cattle_2019-04-01,64359142_0_cattle_2020-02-01,64359142_1_cattle_2020-02-01,64359142_2_cattle_2020-02-01,64359142_3_cattle_2020-02-01,64359144_0_cattle_2020-02-01,64359148_0_cattle_2020-02-01,64359148_1_cattle_2020-02-01,64359149_0_cattle_2019-09-01,64359149_1_cattle_2019-05-01,64359149_2_cattle_2019-03-01,64359149_3_cattle_2019-05-01,64359149_4_cattle_2019-12-01,64359173_0_cattle_2020-02-01,64359187_0_cattle_2020-02-01,64359189_0_cattle_2020-02-01,64359196_0_cattle_2020-02-01,64359200_0_cattle_2020-02-01,64359211_0_cattle_2019-03-01,64359211_10_cattle_2020-02-01,64359211_11_cattle_2019-07-01,64359211_12_cattle_2019-07-01,64359211_13_cattle_2019-07-01,64359211_14_cattle_2019-07-01,64359211_15_cattle_2019-07-01,64359211_16_cattle_2019-07-01,64359211_17_cattle_2020-02-01,64359211_18_cattle_2020-02-01,64359211_19_cattle_2019-07-01,64359211_1_cattle_2019-07-01,64359211_20_cattle_2020-02-01,64359211_21_cattle_2019-10-01,64359211_22_cattle_2019-10-01,64359211_23_cattle_2020-02-01,64359211_24_cattle_2020-02-01,64359211_2_cattle_2019-03-01,64359211_3_cattle_2019-07-01,64359211_4_cattle_2019-07-01,64359211_5_cattle_2019-07-01,64359211_6_cattle_2019-03-01,64359211_7_cattle_2019-03-01,64359211_8_cattle_2019-07-01,64359211_9_cattle_2019-10-01,64359_0_boar_2018-08-01,64359_10_boar_2020-02-01,64359_11_boar_2020-02-01,64359_12_boar_2019-05-01,64359_13_boar_2020-02-01,64359_14_boar_2019-02-01,64359_15_boar_2020-02-01,64359_16_boar_2020-02-01,64359_17_boar_2019-11-01,64359_18_boar_2020-02-01,64359_19_boar_2020-02-01,64359_20_boar_2020-02-01,64359_21_boar_2020-02-01,64359_22_boar_2020-02-01,64359_3_boar_2018-10-01,64359_4_boar_2020-02-01,64359_5_boar_2020-02-01,64359_6_boar_2020-02-01,64359_7_boar_2018-10-01,64359_8_boar_2020-02-01,64359_9_boar_2019-05-01,64416_0_boar_2015-11-01,64416_2_boar_2019-03-01,64420009_0_cattle_2017-02-01,64420009_1_cattle_2017-02-01,64420009_2_cattle_2017-02-01,64420009_3_cattle_2017-02-01,64420012_0_cattle_2011-11-01,64420012_1_cattle_2011-05-01,64420012_2_cattle_2011-12-01,64420012_3_cattle_2011-12-01,64420015_0_cattle_2007-11-01,64420015_1_cattle_2007-11-01,64420015_2_cattle_2007-11-01,64420015_3_cattle_2007-10-01,64420015_4_cattle_2007-11-01,64420015_5_cattle_2007-11-01,64420015_6_cattle_2007-11-01,64420015_7_cattle_2007-11-01,64420039_0_cattle_2013-02-01,64420039_1_cattle_2012-12-01,64420039_2_cattle_2013-02-01,64420039_3_cattle_2012-12-01,64420039_4_cattle_2012-12-01,64420039_5_cattle_2012-12-01,64420039_6_cattle_2012-12-01,64420039_7_cattle_2012-12-01,64420039_8_cattle_2012-12-01,64420042_1_cattle_2014-12-01,64556051_0_cattle_2020-02-01,64556051_1_cattle_2020-02-01,64556_2_boar_2020-02-01
0,0.04199160167966395,0.42331533693260043,0,0,0,7.998400319936012e-4,0,0.13757248550290155,3.999200159968006e-4,0,0,1.999600079984003e-4,9.998000399920016e-4,0.004799040191961609,5.998800239952009e-4,0,0.0019996000799840027,0,0,0,7.998400319936012e-4,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.00519896020795841,0,9.998000399920016e-4,0,0,0.11017796440711985,5.998800239952009e-4,0.00539892021595681,0.009598080383923213,0,0,0,0.004199160167966408,0.004399120175964808,0.3023395320935813,0,1.999600079984003e-4,0,0,0,0.005798840231953611,0.0011997600479904018,0.006198760247950412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.008998200359928014,0,0.0929814037192569,0,0,0.012997400519896006,0,0.022395520895820788,0.37412517496499925,0,0,0,0.07018596280743855,0.019196160767846394,0.0153969206158768,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.003999200159968007,0.002599480103979204,0.3925214957008501,1.999600079984003e-4,0,0.015196960607878401,0,0.009398120375924813,0.08118376324735091,0.002999400119976005,0.002999400119976005,0.062187562487502304,0,0.010397920415916811,0.008598280343931215,0,0.002199560087982403,0,0,0,0.007198560287942414,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.11497700459908161,0.019796040791841593,0.06058788242351511,0.014597080583883202,0,0.08338332333533338,0.0157968406318736,0.08678264347130629,0.08198360327934454,0.033393321335732765,0.02179564087182559,0.052989402119575923,0.04359128174365114,0,0.03579284143171356,0.004199160167966408,0.4105178964207042,0,0,0.0049990001999600095,0.056588682263547116,0.20155968806239163,0.0037992401519696068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006398720255948813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.1575684863027422,0,0.0035992801439712063,0.0035992801439712063,0,0.4953009398120168,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0.0023995200959808036,0,0,0.0155968806238752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2549490101979655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.00539892021595681,0,5.998800239952009e-4,0,0,0,0,0.0045990801839632086,0,0.001399720055988802,0,0,0.006198760247950412,0.07698460307938437,0.0031993601279744054,0.07558488302339553,0,0,0,0,0,0.34953009398119866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0023995200959808036,0,0,0,0,0.013397320535892805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15236952609478363,0.1329734053189382,0.10577884423115491,0.09038192361527761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0.010397920415916811,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
