19_d500_10_0_badger_2017-05-01,2_d500_28_0_badger_2017-08-01,2_d500_41_0_badger_2019-07-01,2_d500_42_0_badger_2019-09-01,2_d500_43_0_badger_2014-07-01,2_d500_6_0_badger_2018-06-01,2_d500_9_0_badger_2015-05-01,40089001_0_cattle_2014-04-01,40089001_1_cattle_2014-05-01,40089001_2_cattle_2014-05-01,40089001_3_cattle_2014-05-01,40089001_4_cattle_2014-05-01,40089001_5_cattle_2014-05-01,40089001_6_cattle_2014-05-01,40089001_7_cattle_2014-05-01,40089001_8_cattle_2014-05-01,40089001_9_cattle_2014-05-01,40203001_0_cattle_2016-12-01,40203001_1_cattle_2016-12-01,40203015_0_cattle_2016-02-01,40203015_1_cattle_2016-02-01,40203015_2_cattle_2016-01-01,40203015_3_cattle_2016-02-01,40203015_4_cattle_2016-02-01,40203015_5_cattle_2016-02-01,40203015_6_cattle_2016-02-01,40203015_7_cattle_2016-02-01,40203015_8_cattle_2016-02-01,45_d500_155_880_0_badger_2020-02-01,45_d500_156_0_badger_2015-02-01,45_d500_157_858_0_badger_2013-05-01,45_d500_157_858_1_badger_2013-08-01,45_d500_159_855_0_badger_2012-03-01,45_d500_160_0_badger_2018-06-01,45_d500_163_0_badger_2013-06-01,45_d500_163_1_badger_2020-02-01,45_d500_57_715_0_badger_2013-07-01,45_d500_61_0_badger_2017-08-01,45_d500_61_1_badger_2020-02-01,45_d500_78_668_0_badger_2014-02-01,45_d500_78_668_1_badger_2017-05-01,45_d500_99_866_1_badger_2013-04-01,45_d500_99_866_2_badger_2013-09-01,45_d500_99_866_3_badger_2014-03-01,45_d500_99_866_4_badger_2019-06-01,45_d500_99_866_5_badger_2014-08-01,45_d500_99_869_0_badger_2020-02-01,45_d500_99_869_1_badger_2014-08-01,64359108_0_cattle_2020-02-01,64359108_1_cattle_2020-02-01,64359187_0_cattle_2014-01-01,64359187_1_cattle_2014-01-01,64359187_2_cattle_2014-01-01,64359189_0_cattle_2018-03-01,64420009_0_cattle_2014-03-01,64420009_10_cattle_2017-04-01,64420009_11_cattle_2017-02-01,64420009_12_cattle_2017-02-01,64420009_13_cattle_2017-04-01,64420009_14_cattle_2017-02-01,64420009_15_cattle_2017-04-01,64420009_16_cattle_2017-04-01,64420009_17_cattle_2017-04-01,64420009_1_cattle_2014-01-01,64420009_2_cattle_2014-01-01,64420009_3_cattle_2014-01-01,64420009_4_cattle_2014-01-01,64420009_5_cattle_2014-01-01,64420009_6_cattle_2014-03-01,64420009_7_cattle_2014-01-01,64420009_8_cattle_2014-03-01,64420009_9_cattle_2017-04-01,64420015_0_cattle_2007-04-01,64420015_1_cattle_2007-06-01,64420015_2_cattle_2007-04-01,64420035_0_cattle_2012-05-01,64420035_10_cattle_2012-07-01,64420035_11_cattle_2012-05-01,64420035_12_cattle_2012-07-01,64420035_13_cattle_2012-07-01,64420035_14_cattle_2012-07-01,64420035_15_cattle_2012-05-01,64420035_16_cattle_2012-05-01,64420035_17_cattle_2012-07-01,64420035_18_cattle_2012-07-01,64420035_19_cattle_2012-05-01,64420035_1_cattle_2012-07-01,64420035_20_cattle_2012-05-01,64420035_21_cattle_2012-07-01,64420035_22_cattle_2016-03-01,64420035_2_cattle_2012-05-01,64420035_3_cattle_2012-05-01,64420035_4_cattle_2012-05-01,64420035_5_cattle_2012-05-01,64420035_6_cattle_2012-05-01,64420035_7_cattle_2012-05-01,64420035_8_cattle_2012-05-01,64420035_9_cattle_2012-05-01
0,0,0,0,0.0035992801439712063,0,0.0017996400719856025,0,0,0.016996600679864,0,0,0,0.011597680463907209,0,0.15036992601479957,0.38732253549289225,0,0,0,0,0,0,0,0,0,0,0,0,0.008398320335932815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01099780043991201,0,0.04619076184763034,0,0,0,0,5.998800239952009e-4,0,0.008998200359928014,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0.0035992801439712063,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.043191361727654344,0.16736652669466412,0,0,0,0.1915616876624713,0,0.19996000799840438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,1.999600079984003e-4,0,3.999200159968006e-4,0,0,5.998800239952009e-4,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0.10957808438312464,3.999200159968006e-4,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0.03999200159967995,0.0023995200959808036,0,0.001399720055988802,3.999200159968006e-4,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.009198160367926414,0.05958808238352311,0,0,0.1635672865426944,0,0,0.38932213557287604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,9.998000399920016e-4,0,0.0011997600479904018,0,0,5.998800239952009e-4,0,7.998400319936012e-4,0,9.998000399920016e-4,0,0,0,0,0,0,0,0.027194561087782378,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0.009598080383923213,0.0015996800639872023,0,1.999600079984003e-4,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.002199560087982403,0,0.0869826034793047,0,0,0.012597480503899207,0.018996200759847995,9.998000399920016e-4,0,0,0,0.03999200159967995,0.0161967606478704,1.999600079984003e-4,0,0.004799040191961609,0.008598280343931215,0.001399720055988802,0,0.018996200759847995,0.008798240351929614,0.008598280343931215,0,0.0011997600479904018,0,0.13737252549490314,0,0,0,0,0,0,5.998800239952009e-4,0,0,0.0015996800639872023,3.999200159968006e-4,0,0,0.003399320135972806,0,0.22295540891822113,0,0.03699260147970396,0,0,0,1.999600079984003e-4,0.0015996800639872023,0,0.046990601879623936,0,0,0,0,0,0,0,0,0.0027994401119776045,5.998800239952009e-4,0,0,1.999600079984003e-4,0.02639472105578878,0,0.007798440311937616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.013997200559888004,0.07898420315936844,0,0,0.16596680663867527,0.4007198560287836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,3.999200159968006e-4,0,0,9.998000399920016e-4,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0.03039392121575677,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,3.999200159968006e-4,0.009798040391921612,0.0011997600479904018,0,7.998400319936012e-4,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0163967206558688,0,0.01099780043991201,0,3.999200159968006e-4,0.05818836232753431,0.24515096980604426,0,0,0.037792441511697555,0,0,0.2339532093581335,0,0,0,0,0,0,3.999200159968006e-4,3.999200159968006e-4,0,0,0,0,0.02119576084783039,3.999200159968006e-4,0,0,0,3.999200159968006e-4,0,9.998000399920016e-4,0,0,1.999600079984003e-4,0,0,0,0.006998600279944014,0,0.024995000999799982,0,0.14117176564687287,0,0,7.998400319936012e-4,9.998000399920016e-4,9.998000399920016e-4,0,0.046790641871625537,0,0,0,0,0,0,0,0,0.007998400319936016,1.999600079984003e-4,0,7.998400319936012e-4,0.006398720255948813,0.022995400919815986,0,0.009598080383923213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0037992401519696068,0,0.002199560087982403,0,0,0.015996800639872,0.3767246550689782,0,0,0.009398120375924813,0,0.1483703259348155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0.005998800239952012,0,0.03539292141571676,0,0,0,0,0,0,0.012797440511897606,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,1.999600079984003e-4,0.007198560287942414,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512297540491879,1.999600079984003e-4,1.999600079984003e-4,0.009998000399920012,1.999600079984003e-4,0.0049990001999600095,1.999600079984003e-4,0,1.999600079984003e-4,0.005798840231953611,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4755048990201773,0,0,1.999600079984003e-4,0.006398720255948813,0,0.0045990801839632086,3.999200159968006e-4,0,0,0.007998400319936016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0
0.06378724255148954,0.05978804239152151,0,0,0,0.011597680463907209,0.015996800639872,0,0,0,0,0,0,0.0011997600479904018,0,0,0,7.998400319936012e-4,1.999600079984003e-4,0,0.03439312137572476,0.008198360327934416,0.012197560487902407,0.03519296140771836,0.024195160967806384,0.017396520695860798,0.005998800239952012,0.010197960407918412,0,0.0019996000799840027,0,0,0,0.029794041191761572,0,0,0,0.008598280343931215,0,0,0.08478304339132223,0,0,0,5.998800239952009e-4,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0.07498500299940031,0.03959208158368315,0.03659268146370716,0.02099580083983199,0.12917416516696847,0.012397520495900807,0.03079384123175357,0.03019396120775837,0,0,0,0,0,0,0,0,0.011397720455908809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033393321335732765,0,0,0,0,0,0,0,0
