40002_1_boar_2014-10-01,40002_2_boar_2018-10-01,40017_2_boar_2019-04-01,40089001_0_cattle_2014-04-01,40089001_1_cattle_2014-05-01,40089001_2_cattle_2014-05-01,40089001_3_cattle_2014-05-01,40089001_4_cattle_2014-05-01,40089001_5_cattle_2014-05-01,40089001_6_cattle_2014-05-01,40089001_7_cattle_2014-05-01,40089001_8_cattle_2014-05-01,40089001_9_cattle_2014-05-01,40089_0_boar_2017-01-01,40089_1_boar_2013-04-01,40089_2_boar_2015-03-01,40089_3_boar_2020-02-01,40203001_0_cattle_2016-12-01,40203001_1_cattle_2016-12-01,40203015_0_cattle_2016-02-01,40203015_1_cattle_2016-02-01,40203015_2_cattle_2016-01-01,40203015_3_cattle_2016-02-01,40203015_4_cattle_2016-02-01,40203015_5_cattle_2016-02-01,40203015_6_cattle_2016-02-01,40203015_7_cattle_2016-02-01,40203015_8_cattle_2016-02-01,40203_10_boar_2020-02-01,40203_11_boar_2019-09-01,40203_1_boar_2015-07-01,40203_2_boar_2014-12-01,40203_3_boar_2015-11-01,40203_4_boar_2015-06-01,40203_5_boar_2017-01-01,40203_6_boar_2017-03-01,40203_7_boar_2017-10-01,40203_8_boar_2017-05-01,40203_9_boar_2019-05-01,64359108_0_cattle_2020-02-01,64359108_1_cattle_2020-02-01,64359187_0_cattle_2014-01-01,64359187_1_cattle_2014-01-01,64359187_2_cattle_2014-01-01,64359189_0_cattle_2018-03-01,64420009_0_cattle_2014-03-01,64420009_10_cattle_2017-04-01,64420009_11_cattle_2017-02-01,64420009_12_cattle_2017-02-01,64420009_13_cattle_2017-04-01,64420009_14_cattle_2017-02-01,64420009_15_cattle_2017-04-01,64420009_16_cattle_2017-04-01,64420009_17_cattle_2017-04-01,64420009_1_cattle_2014-01-01,64420009_2_cattle_2014-01-01,64420009_3_cattle_2014-01-01,64420009_4_cattle_2014-01-01,64420009_5_cattle_2014-01-01,64420009_6_cattle_2014-03-01,64420009_7_cattle_2014-01-01,64420009_8_cattle_2014-03-01,64420009_9_cattle_2017-04-01,64420015_0_cattle_2007-04-01,64420015_1_cattle_2007-06-01,64420015_2_cattle_2007-04-01,64420035_0_cattle_2012-05-01,64420035_10_cattle_2012-07-01,64420035_11_cattle_2012-05-01,64420035_12_cattle_2012-07-01,64420035_13_cattle_2012-07-01,64420035_14_cattle_2012-07-01,64420035_15_cattle_2012-05-01,64420035_16_cattle_2012-05-01,64420035_17_cattle_2012-07-01,64420035_18_cattle_2012-07-01,64420035_19_cattle_2012-05-01,64420035_1_cattle_2012-07-01,64420035_20_cattle_2012-05-01,64420035_21_cattle_2012-07-01,64420035_22_cattle_2016-03-01,64420035_2_cattle_2012-05-01,64420035_3_cattle_2012-05-01,64420035_4_cattle_2012-05-01,64420035_5_cattle_2012-05-01,64420035_6_cattle_2012-05-01,64420035_7_cattle_2012-05-01,64420035_8_cattle_2012-05-01,64420035_9_cattle_2012-05-01
0.01079784043191361,0,0,0.03999200159967995,0.007998400319936016,0.20475904819036614,0.0153969206158768,0.0027994401119776045,0.018996200759847995,0.005798840231953611,0,0.3635272945410852,0.006598680263947213,0,0.0067986402719456135,0.008598280343931215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0.0045990801839632086,0,3.999200159968006e-4,0,0,0,0,0,0,0,0.015996800639872,0.0045990801839632086,0.002199560087982403,0,0.001399720055988802,0,0,0,0,0,0,0,0,9.998000399920016e-4,0.002599480103979204,0.008198360327934416,0.008198360327934416,0.007198560287942414,0.0011997600479904018,0.007998400319936016,0.003399320135972806,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008598280343931215,0,0,0.03879224155168955,0.013997200559888004,0.18876224755049362,0.019596080783843194,0.001399720055988802,0.01059788042391521,0.006598680263947213,0.39092181563686307,0,0.007798440311937616,0,0.004799040191961609,0.007998400319936016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0.0017996400719856025,0,0.002599480103979204,0,0,0,0,0,0,0,0.014397120575884803,0.003399320135972806,7.998400319936012e-4,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0.001399720055988802,0.0045990801839632086,0.015996800639872,0.005798840231953611,0.006198760247950412,0.0015996800639872023,0.009398120375924813,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008398320335932815,0,0,0.02059588082383519,0.08558288342331585,0.011797640471905608,0.019396120775844794,0.003399320135972806,0.4113177364526977,0.08798240351929673,0.00539892021595681,0.007398520295940815,0,0,0.0027994401119776045,0.009998000399920012,0,0,0,0,0,5.998800239952009e-4,0,0,1.999600079984003e-4,0,0,0,0,0,0.001399720055988802,0.006998600279944014,0,0.002999400119976005,0,0,0,0,0,0,0,0.006998600279944014,0.0015996800639872023,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0.0031993601279744054,0.007998400319936016,0.00539892021595681,0.004199160167966408,3.999200159968006e-4,0.007398520295940815,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0
0,0.002599480103979204,0.4055188962207447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007998400319936016,5.998800239952009e-4,3.999200159968006e-4,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0.04879024195160953,5.998800239952009e-4,0,0.0019996000799840027,0,0,0,0,0,0.0037992401519696068,0,0,3.999200159968006e-4,0,0,0,3.999200159968006e-4,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004399120175964808,0,0,0,0,0,0,0,0
0.004799040191961609,0,0,0.06058788242351511,0.02059588082383519,0.02579484103179358,0.014797040591881602,0.042791441711657545,0.017596480703859198,0.007998400319936016,0.013797240551889604,0.011597680463907209,0.013197360527894405,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0.0035992801439712063,0,0.0015996800639872023,0,0,0,0,0,0,0,0.047390521895620735,0.028394321135772775,0.0163967206558688,0,0.013397320535892805,0,0,0,0,0,0,0,0,0.0163967206558688,0.0685862827434513,0.03719256148770236,0.18336332733453664,0.04119176164767035,0.014597080583883202,0.05838832233553271,0.03959208158368315,0,0,0,0,1.999600079984003e-4,0,7.998400319936012e-4,0,0.029794041191761572,0,0.001399720055988802,0.0015996800639872023,0,0.10177964407118678,0,0.05598880223955192,0.013997200559888004,0,0,0,0,0,5.998800239952009e-4,0,9.998000399920016e-4,7.998400319936012e-4,7.998400319936012e-4
0.1909618076384761,0,0,0.006198760247950412,0.007398520295940815,0.0027994401119776045,0.13417316536692864,1.999600079984003e-4,0.007998400319936016,0.0171965606878624,0.002999400119976005,0.0027994401119776045,0.014397120575884803,0,0,0,0,0,0,0.001399720055988802,0.0017996400719856025,0.022195560887822388,0.004799040191961609,0.001399720055988802,0.0171965606878624,0.008198360327934416,0.009198160367926414,0.0015996800639872023,0,0,0.05918816236752631,0.11377724455109117,0.005798840231953611,0.06758648270345927,0,0,0,0,0,0,0,0.0035992801439712063,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,1.999600079984003e-4,1.999600079984003e-4,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0
0,0,0.0165966806638672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3943211357728355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2533493301339785,1.999600079984003e-4,0.09338132373525371,0.16516696660668165,0,0,0,0,0,0,1.999600079984003e-4,0,0,1.999600079984003e-4,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3747250549889944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2549490101979655,1.999600079984003e-4,0.11377724455109117,0.16256748650270236,0,0,0,0,0,0,1.999600079984003e-4,0,0,1.999600079984003e-4,5.998800239952009e-4,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3445310937812392,0.002199560087982403,0.002599480103979204,0.06058788242351511,0.06418716256748636,7.998400319936012e-4,0.002599480103979204,0.05438912217556472,0,0,0.004399120175964808,0,0.0023995200959808036,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40511897620474796,0,0.0019996000799840027,0.0027994401119776045,0.07558488302339553,0.09458108378324415,5.998800239952009e-4,0.0023995200959808036,0.08578284343131426,0,0,0.0035992801439712063,3.999200159968006e-4,0.003999200159968007,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0027994401119776045,0.0027994401119776045,0,0,0,0,0.0017996400719856025,0,0,5.998800239952009e-4,0,0,0,0.0037992401519696068,0,0.002999400119976005,0,0,0,0.014997000599880001,0.02639472105578878,0,0.15356928614277407,0.016996600679864,0.057188562287542315,0.07998400319936047,0.1973605278944251,0.014797040591881602,0,0,0.061787642471505505,0.027794441111777576,0.09338132373525371,0.04199160167966395,5.998800239952009e-4,0.002599480103979204,0,3.999200159968006e-4,0,0,0,0,0,0,0.019796040791841593,0,0,0,0,0,0,1.999600079984003e-4,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10737852429514216,0,0,0,0,0,0,0,0
0.004199160167966408,0.012797440511897606,0,0,0,0,0.001399720055988802,0,0.0011997600479904018,0,0,0,0,0.013997200559888004,0,0.0017996400719856025,0,0.0049990001999600095,0.002599480103979204,0.008198360327934416,0.009198160367926414,0.10677864427114694,0,0.006198760247950412,0.03439312137572476,0.032993401319735965,0.14657068586282984,0.005598880223955211,0,0,0.03019396120775837,0.017996400719855997,0.04399120175964794,0.027194561087782378,0.003999200159968007,0.011597680463907209,9.998000399920016e-4,0.0023995200959808036,0.001399720055988802,0,0,0,0,0,0.05558888222355512,0,7.998400319936012e-4,0.002599480103979204,0.0037992401519696068,1.999600079984003e-4,0.0015996800639872023,0.001399720055988802,0.002199560087982403,7.998400319936012e-4,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17816436712657807,0,0,0,0,0,0,0,0
7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0.06478704259148158,0.06098780243951191,0.006398720255948813,0.002199560087982403,0,0.0715856828634274,0.006198760247950412,0.006398720255948813,0.36932613477303816,0,0,0.007798440311937616,0.0017996400719856025,0.002999400119976005,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0
0.0019996000799840027,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0.1481703659268171,0.15636872625475176,0.032993401319735965,0.0161967606478704,0.1453709258148394,0,0.018596280743851196,0.025194961007798382,0.14457108578284578,0,0,0.04619076184763034,0.01119776044791041,0.024995000999799982,0.03719256148770236,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008198360327934416,0,0,0,0,0,0,0,0
0.0017996400719856025,0,0,0,0,0,0.0015996800639872023,0,0,1.999600079984003e-4,0,0,0,0,0,0.0017996400719856025,0,0,0,0.005798840231953611,0.008998200359928014,0.03939212157568475,0.02599480103979198,0.006598680263947213,0.020195960807838392,0,0.024995000999799982,0.008598280343931215,0,0,0.02539492101579678,0.006598680263947213,0.36012797440511274,0.019196160767846394,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015196960607878401,0,0,0,0,0,0,0,0
0.002599480103979204,0.00539892021595681,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0.00539892021595681,0,3.999200159968006e-4,0,0.0015996800639872023,9.998000399920016e-4,0.007998400319936016,0.014597080583883202,0.1359728054389143,0.1637672465506928,0.014997000599880001,0.033393321335732765,0.037992401519695955,0,0.005998800239952012,0,1.999600079984003e-4,0.025194961007798382,0.007598480303939215,0.05058988202359513,0.014597080583883202,5.998800239952009e-4,0.010397920415916811,0,0.0019996000799840027,0.0027994401119776045,0,0,0,0,0,0.03199360127974397,0,0.0017996400719856025,1.999600079984003e-4,0.002599480103979204,3.999200159968006e-4,3.999200159968006e-4,5.998800239952009e-4,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12917416516696847,0,0,0,0,0,0,0,0
