64152_0_boar_2020-02-01,64301080_0_cattle_2020-02-01,64301080_1_cattle_2020-02-01,64301080_2_cattle_2020-02-01,64349_0_boar_2020-02-01,64359005_0_cattle_2019-01-01,64359005_1_cattle_2019-01-01,64359005_2_cattle_2019-08-01,64359108_0_cattle_2018-02-01,64359108_1_cattle_2018-02-01,64359108_2_cattle_2018-06-01,64359108_3_cattle_2018-02-01,64359108_4_cattle_2018-06-01,64359110_0_cattle_2018-12-01,64359110_1_cattle_2018-12-01,64359110_2_cattle_2019-02-01,64359110_3_cattle_2019-02-01,64359153_0_cattle_2019-09-01,64359173_0_cattle_2020-02-01,64359200_1_cattle_2020-02-01,64359209_0_cattle_2019-12-01,64359209_1_cattle_2019-12-01,64359211_0_cattle_2020-02-01,64359_0_boar_2018-02-01,64359_2_boar_2019-04-01,64359_3_boar_2020-02-01,64359_4_boar_2019-04-01,64393_0_boar_2020-02-01,64420002_0_cattle_2014-04-01,64420002_1_cattle_2014-02-01,64420002_2_cattle_2014-02-01,64420002_3_cattle_2014-02-01,64420015_0_cattle_2008-04-01,64420015_1_cattle_2008-04-01,64420038_0_cattle_2013-02-01,64420038_1_cattle_2013-04-01,64420038_2_cattle_2013-04-01,64420038_3_cattle_2013-04-01,64556005_0_cattle_2018-03-01,64556005_1_cattle_2020-02-01,64556023_0_cattle_2020-02-01,64556034_0_cattle_2016-02-01,64556034_1_cattle_2016-04-01,64556034_2_cattle_2016-04-01,64556034_3_cattle_2016-04-01,64556034_4_cattle_2016-04-01,64556034_5_cattle_2016-02-01,64556034_6_cattle_2016-04-01,64556034_7_cattle_2016-04-01,64556034_8_cattle_2017-02-01,64556034_9_cattle_2017-02-01,64556051_0_cattle_2017-12-01,64556051_10_cattle_2020-02-01,64556051_1_cattle_2017-12-01,64556051_2_cattle_2017-12-01,64556051_3_cattle_2018-02-01,64556051_4_cattle_2017-12-01,64556051_5_cattle_2017-12-01,64556051_6_cattle_2017-12-01,64556051_7_cattle_2017-12-01,64556051_8_cattle_2018-02-01,64556051_9_cattle_2018-02-01,64556058_0_cattle_2016-12-01,64556500_0_cattle_2016-04-01,64556500_1_cattle_2016-06-01,64556500_2_cattle_2016-05-01,64556_0_boar_2017-02-01,64556_10_boar_2019-08-01,64556_1_boar_2017-02-01,64556_2_boar_2016-12-01,64556_3_boar_2018-02-01,64556_4_boar_2017-09-01,64556_5_boar_2018-08-01,64556_6_boar_2019-07-01,64556_7_boar_2017-11-01,64556_8_boar_2020-02-01,64556_9_boar_2020-02-01
0,0,0,3.999200159968006e-4,1.999600079984003e-4,0.00539892021595681,0.0045990801839632086,0,0.007798440311937616,0.009598080383923213,0,0.006398720255948813,0.1665666866626705,0.007598480303939215,0.00539892021595681,0.0027994401119776045,9.998000399920016e-4,9.998000399920016e-4,0,0,0.017796440711857597,0.0011997600479904018,0,0.006998600279944014,0.0837832433513302,0,0.001399720055988802,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0.009598080383923213,0,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0.008798240351929614,0.00519896020795841,0.019196160767846394,0.03159368126374717,0.014797040591881602,0.009798040391921612,0.008598280343931215,0.03879224155168955,0.007398520295940815,0.015996800639872,0.006198760247950412,0,0,0,0,0,0,0,0.02559488102379518,0,0.0157968406318736,5.998800239952009e-4,7.998400319936012e-4,0,0,0
0,0,0,0,3.999200159968006e-4,7.998400319936012e-4,9.998000399920016e-4,0,0.00539892021595681,0.0031993601279744054,0.001399720055988802,0,0.0023995200959808036,0.003399320135972806,0.0031993601279744054,5.998800239952009e-4,0,9.998000399920016e-4,0.0011997600479904018,0,0,1.999600079984003e-4,0,9.998000399920016e-4,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0.005798840231953611,0,0.002599480103979204,0.002999400119976005,0.005798840231953611,0.003399320135972806,0.0037992401519696068,0.0049990001999600095,0.20715856828634702,7.998400319936012e-4,0.002999400119976005,0,0,0,0,0,0,0,0.0067986402719456135,0,0.14337132573485534,1.999600079984003e-4,0,0,1.999600079984003e-4,0
0,0,0,3.999200159968006e-4,0,5.998800239952009e-4,0.0027994401119776045,0,0.005598880223955211,0.002199560087982403,0.18456308738252708,0.0045990801839632086,0,0.0031993601279744054,0.0017996400719856025,0.003999200159968007,0.0031993601279744054,1.999600079984003e-4,5.998800239952009e-4,0,0.03079384123175357,0,0,0.0011997600479904018,0.13977204559088402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0.004399120175964808,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0.006998600279944014,0.003399320135972806,0.042191561687662346,0.007398520295940815,0.01059788042391521,0.007198560287942414,0.03919216156768635,0.003399320135972806,0.006598680263947213,0.006198760247950412,0,0,0,0,0,0,0,0.015196960607878401,0,0.009398120375924813,0.0015996800639872023,7.998400319936012e-4,0,0,0
0,0,0,0,0,1.999600079984003e-4,0.20475904819036614,0,0,5.998800239952009e-4,0.0015996800639872023,0.002999400119976005,7.998400319936012e-4,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0.0019996000799840027,9.998000399920016e-4,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,0,0,0,0,0,0,0,0,0,0,0,0,0.004399120175964808,0,0.0019996000799840027,0.002199560087982403,0.0017996400719856025,0.0035992801439712063,0.002199560087982403,0.0027994401119776045,0.0017996400719856025,0.003999200159968007,0.002999400119976005,0,0,0,0,0,0,0,0.0049990001999600095,0,0.004199160167966408,0.001399720055988802,1.999600079984003e-4,0,1.999600079984003e-4,0
0,0,0,0,0,3.999200159968006e-4,0.0017996400719856025,0,0.0037992401519696068,0.002999400119976005,0.002199560087982403,0.0019996000799840027,0.0045990801839632086,0.0015996800639872023,0,0.03199360127974397,3.999200159968006e-4,7.998400319936012e-4,0,0,0,0,0,0.0031993601279744054,9.998000399920016e-4,0,0.13497300539892226,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,0,0.003999200159968007,0.0027994401119776045,0.0715856828634274,0.001399720055988802,0.002599480103979204,0.003399320135972806,0.003999200159968007,0.003999200159968007,0.0023995200959808036,0,0,0,0,0,0,0,0.0067986402719456135,0,0.0023995200959808036,1.999600079984003e-4,0,0,0,0
0,0,0,0,0,1.999600079984003e-4,1.999600079984003e-4,0,0.0015996800639872023,7.998400319936012e-4,3.999200159968006e-4,0.0015996800639872023,7.998400319936012e-4,9.998000399920016e-4,0.05478904219156152,0,0,0,0,0,0,0,0,0.0011997600479904018,5.998800239952009e-4,0,0.033193361327734365,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,9.998000399920016e-4,5.998800239952009e-4,0.14477104579084418,0.0011997600479904018,0.0015996800639872023,0.0011997600479904018,0.0011997600479904018,0.002199560087982403,3.999200159968006e-4,0,0,0,0,0,0,0,0.0027994401119776045,0,0.0017996400719856025,0,0,0,0,0
0,0,0,0,0,0.06358728254349114,0,0,0,7.998400319936012e-4,0,0,7.998400319936012e-4,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019796040791841593,0,5.998800239952009e-4,0,0.04079184163167355,0,9.998000399920016e-4,0,7.998400319936012e-4,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0.07998400319936047,0,0,0
0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008798240351929614,0,0,0.006598680263947213,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01119776044791041,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008998200359928014,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0
0,0,0,0,0,0,0,0.03179364127174557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004399120175964808,0,0,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
