19_d500_24_0_badger_2016-06-01,2_d500_43_0_badger_2014-07-01,2_d500_43_1_badger_2015-09-01,2_d500_43_2_badger_2014-09-01,2_d500_43_3_badger_2012-07-01,2_d500_6_0_badger_2017-08-01,2_d500_80_1_badger_2018-05-01,2_d500_83_1_badger_2018-06-01,2_d500_83_2_badger_2020-02-01,2_d500_84_4_badger_2017-06-01,2_d500_9_2_badger_2012-01-01,2_d500_9_3_badger_2012-02-01,2_d500_9_4_badger_2016-09-01,2_d500_9_5_badger_2014-05-01,40002127_11_cattle_2013-12-01,40002127_12_cattle_2013-12-01,40002127_13_cattle_2013-12-01,40002127_16_cattle_2015-12-01,40002127_18_cattle_2015-12-01,40002127_19_cattle_2020-02-01,40002127_20_cattle_2020-02-01,40002_12_boar_2013-04-01,40002_13_boar_2014-11-01,40002_15_boar_2015-04-01,40002_18_boar_2016-02-01,40002_24_boar_2020-02-01,40089001_0_cattle_2011-07-01,40089001_10_cattle_2011-07-01,40089001_11_cattle_2011-04-01,40089001_12_cattle_2011-07-01,40089001_13_cattle_2011-07-01,40089001_14_cattle_2011-07-01,40089001_15_cattle_2011-07-01,40089001_16_cattle_2011-07-01,40089001_17_cattle_2011-07-01,40089001_18_cattle_2011-06-01,40089001_19_cattle_2011-07-01,40089001_1_cattle_2011-07-01,40089001_20_cattle_2011-07-01,40089001_21_cattle_2011-01-01,40089001_22_cattle_2011-07-01,40089001_23_cattle_2011-07-01,40089001_24_cattle_2011-07-01,40089001_25_cattle_2011-07-01,40089001_26_cattle_2011-07-01,40089001_27_cattle_2011-07-01,40089001_28_cattle_2011-04-01,40089001_29_cattle_2011-07-01,40089001_2_cattle_2011-07-01,40089001_30_cattle_2011-07-01,40089001_31_cattle_2011-07-01,40089001_32_cattle_2011-07-01,40089001_33_cattle_2011-07-01,40089001_34_cattle_2011-07-01,40089001_35_cattle_2011-07-01,40089001_36_cattle_2011-07-01,40089001_37_cattle_2011-07-01,40089001_38_cattle_2011-07-01,40089001_39_cattle_2011-07-01,40089001_3_cattle_2011-07-01,40089001_40_cattle_2011-07-01,40089001_41_cattle_2011-07-01,40089001_42_cattle_2011-07-01,40089001_4_cattle_2011-07-01,40089001_5_cattle_2011-07-01,40089001_6_cattle_2011-07-01,40089001_7_cattle_2011-07-01,40089001_8_cattle_2011-07-01,40089001_9_cattle_2011-07-01,40089077_0_cattle_2012-11-01,40089077_1_cattle_2012-12-01,40089077_2_cattle_2012-12-01,40089077_3_cattle_2012-12-01,40089_1_boar_2016-09-01,40089_2_boar_2013-09-01,40089_3_boar_2014-07-01,40091_1_boar_2016-08-01,40091_2_boar_2016-12-01,40270033_0_cattle_2013-12-01,40270058_0_cattle_2013-02-01,40270058_10_cattle_2013-02-01,40270058_11_cattle_2013-02-01,40270058_12_cattle_2013-02-01,40270058_13_cattle_2013-02-01,40270058_14_cattle_2013-02-01,40270058_15_cattle_2013-02-01,40270058_16_cattle_2013-02-01,40270058_17_cattle_2013-02-01,40270058_18_cattle_2013-02-01,40270058_19_cattle_2013-02-01,40270058_1_cattle_2013-02-01,40270058_20_cattle_2013-02-01,40270058_21_cattle_2013-02-01,40270058_22_cattle_2013-02-01,40270058_23_cattle_2013-02-01,40270058_24_cattle_2013-02-01,40270058_2_cattle_2013-02-01,40270058_3_cattle_2013-01-01,40270058_4_cattle_2013-02-01,40270058_5_cattle_2013-01-01,40270058_6_cattle_2013-02-01,40270058_7_cattle_2013-02-01,40270058_8_cattle_2013-02-01,40270058_9_cattle_2013-02-01,40270_10_boar_2012-06-01,40270_11_boar_2012-09-01,40270_12_boar_2012-10-01,40270_2_boar_2014-08-01,40270_3_boar_2012-05-01,40270_4_boar_2013-02-01,40270_5_boar_2013-03-01,40270_8_boar_2016-04-01,40270_9_boar_2013-03-01,45_d500_160_0_badger_2020-02-01,64135060_1_cattle_2018-02-01,64135060_2_cattle_2018-04-01,64135060_4_cattle_2019-07-01,64135093_6_cattle_2020-02-01,64135109_0_cattle_2016-12-01,64135109_1_cattle_2016-12-01,64135_27_boar_2016-11-01,64135_28_boar_2018-11-01,64135_30_boar_2018-02-01,64135_31_boar_2018-05-01,64135_37_boar_2020-02-01,64420015_0_cattle_2009-12-01,64420015_10_cattle_2009-12-01,64420015_11_cattle_2009-12-01,64420015_12_cattle_2009-12-01,64420015_13_cattle_2009-04-01,64420015_14_cattle_2009-12-01,64420015_15_cattle_2009-12-01,64420015_16_cattle_2009-12-01,64420015_17_cattle_2009-11-01,64420015_18_cattle_2009-12-01,64420015_19_cattle_2009-12-01,64420015_1_cattle_2009-12-01,64420015_20_cattle_2009-12-01,64420015_21_cattle_2009-12-01,64420015_22_cattle_2009-12-01,64420015_23_cattle_2009-12-01,64420015_24_cattle_2009-12-01,64420015_2_cattle_2009-06-01,64420015_3_cattle_2009-12-01,64420015_4_cattle_2009-12-01,64420015_5_cattle_2008-06-01,64420015_6_cattle_2009-11-01,64420015_7_cattle_2009-12-01,64420015_8_cattle_2009-12-01,64420015_9_cattle_2009-12-01
0,0,0,0,0,0,0,0,0,0,0,0.6214757048589938,0,0.007198560287942414,0.033793241351729564,0.03399320135972796,0.029394121175764773,0,0,0,0,0.20215956808638685,0.010397920415916811,0.002199560087982403,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0,0.013797240551889604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.34973005398919704,0,7.998400319936012e-4,0.03599280143971196,0.12577484503099556,0.10397920415916925,0.1055788842231565,0.006398720255948813,0.00539892021595681,0,0,0.41631673665265717,0.02199560087982399,0.019396120775844794,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.2793441311737677,0,0,0,0,0,0,0,0,1.999600079984003e-4,1.999600079984003e-4,0,0.003399320135972806,0.1177764447110593,0.0017996400719856025,1.999600079984003e-4,0,0.012397520495900807,0.038392321535692754,0.004199160167966408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0.03179364127174557,0.03119376124775037,0.18696260747850796,0.0037992401519696068,0.0049990001999600095,0,0,0.022995400919815986,0.013797240551889604,0.003999200159968007,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0037992401519696068,0,0,0,9.998000399920016e-4,0,0,0.019396120775844794,0.056588682263547116,0,0.19296140771846015,0.12157568486302903,0.05018996200759833,0.04939012197560473,0,0,0.09978004399120272,0.10897820435912942,0.07498500299940031,0.03719256148770236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0.0011997600479904018,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.006598680263947213,0,0,0,0.0015996800639872023,0,0,0.042791441711657545,0.04099180163967195,0.1669666066786673,0,0.09998000399920112,0.10457908418316447,0.1265746850629892,0,0,0.0993801239752059,0.2063587282543534,0.17096580683863544,0.10277944411117881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0.003399320135972806,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0.0019996000799840027,0.6152769446110441,0.0929814037192569,0.08578284343131426,0,0.007198560287942414,0.0045990801839632086,0,0,0.08758248350329992,0.03079384123175357,0.024195160967806384,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.002599480103979204,3.999200159968006e-4,0.002999400119976005,0,0.024595080983803183,0,0,0.005998800239952012,0.0011997600479904018,0.00539892021595681,0.009998000399920012,0.004199160167966408,0,0.019396120775844794,0,0,9.998000399920016e-4,0.09418116376724733,0.03079384123175357,0.27734453109378393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0.0045990801839632086,0,0,0.037992401519695955,0.03119376124775037,0.07738452309538119,0,0.007798440311937616,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.13497300539892226,0,0,0,0,0,0,0.2463507298540347,0,0.0015996800639872023,0.00519896020795841,3.999200159968006e-4,0.015196960607878401,0,0,0,0,0.032593481303739166,0.19636072785443306,0.009798040391921612,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029594081183763173,0,0,0,0,0.09118176364727124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
