19_d500_10_0_badger_2017-05-01,2_d500_28_0_badger_2017-08-01,2_d500_41_0_badger_2019-07-01,2_d500_42_0_badger_2019-09-01,2_d500_43_0_badger_2014-07-01,2_d500_6_0_badger_2018-06-01,2_d500_9_0_badger_2015-05-01,40002_1_boar_2014-10-01,40002_2_boar_2018-10-01,40017_2_boar_2019-04-01,40089001_0_cattle_2014-04-01,40089001_1_cattle_2014-05-01,40089001_2_cattle_2014-05-01,40089001_3_cattle_2014-05-01,40089001_4_cattle_2014-05-01,40089001_5_cattle_2014-05-01,40089001_6_cattle_2014-05-01,40089001_7_cattle_2014-05-01,40089001_8_cattle_2014-05-01,40089001_9_cattle_2014-05-01,40089_0_boar_2017-01-01,40089_1_boar_2013-04-01,40089_2_boar_2015-03-01,40089_3_boar_2020-02-01,40203001_0_cattle_2016-12-01,40203001_1_cattle_2016-12-01,40203015_0_cattle_2016-02-01,40203015_1_cattle_2016-02-01,40203015_2_cattle_2016-01-01,40203015_3_cattle_2016-02-01,40203015_4_cattle_2016-02-01,40203015_5_cattle_2016-02-01,40203015_6_cattle_2016-02-01,40203015_7_cattle_2016-02-01,40203015_8_cattle_2016-02-01,40203_10_boar_2020-02-01,40203_11_boar_2019-09-01,40203_1_boar_2015-07-01,40203_2_boar_2014-12-01,40203_3_boar_2015-11-01,40203_4_boar_2015-06-01,40203_5_boar_2017-01-01,40203_6_boar_2017-03-01,40203_7_boar_2017-10-01,40203_8_boar_2017-05-01,40203_9_boar_2019-05-01,45_d500_155_880_0_badger_2020-02-01,45_d500_156_0_badger_2015-02-01,45_d500_156_1_badger_2011-04-01,45_d500_157_858_0_badger_2013-05-01,45_d500_157_858_1_badger_2013-08-01,45_d500_159_855_0_badger_2012-03-01,45_d500_160_0_badger_2018-06-01,45_d500_163_0_badger_2013-06-01,45_d500_163_1_badger_2020-02-01,45_d500_57_715_0_badger_2013-07-01,45_d500_61_0_badger_2017-08-01,45_d500_61_1_badger_2020-02-01,45_d500_78_668_0_badger_2014-02-01,45_d500_78_668_1_badger_2017-05-01,45_d500_99_866_0_badger_2011-09-01,45_d500_99_866_1_badger_2013-04-01,45_d500_99_866_2_badger_2013-09-01,45_d500_99_866_3_badger_2014-03-01,45_d500_99_866_4_badger_2019-06-01,45_d500_99_866_5_badger_2014-08-01,45_d500_99_869_0_badger_2020-02-01,45_d500_99_869_1_badger_2014-08-01,64359108_0_cattle_2020-02-01,64359108_1_cattle_2020-02-01,64359187_0_cattle_2014-01-01,64359187_1_cattle_2014-01-01,64359187_2_cattle_2014-01-01,64359189_0_cattle_2018-03-01,64420009_0_cattle_2014-03-01,64420009_10_cattle_2017-04-01,64420009_11_cattle_2017-02-01,64420009_12_cattle_2017-02-01,64420009_13_cattle_2017-04-01,64420009_14_cattle_2017-02-01,64420009_15_cattle_2017-04-01,64420009_16_cattle_2017-04-01,64420009_17_cattle_2017-04-01,64420009_1_cattle_2014-01-01,64420009_2_cattle_2014-01-01,64420009_3_cattle_2014-01-01,64420009_4_cattle_2014-01-01,64420009_5_cattle_2014-01-01,64420009_6_cattle_2014-03-01,64420009_7_cattle_2014-01-01,64420009_8_cattle_2014-03-01,64420009_9_cattle_2017-04-01,64420015_0_cattle_2007-04-01,64420015_1_cattle_2007-06-01,64420015_2_cattle_2007-04-01,64420035_0_cattle_2012-05-01,64420035_10_cattle_2012-07-01,64420035_11_cattle_2012-05-01,64420035_12_cattle_2012-07-01,64420035_13_cattle_2012-07-01,64420035_14_cattle_2012-07-01,64420035_15_cattle_2012-05-01,64420035_16_cattle_2012-05-01,64420035_17_cattle_2012-07-01,64420035_18_cattle_2012-07-01,64420035_19_cattle_2012-05-01,64420035_1_cattle_2012-07-01,64420035_20_cattle_2012-05-01,64420035_21_cattle_2012-07-01,64420035_22_cattle_2016-03-01,64420035_2_cattle_2012-05-01,64420035_3_cattle_2012-05-01,64420035_4_cattle_2012-05-01,64420035_5_cattle_2012-05-01,64420035_6_cattle_2012-05-01,64420035_7_cattle_2012-05-01,64420035_8_cattle_2012-05-01,64420035_9_cattle_2012-05-01
0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,5.998800239952009e-4,0,0,5.998800239952009e-4,1.999600079984003e-4,0.0019996000799840027,3.999200159968006e-4,1.999600079984003e-4,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0.10897820435912942,0.009598080383923213,3.999200159968006e-4,0,0.0023995200959808036,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0.0171965606878624,0.012197560487902407,0,0.33933213357328135,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.01119776044791041,0,0,0,0,0,0.0019996000799840027,0,0.03719256148770236,0.05098980203959193,0.042191561687662346,0.005998800239952012,0.15056988602279797,0.005998800239952012,0.18256348730254301,0.006198760247950412,0,0.009598080383923213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0.0011997600479904018,0,0,0,0.0023995200959808036,0,0.002999400119976005,0,0,0.0011997600479904018,0,0,5.998800239952009e-4,0,0.06018796240751831,0,0.003999200159968007,0,0.0019996000799840027,0,0,0.005798840231953611,0.0027994401119776045,0.04039192161567675,0,0.013597280543891204,0,0,0,0,0,0,0,0,0.013997200559888004,0.05858828234353111,0.008598280343931215,0.013397320535892805,0.04599080183963194,3.999200159968006e-4,0.010397920415916811,0.05818836232753431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.7522495500899335,0,0,0,0,0,0,0.004799040191961609,0,0.0015996800639872023,0.002199560087982403,0,0.0745850829834035,0,0.025194961007798382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0.02579484103179358,0.0019996000799840027,0,0.3417316536692619,0,0.013597280543891204,0,0.014597080583883202,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06958608278344333,0,0.0011997600479904018,0,0,0,0,0.0017996400719856025,0,0.008198360327934416,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0.0017996400719856025,0.013997200559888004,0.003999200159968007,3.999200159968006e-4,0.008798240351929614,0,5.998800239952009e-4,0.04539092181563674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0.0167966406718656,0,0.3503299340131922,0,0,0.009798040391921612,0,0.012797440511897606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05898820235952791,0,0,0,0,0,0,0,0.0011997600479904018,0.007798440311937616,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,9.998000399920016e-4,0.009598080383923213,1.999600079984003e-4,5.998800239952009e-4,0.002599480103979204,0,3.999200159968006e-4,0.07678464307138597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0019996000799840027,0.20455908818236773,0,0,0.001399720055988802,0.009598080383923213,0,0,7.998400319936012e-4,0,3.999200159968006e-4,0.03919216156768635,0.0015996800639872023,0.03019396120775837,0,0.0031993601279744054,0.0023995200959808036,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0.004799040191961609,0.024595080983803183,0.0011997600479904018,0.0031993601279744054,0,0,0,0,0,0,0.02119576084783039,0,0,0,0,0,1.999600079984003e-4,0,3.999200159968006e-4,0,0,5.998800239952009e-4,0,0,0,0,7.998400319936012e-4,0,0.03579284143171356,0,0.21735652869426575,0,0,0.006998600279944014,0.0015996800639872023,0.003399320135972806,0,0.04599080183963194,0,0,0,0,0,0,0,0,0.017996400719855997,0.0031993601279744054,0.008198360327934416,0.007998400319936016,0.001399720055988802,0.004199160167966408,0.018596280743851196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.1021795640871836,0,0,0,0,0,0,0.06078784243151351,0.31673665266946455,0.005598880223955211,0.006398720255948813,0,0,0,0.1485702859428139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012997400519896006,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0.005798840231953611,0,0,0.006598680263947213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7.998400319936012e-4,0.014997000599880001,0,0,7.998400319936012e-4,0.004799040191961609,0,3.999200159968006e-4,5.998800239952009e-4,0.028394321135772775,7.998400319936012e-4,0,3.999200159968006e-4,0.36472705458907545,0,5.998800239952009e-4,1.999600079984003e-4,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,9.998000399920016e-4,0,0,0,9.998000399920016e-4,0.012397520495900807,3.999200159968006e-4,0.002599480103979204,0,0,0,0,0,0,0.0167966406718656,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0.019996000799839993,0,0.007398520295940815,0,0,9.998000399920016e-4,1.999600079984003e-4,0.002199560087982403,0,0.037992401519695955,0,0,0,0,0,0,0,0,0.014397120575884803,0.001399720055988802,9.998000399920016e-4,0.00519896020795841,0.0011997600479904018,0.0035992801439712063,0.01119776044791041,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.02079584083183359,0,0,0,0,0,7.998400319936012e-4,0.133373325334935,0.08838232353529354,0.009598080383923213,0.015996800639872,0.001399720055988802,0.194361127774449,5.998800239952009e-4,0,9.998000399920016e-4,0,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0.0171965606878624,0,3.999200159968006e-4,0,1.999600079984003e-4,0,0,0.0019996000799840027,7.998400319936012e-4,0.009998000399920012,0,0.00539892021595681,0,0,0,0,0,0,0,0,0.004199160167966408,0.015196960607878401,0.0031993601279744054,0.007598480303939215,0.013597280543891204,9.998000399920016e-4,5.998800239952009e-4,0.014997000599880001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0019996000799840027,0.006398720255948813,0,0,1.999600079984003e-4,0.002599480103979204,0,1.999600079984003e-4,0,0.022195560887822388,0,0.3425314937012554,1.999600079984003e-4,0,0,9.998000399920016e-4,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0.005998800239952012,0,0.003399320135972806,0,0,0,0,0,0,0.01059788042391521,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,1.999600079984003e-4,0,0.01119776044791041,0,0.007198560287942414,0,0,0,0,3.999200159968006e-4,0,0.029994001199759972,0,0,0,0,0,0,0,0,0.012197560487902407,9.998000399920016e-4,0.002999400119976005,0.0035992801439712063,0.001399720055988802,0.0019996000799840027,0.01079784043191361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
