40002127_11_cattle_2013-12-01,40002127_12_cattle_2013-12-01,40002127_13_cattle_2013-12-01,40002127_16_cattle_2015-12-01,40002127_18_cattle_2015-12-01,40002127_19_cattle_2020-02-01,40002127_20_cattle_2020-02-01,40002_12_boar_2013-04-01,40002_13_boar_2014-11-01,40002_15_boar_2015-04-01,40002_18_boar_2016-02-01,40002_24_boar_2020-02-01,40089001_0_cattle_2011-07-01,40089001_10_cattle_2011-07-01,40089001_11_cattle_2011-04-01,40089001_12_cattle_2011-07-01,40089001_13_cattle_2011-07-01,40089001_14_cattle_2011-07-01,40089001_15_cattle_2011-07-01,40089001_16_cattle_2011-07-01,40089001_17_cattle_2011-07-01,40089001_18_cattle_2011-06-01,40089001_19_cattle_2011-07-01,40089001_1_cattle_2011-07-01,40089001_20_cattle_2011-07-01,40089001_21_cattle_2011-01-01,40089001_22_cattle_2011-07-01,40089001_23_cattle_2011-07-01,40089001_24_cattle_2011-07-01,40089001_25_cattle_2011-07-01,40089001_26_cattle_2011-07-01,40089001_27_cattle_2011-07-01,40089001_28_cattle_2011-04-01,40089001_29_cattle_2011-07-01,40089001_2_cattle_2011-07-01,40089001_30_cattle_2011-07-01,40089001_31_cattle_2011-07-01,40089001_32_cattle_2011-07-01,40089001_33_cattle_2011-07-01,40089001_34_cattle_2011-07-01,40089001_35_cattle_2011-07-01,40089001_36_cattle_2011-07-01,40089001_37_cattle_2011-07-01,40089001_38_cattle_2011-07-01,40089001_39_cattle_2011-07-01,40089001_3_cattle_2011-07-01,40089001_40_cattle_2011-07-01,40089001_41_cattle_2011-07-01,40089001_42_cattle_2011-07-01,40089001_4_cattle_2011-07-01,40089001_5_cattle_2011-07-01,40089001_6_cattle_2011-07-01,40089001_7_cattle_2011-07-01,40089001_8_cattle_2011-07-01,40089001_9_cattle_2011-07-01,40089077_0_cattle_2012-11-01,40089077_1_cattle_2012-12-01,40089077_2_cattle_2012-12-01,40089077_3_cattle_2012-12-01,40089_1_boar_2016-09-01,40089_2_boar_2013-09-01,40089_3_boar_2014-07-01,40091_1_boar_2016-08-01,40091_2_boar_2016-12-01,40270033_0_cattle_2013-12-01,40270058_0_cattle_2013-02-01,40270058_10_cattle_2013-02-01,40270058_11_cattle_2013-02-01,40270058_12_cattle_2013-02-01,40270058_13_cattle_2013-02-01,40270058_14_cattle_2013-02-01,40270058_15_cattle_2013-02-01,40270058_16_cattle_2013-02-01,40270058_17_cattle_2013-02-01,40270058_18_cattle_2013-02-01,40270058_19_cattle_2013-02-01,40270058_1_cattle_2013-02-01,40270058_20_cattle_2013-02-01,40270058_21_cattle_2013-02-01,40270058_22_cattle_2013-02-01,40270058_23_cattle_2013-02-01,40270058_24_cattle_2013-02-01,40270058_2_cattle_2013-02-01,40270058_3_cattle_2013-01-01,40270058_4_cattle_2013-02-01,40270058_5_cattle_2013-01-01,40270058_6_cattle_2013-02-01,40270058_7_cattle_2013-02-01,40270058_8_cattle_2013-02-01,40270058_9_cattle_2013-02-01,40270_10_boar_2012-06-01,40270_11_boar_2012-09-01,40270_12_boar_2012-10-01,40270_2_boar_2014-08-01,40270_3_boar_2012-05-01,40270_4_boar_2013-02-01,40270_5_boar_2013-03-01,40270_8_boar_2016-04-01,40270_9_boar_2013-03-01,64135060_1_cattle_2018-02-01,64135060_2_cattle_2018-04-01,64135060_4_cattle_2019-07-01,64135093_6_cattle_2020-02-01,64135109_0_cattle_2016-12-01,64135109_1_cattle_2016-12-01,64135_27_boar_2016-11-01,64135_28_boar_2018-11-01,64135_30_boar_2018-02-01,64135_31_boar_2018-05-01,64135_37_boar_2020-02-01,64420015_0_cattle_2009-12-01,64420015_10_cattle_2009-12-01,64420015_11_cattle_2009-12-01,64420015_12_cattle_2009-12-01,64420015_13_cattle_2009-04-01,64420015_14_cattle_2009-12-01,64420015_15_cattle_2009-12-01,64420015_16_cattle_2009-12-01,64420015_17_cattle_2009-11-01,64420015_18_cattle_2009-12-01,64420015_19_cattle_2009-12-01,64420015_1_cattle_2009-12-01,64420015_20_cattle_2009-12-01,64420015_21_cattle_2009-12-01,64420015_22_cattle_2009-12-01,64420015_23_cattle_2009-12-01,64420015_24_cattle_2009-12-01,64420015_2_cattle_2009-06-01,64420015_3_cattle_2009-12-01,64420015_4_cattle_2009-12-01,64420015_5_cattle_2008-06-01,64420015_6_cattle_2009-11-01,64420015_7_cattle_2009-12-01,64420015_8_cattle_2009-12-01,64420015_9_cattle_2009-12-01
0.0017996400719856025,0.0017996400719856025,0.0017996400719856025,0.09498100379924096,0.0931813637272553,0,0,1.999600079984003e-4,0.04099180163967195,0.06058788242351511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008998200359928014,0.014197160567886403,0,0,0.12137572485503062,0.15956808638272627,0.18276344731054142,0.003999200159968007,0.0027994401119776045,0.006398720255948813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.09698060387922502,0.028194361127774376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,9.998000399920016e-4,0.05878824235152951,0.07078584283143377,3.999200159968006e-4,0.001399720055988802,0,0.001399720055988802,0.003999200159968007,0.010197960407918412,1.999600079984003e-4,3.999200159968006e-4,0,0.004799040191961609,0,3.999200159968006e-4,0,1.999600079984003e-4,0.0011997600479904018,0.002999400119976005,0,0,0,5.998800239952009e-4,5.998800239952009e-4,0,0.0023995200959808036,0.004399120175964808,0,0,1.999600079984003e-4,0,0.05778844231153751,3.999200159968006e-4,0,1.999600079984003e-4,0.31393721255748724,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0.001399720055988802,0,5.998800239952009e-4,0,0,0,0,0,0,0,0.0015996800639872023
0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0.04099180163967195,0.001399720055988802,0.007998400319936016,0.017596480703859198,0.0023995200959808036,0.0023995200959808036,0.006398720255948813,0.03099380123975197,0.005998800239952012,0.007198560287942414,0.03519296140771836,0.024995000999799982,1.999600079984003e-4,0.008598280343931215,5.998800239952009e-4,0.06718656268746245,0.06518696260747839,0.008998200359928014,0.019396120775844794,7.998400319936012e-4,0.010197960407918412,0.001399720055988802,0.0015996800639872023,0.001399720055988802,0.0015996800639872023,0.037792441511697555,0.006398720255948813,0.0031993601279744054,0.08038392321535728,0.002199560087982403,0.04419116176764634,0.0017996400719856025,0.0017996400719856025,0.018596280743851196,0.042591481703659145,0.03479304139172156,0.002999400119976005,0.0015996800639872023,0.051789642071585526,0.007198560287942414,0.014797040591881602,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005798840231953611,0,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02099580083983199,7.998400319936012e-4,0.0017996400719856025,9.998000399920016e-4,0.008398320335932815,7.998400319936012e-4,1.999600079984003e-4,0.0027994401119776045,0.0011997600479904018,3.999200159968006e-4,0.001399720055988802,0.0027994401119776045,0.001399720055988802,0.011797640471905608,0.007398520295940815,0.022195560887822388,0.001399720055988802,0.008198360327934416,0.0019996000799840027,0.006198760247950412,1.999600079984003e-4,1.999600079984003e-4,0.002999400119976005,0,0.04539092181563674
0,0,0,0,0,0,0,0,0,0,0,0,0.01059788042391521,0.052789442111577524,0,0.020395920815836792,0.008598280343931215,0.037992401519695955,0.006998600279944014,0.01059788042391521,0.023395320935812786,0.08298340331933657,0.023395320935812786,0.05558888222355512,0.007198560287942414,0.07938412317536525,0.0027994401119776045,0.020395920815836792,0.009798040391921612,0.017796440711857597,0.022195560887822388,0.029794041191761572,0.061187762447510306,0.0035992801439712063,0.03499300139971996,0.0045990801839632086,0.0031993601279744054,0.008398320335932815,0.009998000399920012,0.01099780043991201,0.02199560087982399,0.018996200759847995,0.03459308138372316,0.011597680463907209,0.01119776044791041,0.016996600679864,0.011397720455908809,0.03639272145570876,0.0157968406318736,0.014397120575884803,0.019196160767846394,0,0.019396120775844794,0.017996400719855997,0.03479304139172156,5.998800239952009e-4,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017596480703859198,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07718456308738278,0.003999200159968007,0.0015996800639872023,0.005598880223955211,0.022995400919815986,0.0045990801839632086,0.002999400119976005,0.010197960407918412,0.0019996000799840027,0.005798840231953611,0.009598080383923213,0.005598880223955211,0.0015996800639872023,0.04899020195960793,0.06458708258348317,0.07078584283143377,0.006998600279944014,0.022595480903819187,0.002999400119976005,0.011597680463907209,0.011797640471905608,0.0015996800639872023,0.004399120175964808,0.002999400119976005,0.15296940611877885
0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0.0015996800639872023,0.0017996400719856025,0,0,0,0.0019996000799840027,0,0.36852629474104465,0.003999200159968007,1.999600079984003e-4,1.999600079984003e-4,0,9.998000399920016e-4,7.998400319936012e-4,0,0.0027994401119776045,0,7.998400319936012e-4,0.006398720255948813,0.002199560087982403,0,0.008398320335932815,0,0,0,0.0035992801439712063,0.0011997600479904018,0,0,5.998800239952009e-4,0.003999200159968007,3.999200159968006e-4,0.06818636272745449,0,0.012597480503899207,7.998400319936012e-4,1.999600079984003e-4,3.999200159968006e-4,0,0,0.06658668266346723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,1.999600079984003e-4,1.999600079984003e-4,0,3.999200159968006e-4,0,0,0.0023995200959808036,0,0.0017996400719856025,0,3.999200159968006e-4,0,0,0,0,0,3.999200159968006e-4,0.0035992801439712063
0,0,0,0,0,0,0,0,0,0,0,0,0.04619076184763034,5.998800239952009e-4,5.998800239952009e-4,0,0,0.07098580283943218,0,5.998800239952009e-4,0,0,0.0015996800639872023,0.0031993601279744054,0,5.998800239952009e-4,0,9.998000399920016e-4,0,3.999200159968006e-4,0,0,0.0011997600479904018,1.999600079984003e-4,0,0,0,5.998800239952009e-4,0,1.999600079984003e-4,0.0019996000799840027,0.0015996800639872023,0,0,0,0,0.3303339332133543,0,3.999200159968006e-4,3.999200159968006e-4,0.04879024195160953,0,0,7.998400319936012e-4,0.0017996400719856025,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0.0017996400719856025,0,0,0,0,0,0,0,0,0.0019996000799840027
0,0,0,0,0,0,0,0,0,0,0,0,0.12517496500700034,0.010397920415916811,0.019596080783843194,3.999200159968006e-4,0.1237752449510115,0,0.001399720055988802,0.01059788042391521,0.002599480103979204,0.007598480303939215,0.017996400719855997,0.027594481103779177,0.0017996400719856025,0.012197560487902407,3.999200159968006e-4,0.0153969206158768,0.0019996000799840027,0.003999200159968007,0.008998200359928014,0.0023995200959808036,0.008398320335932815,0.007598480303939215,0.008998200359928014,0,0,0.0023995200959808036,0.002599480103979204,0.003399320135972806,0.010397920415916811,0.011797640471905608,0.0049990001999600095,0.0017996400719856025,7.998400319936012e-4,0.0035992801439712063,0.12937412517496688,0.0031993601279744054,0.004199160167966408,0.0015996800639872023,0.12737452509498282,0,0.002199560087982403,5.998800239952009e-4,0.014797040591881602,1.999600079984003e-4,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01059788042391521,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014597080583883202,0,7.998400319936012e-4,0,3.999200159968006e-4,0,3.999200159968006e-4,3.999200159968006e-4,0,0,0.0011997600479904018,5.998800239952009e-4,0,0.009398120375924813,0.002199560087982403,0.008798240351929614,0,3.999200159968006e-4,0,0,3.999200159968006e-4,0,0,7.998400319936012e-4,0.02199560087982399
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0.002599480103979204,0,0,0,0,0.007798440311937616,0.0037992401519696068,0,0,0,0,0.0153969206158768,0,0.02119576084783039,0,0,0.03979204159168155,0,0,0.024195160967806384,0,0,0,0.3191361727654451,0,0,0,9.998000399920016e-4,0.03399320135972796,0,0.0037992401519696068,0,0.029794041191761572,0,0,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.004799040191961609,1.999600079984003e-4,0.004399120175964808,0.002599480103979204,3.999200159968006e-4,0.005598880223955211,0,0,1.999600079984003e-4,0.002599480103979204,0.028994201159767974,0.03179364127174557,1.999600079984003e-4,0.002199560087982403,0,0.004799040191961609,0,0,0,5.998800239952009e-4,0,0.01079784043191361,5.998800239952009e-4,0,0,0.017796440711857597,0,0,0.29514097180563964,0.033793241351729564,1.999600079984003e-4,0,5.998800239952009e-4,0,0.0015996800639872023,0,1.999600079984003e-4,0.001399720055988802,9.998000399920016e-4,0,0,0,0.01079784043191361,1.999600079984003e-4,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,5.998800239952009e-4,0.0011997600479904018,0,0.001399720055988802,0.001399720055988802,5.998800239952009e-4,0,3.999200159968006e-4,9.998000399920016e-4,0.0031993601279744054,0.0017996400719856025,0,0.0037992401519696068,0.0019996000799840027,0.0027994401119776045,0.0011997600479904018,0.0031993601279744054,0,9.998000399920016e-4,0,5.998800239952009e-4,0.004799040191961609,0,0.00519896020795841
