from,to,time,support,generations
64,74,97,0.013888888888888888,1
44,75,93,0.016666666666666666,1
50,76,87,0.02722222222222222,1
76,77,95,0.01611111111111111,1
64,78,94,0.015,1
125,79,94,0.016666666666666666,1
42,80,89,0.022222222222222223,1
126,81,95,0.01611111111111111,1
49,82,92,0.015555555555555555,1
101,83,94,0.015555555555555555,1
64,84,94.5,0.015,1
67,85,104,0.013333333333333334,1
50,86,93,0.017222222222222222,1
25,87,91,0.017222222222222222,1
76,88,95,0.017777777777777778,1
47,89,99,0.013333333333333334,1
100,90,90,0.022222222222222223,1
281,91,134,0.020555555555555556,1
123,92,94,0.015555555555555555,1
275,93,138,0.7822222222222223,1
54,94,90,0.02,1
32,95,90,0.01888888888888889,1
100,96,93,0.015,1
298,97,132,0.021666666666666667,1
15,98,90,0.019444444444444445,1
25,99,89,0.02,1
7,100,87,0.025555555555555557,1
34,101,89,0.021111111111111112,1
192,102,111,0.012222222222222223,1
32,103,92,0.018333333333333333,1
48,104,104,0.013888888888888888,1
210,105,104,0.2388888888888889,1
100,106,91,0.019444444444444445,1
139,107,94,0.014444444444444444,1
99,108,94,0.017222222222222222,1
116,109,96,0.015,1
80,110,90,0.017777777777777778,1
112,111,104,0.2633333333333333,1
68,112,90.5,0.16055555555555556,1
99,113,94,0.014444444444444444,1
101,114,94,0.015,1
99,115,95,0.017222222222222222,1
7,116,89.5,0.018333333333333333,1
49,117,95,0.014444444444444444,1
184,118,122,0.017222222222222222,1
103,119,105,0.012777777777777779,1
40,120,90,0.02,1
64,121,94,0.016666666666666666,1
98,122,94,0.01611111111111111,1
27,123,89,0.024444444444444446,1
54,124,89,0.021666666666666667,1
51,125,90,0.02388888888888889,1
54,126,90,0.021111111111111112,1
20,127,89,0.019444444444444445,1
100,128,94,0.017222222222222222,1
123,129,95,0.016666666666666666,1
99,130,95,0.015555555555555555,1
76,131,95,0.018333333333333333,1
64,132,95,0.015555555555555555,1
32,133,93,0.01611111111111111,1
54,134,90,0.019444444444444445,1
44,135,90,0.021111111111111112,1
44,136,90,0.01888888888888889,1
32,137,90,0.020555555555555556,1
25,138,90,0.020555555555555556,1
9,139,90,0.019444444444444445,1
90,140,94,0.015,1
116,141,94,0.01611111111111111,1
112,142,96,0.5161111111111111,1
80,143,95,0.016666666666666666,1
99,144,95,0.01611111111111111,1
76,145,95,0.013888888888888888,1
126,146,95,0.013888888888888888,1
32,147,95,0.017222222222222222,1
98,148,94,0.01611111111111111,1
64,149,94.5,0.015555555555555555,1
183,150,112,0.014444444444444444,1
49,151,90,0.021111111111111112,1
49,152,95,0.015555555555555555,1
112,153,97,0.5183333333333333,1
64,154,95,0.015555555555555555,1
87,155,104,0.013333333333333334,1
64,156,94,0.016666666666666666,1
90,157,94,0.01611111111111111,1
126,158,94,0.014444444444444444,1
134,159,95,0.014444444444444444,1
76,160,95,0.02,1
76,161,94,0.022222222222222223,1
100,162,94,0.017222222222222222,1
206,163,113,0.12333333333333334,1
125,164,96,0.017777777777777778,1
51,165,94,0.013888888888888888,1
76,166,94,0.017222222222222222,1
116,167,94,0.015,1
45,168,93,0.017777777777777778,1
119,169,109,0.013888888888888888,1
64,170,95,0.015,1
100,171,95,0.017777777777777778,1
144,172,102,0.01611111111111111,1
100,173,95,0.014444444444444444,1
134,174,95,0.014444444444444444,1
183,175,110,0.013888888888888888,1
183,176,112,0.016666666666666666,1
79,177,104,0.013888888888888888,1
157,178,108,0.012222222222222223,1
109,179,104,0.012777777777777779,1
241,180,111,0.4855555555555556,1
263,181,140,0.03833333333333333,1
57,182,102,0.015555555555555555,1
75,183,107,0.011666666666666667,1
179,184,114,0.012777777777777779,1
263,185,141,0.03333333333333333,1
189,186,116,0.013888888888888888,1
208,187,118,0.016666666666666666,1
112,188,102,0.30666666666666664,1
182,189,112,0.015,1
108,190,104,0.014444444444444444,1
52,191,102,0.013333333333333334,1
121,192,104,0.013888888888888888,1
