param,median,2.5%,97.5%,ess,sim,scenario
pi,0.9607778284938738,0.8916604730951244,0.9976437226541867,362.58310960272416,S4_26,1
post,-2284.078600647207,-2338.142464604536,-2246.8713319616804,285.7689948212669,S4_27,1
mu,0.0030995654849226796,0.0025576153854131355,0.0036813400093321565,1466.2033800291567,S4_27,1
pi,0.9881824491694358,0.9390266941484051,0.9994657856432917,895.0627701573878,S4_27,1
post,-2373.331324505162,-2418.030602161056,-2333.329509177255,357.9408619775566,S4_28,1
mu,0.0028047334949344934,0.0023715841147702033,0.003367819380734132,1624.7977359612119,S4_28,1
pi,0.9881250184802067,0.9540123606722105,0.9995216281712346,920.8863891612043,S4_28,1
post,-2545.1661560583984,-2598.166428130963,-2503.854309456114,395.3446420624629,S4_29,1
mu,0.003457331270406984,0.0029066572037009077,0.004090451111481654,1800.2629723517073,S4_29,1
pi,0.9875354488630324,0.9396583787859352,0.9995485121176511,974.7678831658992,S4_29,1
post,-3373.246804956051,-3431.939043911004,-3323.3566354805407,411.4397756086744,S4_30,1
mu,0.003205290848042437,0.0027313513765678836,0.0037222735155443072,2657.252374323642,S4_30,1
pi,0.9857647671431107,0.9452322862792975,0.9992246695702154,644.2852224374135,S4_30,1
