param,median,2.5%,97.5%,ess,sim,scenario
pi,0.98707716748858,0.9336934933742318,0.9995881291708404,1065.5402132119782,A1_6,4
post,-2123.770122467173,-2180.046624904414,-2076.4142189112213,235.17774320549745,A1_6,5
mu,8.196925677275437e-4,5.789218445771446e-4,0.0011070966031836093,1800.9999999999961,A1_6,5
pi,0.9890882511481688,0.9445012434830997,0.9994771787039364,773.3589040320661,A1_6,5
post,-1790.4494686580124,-1842.0021469154694,-1744.1203497495917,339.34973348068416,A1_6,6
mu,8.671153695521959e-4,6.074711553169355e-4,0.0011893900043913556,1801.0000000000025,A1_6,6
pi,0.98707716748858,0.9336934933742318,0.9995881291708404,1065.5402132119782,A1_6,6
post,-878.0144023013696,-930.3171562489656,-843.6037641717985,241.86937195841475,A1_7,1
mu,0.0011012833567279924,6.694339313777722e-4,0.0016589611044469394,1509.9819204398036,A1_7,1
pi,0.9424290214087216,0.7849407991261763,0.9975316418185767,557.4032420523306,A1_7,1
post,-792.9536156280083,-837.7682269295818,-759.7737036200992,354.8197217445171,A1_7,2
mu,0.00103956791744032,6.220119843531591e-4,0.0015779051083332132,1490.1870817615757,A1_7,2
pi,0.9513461243275819,0.8108127455152055,0.9981192713176935,886.0386109350211,A1_7,2
post,-722.4963409296956,-771.2135520100646,-692.2930465225032,462.18405610517544,A1_7,3
mu,0.001157216657217926,7.189660406618492e-4,0.0018465843836776104,1254.5212910219918,A1_7,3
pi,0.9433889202038501,0.7768875162001808,0.9981040123973085,682.9977373603427,A1_7,3
post,-512.5298823252938,-546.9419156198475,-485.7456496660787,371.70151868067524,A1_7,4
mu,9.271151637545204e-4,4.630788974362711e-4,0.0016107020874788346,760.0121384997348,A1_7,4
pi,0.9235176766790827,0.733182319855318,0.9965227882012961,744.5128676940144,A1_7,4
post,-654.0001253954355,-698.4723130457186,-621.360952986357,333.7442712519334,A1_7,5
mu,0.0010424586575057944,5.828503210827664e-4,0.0016775511997251232,1337.1265085126474,A1_7,5
pi,0.9307131246718343,0.7549245102461638,0.997017391352137,554.4373927990205,A1_7,5
post,-497.27486045042195,-528.1979450669351,-473.7775275647036,401.6735262765608,A1_7,6
mu,9.981408400524328e-4,5.035254766513666e-4,0.0017380722796140407,1205.2865657142902,A1_7,6
pi,0.9496198401528856,0.7975366105495499,0.9971627452844715,1352.7362582514043,A1_7,6
post,-3638.126098150519,-3710.9641783084144,-3575.304342279,312.1119236410081,A1_8,1
mu,8.502253761340882e-4,6.653800267148731e-4,0.0010857850081496677,1670.5803146568599,A1_8,1
pi,0.9927726719429796,0.9635528152559969,0.9997803564633476,529.4551657567322,A1_8,1
post,-3530.4856537889223,-3603.4792454093626,-3473.874119670185,221.2706403513193,A1_8,2
mu,8.22887185218935e-4,6.358831358962973e-4,0.0010483852152448465,1341.9595495461874,A1_8,2
pi,0.991942484979492,0.9624706942807325,0.9997151067270073,727.9158559291958,A1_8,2
post,-3065.385600795544,-3135.1497362748037,-3006.940713643181,308.8798586655455,A1_8,3
mu,8.547029161568697e-4,6.514498632990067e-4,0.0010985937220011808,1681.540473835451,A1_8,3
pi,0.9909758997558743,0.9578750564978125,0.9995568417861288,717.1849781044806,A1_8,3
post,-2713.7826651506016,-2777.365064552744,-2663.1257100091807,267.8287390508895,A1_8,4
mu,8.079979510752741e-4,5.901204337855684e-4,0.0010580517419789355,1800.999999999997,A1_8,4
pi,0.9904246457805619,0.9549503457833464,0.999477280796237,720.3933692955055,A1_8,4
post,-2968.111060635924,-3037.485085250711,-2909.5683427197273,321.45471830383684,A1_8,5
mu,8.206201484433614e-4,6.193377429224957e-4,0.001061636461562604,3600.9999999999955,A1_8,5
pi,0.9915629388967167,0.9572860758889399,0.999698381999407,1288.014662156973,A1_8,5
post,-2706.034419171781,-2769.430739816246,-2654.0949715927886,335.90242715465536,A1_8,6
mu,8.137078026015593e-4,6.095980773034253e-4,0.001069272085961124,1801.0000000000025,A1_8,6
pi,0.9897458119048529,0.9520774159917738,0.9996847798885868,642.6173891081462,A1_8,6
post,-3735.694043984788,-3807.9174233459757,-3676.1846973597417,217.19707700961393,A1_9,1
mu,6.444612797537069e-4,4.886238614076312e-4,8.317983613897959e-4,1800.9999999999995,A1_9,1
pi,0.9922151932014387,0.9630709463331358,0.9997791855042946,646.1961951346251,A1_9,1
post,-3537.9712274412122,-3613.026496739143,-3476.385759824977,233.29731591367917,A1_9,2
mu,6.585418732008759e-4,4.882748513746969e-4,8.660719434861136e-4,1662.5114034971457,A1_9,2
pi,0.9922199496507288,0.9612248616077357,0.9998145683006773,587.9216117770721,A1_9,2
post,-3042.4090711808167,-3108.2505790158098,-2991.7928335307133,324.3065315580983,A1_9,3
mu,6.555889081830735e-4,4.833797571406194e-4,8.688063418001401e-4,1682.2209921119559,A1_9,3
pi,0.9919538313162986,0.9590697470807964,0.9997267981599558,469.49096083843517,A1_9,3
post,-2715.3655416892325,-2786.3213640274075,-2666.5997557950523,263.9439583393136,A1_9,4
mu,4.986915751983517e-4,3.473705673981368e-4,7.065716084859983e-4,1676.8386715891804,A1_9,4
pi,0.9912256969504256,0.9543816314036602,0.9997072518770275,620.405186469202,A1_9,4
post,-2901.939522429916,-2972.218841462344,-2852.8817346108876,285.78499590006027,A1_9,5
mu,6.560975204089913e-4,4.7632460193988176e-4,8.893501116665162e-4,1800.9999999999986,A1_9,5
pi,0.9917410290958852,0.9567992370913914,0.99966768114119,728.8625146374109,A1_9,5
post,-2656.8492693028707,-2712.4776465318528,-2604.893006543071,392.7177438334104,A1_9,6
mu,5.105955119362634e-4,3.4682407233151065e-4,7.153958348135523e-4,1801.0000000000025,A1_9,6
pi,0.9913719251561451,0.959787546458178,0.9996508366718438,829.377158825475,A1_9,6
post,-1677.756013920511,-1745.8237896516132,-1627.30085361057,310.57035612894714,A1_10,1
mu,6.938109006658558e-4,4.532845569155055e-4,9.920163800414053e-4,1800.9999999999998,A1_10,1
pi,0.9732525942365654,0.8910345673366717,0.9987928306899573,577.3400172908002,A1_10,1
post,-1504.0626926489435,-1561.6604127158832,-1462.0344091452353,542.89992464486,A1_10,2
mu,7.399559901436269e-4,4.7138071713515695e-4,0.0010798992950608506,1682.658762627462,A1_10,2
pi,0.975913484479902,0.8933899167763383,0.9990102636843845,724.8500997119365,A1_10,2
post,-1266.3163079713481,-1322.650546589461,-1225.8996825658007,395.85549032969476,A1_10,3
mu,5.828848702917655e-4,3.3991030722576785e-4,9.198397771667066e-4,1800.999999999997,A1_10,3
pi,0.9741857818834789,0.8809418146304077,0.9988019709614032,654.7951418684966,A1_10,3
post,-1374.6417697348018,-1429.108313968586,-1332.9935367614269,386.3677072060703,A1_10,4
mu,6.704032947209192e-4,4.1523860573680345e-4,9.976767080772133e-4,1540.9156932520198,A1_10,4
pi,0.9722512696814345,0.8856825029851468,0.9989445818950461,857.1619494083977,A1_10,4
post,-1174.6872363206137,-1224.6880726218742,-1138.4865340026302,454.446419834922,A1_10,5
mu,6.267649668356673e-4,3.7073315615156107e-4,9.796222277003376e-4,1630.6398079253197,A1_10,5
pi,0.9753842321783233,0.8891121273167194,0.9988121673037725,996.2671994131019,A1_10,5
post,-1292.304640632392,-1350.7476098999412,-1253.8886752073897,402.0295326581872,A1_10,6
mu,6.846220465213482e-4,4.1804949809018144e-4,0.001046273809927213,1452.724668357449,A1_10,6
