X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle,trans_1,trans_2,trans_3,trans_4,trans_5,trans_6
10490,13,SB0832,cattle,cattle,64420047_5,64420047_3,64420047,64420047,within,43,-1,47,abattage,457,120,cattle->cattle,2010,4,b2012,224,224,64420047_3->64420047_5,64420047_3->64420047_5,64420047_3->64420047_5,64420047_3->64420047_5,64420047_3->64420047_5,64420047_3->64420047_5
10491,13,SB0832,cattle,cattle,64420044_7,64420044_0,64420044,64420044,within,44,-1,51,abattage,482,120,cattle->cattle,2010,7,b2012,224,224,64420044_0->64420044_7,64420044_0->64420044_7,64420044_0->64420044_7,64420044_0->64420044_7,64420044_0->64420044_7,64420044_0->64420044_7
10492,13,SB0832,cattle,cattle,64420015_14,64420044_1,64420015,64420044,pasture,44,48,50,abattage,483,120,cattle->cattle,2010,6,b2012,224,224,64420044_1->64420015_14,64420044_1->64420015_14,64420044_1->64420015_14,64420044_1->64420015_14,64420044_1->64420015_14,64420044_1->64420015_14
10493,13,SB0832,cattle,cattle,64420012_0,64420047_4,64420012,64420047,pasture,44,47,61,demographie,484,120,cattle->cattle,2010,17,b2012,224,224,64420047_4->64420012_0,64420047_4->64420012_0,64420047_4->64420012_0,64420047_4->64420012_0,64420047_4->64420012_0,64420047_4->64420012_0
10494,13,SB0832,cattle,cattle,64420035_0,64420047_4,64420035,64420047,pasture,44,45,58,demographie,485,120,cattle->cattle,2010,14,b2012,224,224,64420047_4->64420035_0,64420047_4->64420035_0,64420047_4->64420035_0,64420047_4->64420035_0,64420047_4->64420035_0,64420047_4->64420035_0
10495,13,SB0832,cattle,cattle,64420047_8,64420044_0,64420047,64420044,pasture,45,46,47,abattage,504,120,cattle->cattle,2010,2,b2012,224,224,64420044_0->64420047_8,64420044_0->64420047_8,64420044_0->64420047_8,64420044_0->64420047_8,64420044_0->64420047_8,64420044_0->64420047_8
10496,13,SB0832,cattle,cattle,64420039_0,64420047_1,64420039,64420047,pasture,45,48,58,demographie,505,120,cattle->cattle,2010,13,b2012,224,224,64420047_1->64420039_0,64420047_1->64420039_0,64420047_1->64420039_0,64420047_1->64420039_0,64420047_1->64420039_0,64420047_1->64420039_0
10497,13,SB0832,cattle,cattle,64420047_7,64420047_2,64420047,64420047,within,45,-1,47,abattage,506,120,cattle->cattle,2010,2,b2012,224,224,64420047_2->64420047_7,64420047_2->64420047_7,64420047_2->64420047_7,64420047_2->64420047_7,64420047_2->64420047_7,64420047_2->64420047_7
10498,13,SB0832,cattle,cattle,64420035_2,64420047_3,64420035,64420047,pasture,45,46,62,abattage,507,120,cattle->cattle,2010,17,b2012,224,224,64420047_3->64420035_2,64420047_3->64420035_2,64420047_3->64420035_2,64420047_3->64420035_2,64420047_3->64420035_2,64420047_3->64420035_2
10499,13,SB0832,cattle,cattle,64420038_0,64420047_3,64420038,64420047,pasture,45,50,64,demographie,508,120,cattle->cattle,2010,19,b2012,224,224,64420047_3->64420038_0,64420047_3->64420038_0,64420047_3->64420038_0,64420047_3->64420038_0,64420047_3->64420038_0,64420047_3->64420038_0
10500,13,SB0832,cattle,cattle,64420035_1,64420047_4,64420035,64420047,pasture,45,49,62,abattage,509,120,cattle->cattle,2010,17,b2012,224,224,64420047_4->64420035_1,64420047_4->64420035_1,64420047_4->64420035_1,64420047_4->64420035_1,64420047_4->64420035_1,64420047_4->64420035_1
10501,13,SB0832,cattle,cattle,64420044_8,64420007_0,64420044,64420007,pasture,46,49,51,abattage,533,120,cattle->cattle,2010,5,b2012,224,224,64420007_0->64420044_8,64420007_0->64420044_8,64420007_0->64420044_8,64420007_0->64420044_8,64420007_0->64420044_8,64420007_0->64420044_8
10502,13,SB0832,cattle,cattle,64420015_15,64420015_13,64420015,64420015,within,46,46,50,abattage,534,120,cattle->cattle,2010,4,b2012,224,224,64420015_13->64420015_15,64420015_13->64420015_15,64420015_13->64420015_15,64420015_13->64420015_15,64420015_13->64420015_15,64420015_13->64420015_15
10503,13,SB0832,cattle,cattle,64420047_9,64420044_1,64420047,64420044,pasture,46,47,47,abattage,535,120,cattle->cattle,2010,1,b2012,224,224,64420044_1->64420047_9,64420044_1->64420047_9,64420044_1->64420047_9,64420044_1->64420047_9,64420044_1->64420047_9,64420044_1->64420047_9
10504,13,SB0832,cattle,cattle,64420047_10,64420047_2,64420047,64420047,within,46,-1,47,abattage,536,120,cattle->cattle,2010,1,b2012,224,224,64420047_2->64420047_10,64420047_2->64420047_10,64420047_2->64420047_10,64420047_2->64420047_10,64420047_2->64420047_10,64420047_2->64420047_10
10505,13,SB0832,cattle,cattle,64420047_12,64420047_2,64420047,64420047,within,46,-1,47,abattage,537,120,cattle->cattle,2010,1,b2012,224,224,64420047_2->64420047_12,64420047_2->64420047_12,64420047_2->64420047_12,64420047_2->64420047_12,64420047_2->64420047_12,64420047_2->64420047_12
10506,13,SB0832,cattle,cattle,64420047_11,64420047_6,64420047,64420047,within,46,-1,47,abattage,538,120,cattle->cattle,2010,1,b2012,224,224,64420047_6->64420047_11,64420047_6->64420047_11,64420047_6->64420047_11,64420047_6->64420047_11,64420047_6->64420047_11,64420047_6->64420047_11
10507,13,SB0832,cattle,cattle,64420015_17,64420015_10,64420015,64420015,within,47,48,50,abattage,563,120,cattle->cattle,2010,3,b2012,224,224,64420015_10->64420015_17,64420015_10->64420015_17,64420015_10->64420015_17,64420015_10->64420015_17,64420015_10->64420015_17,64420015_10->64420015_17
10508,13,SB0832,cattle,cattle,64420015_16,64420015_13,64420015,64420015,within,47,48,50,abattage,564,120,cattle->cattle,2010,3,b2012,224,224,64420015_13->64420015_16,64420015_13->64420015_16,64420015_13->64420015_16,64420015_13->64420015_16,64420015_13->64420015_16,64420015_13->64420015_16
10509,13,SB0832,cattle,cattle,64420035_3,64420035_0,64420035,64420035,within,47,-1,48,demographie,565,120,cattle->cattle,2010,1,b2012,224,224,64420035_0->64420035_3,64420035_0->64420035_3,64420035_0->64420035_3,64420035_0->64420035_3,64420035_0->64420035_3,64420035_0->64420035_3
10510,13,SB0832,cattle,cattle,64420044_9,64420044_0,64420044,64420044,within,47,47,53,abattage,566,120,cattle->cattle,2010,6,b2012,224,224,64420044_0->64420044_9,64420044_0->64420044_9,64420044_0->64420044_9,64420044_0->64420044_9,64420044_0->64420044_9,64420044_0->64420044_9
10511,13,SB0832,cattle,cattle,64420044_10,64420044_3,64420044,64420044,within,47,48,53,abattage,567,120,cattle->cattle,2010,6,b2012,224,224,64420044_3->64420044_10,64420044_3->64420044_10,64420044_3->64420044_10,64420044_3->64420044_10,64420044_3->64420044_10,64420044_3->64420044_10
