X1,root,type,sp_infected,sp_infector,infected,infector,pop_infected,pop_infector,modeinfection,tinfection,tinfective,tremoved,moderemoval,index,sim,transmission,year,period_inf,surv,nb_lineages,cattle
25783,13,SB0832,cattle,cattle,64420012_11,64420012_3,64420012,64420012,within,52,56,64,abattage,325,135,cattle->cattle,2011,12,b2012,235,235
25784,13,SB0832,cattle,cattle,64420047_14,64420012_3,64420047,64420012,pasture,52,53,56,abattage,326,135,cattle->cattle,2011,4,b2012,235,235
25785,13,SB0832,cattle,cattle,64420012_10,64420012_9,64420012,64420012,within,52,57,64,abattage,327,135,cattle->cattle,2011,12,b2012,235,235
25786,13,SB0832,cattle,cattle,64420038_5,64420038_1,64420038,64420038,within,52,53,65,abattage,328,135,cattle->cattle,2011,13,b2012,235,235
25787,13,SB0832,cattle,cattle,64420038_4,64420038_2,64420038,64420038,within,52,56,65,abattage,329,135,cattle->cattle,2011,13,b2012,235,235
25788,13,SB0832,cattle,cattle,64420047_15,64420047_0,64420047,64420047,within,52,55,56,abattage,330,135,cattle->cattle,2011,4,b2012,235,235
25789,13,SB0832,cattle,cattle,64420035_2,64420047_11,64420035,64420047,pasture,52,53,68,abattage,331,135,cattle->cattle,2011,16,b2012,235,235
25790,13,SB0832,cattle,cattle,64420035_1,64420047_4,64420035,64420047,pasture,52,56,68,abattage,332,135,cattle->cattle,2011,16,b2012,235,235
25791,13,SB0832,cattle,cattle,64420038_6,64420038_2,64420038,64420038,within,53,64,65,abattage,340,135,cattle->cattle,2011,12,b2012,235,235
25792,13,SB0832,cattle,cattle,64420012_13,64420047_12,64420012,64420047,pasture,53,57,64,abattage,341,135,cattle->cattle,2011,11,b2012,235,235
25793,13,SB0832,cattle,cattle,64420035_3,64420047_2,64420035,64420047,pasture,53,55,68,abattage,342,135,cattle->cattle,2011,15,b2012,235,235
25794,13,SB0832,cattle,cattle,64420047_16,64420047_2,64420047,64420047,within,53,-1,56,abattage,343,135,cattle->cattle,2011,3,b2012,235,235
25795,13,SB0832,cattle,cattle,64420012_12,64420047_9,64420012,64420047,pasture,53,55,64,abattage,344,135,cattle->cattle,2011,11,b2012,235,235
25796,13,SB0832,cattle,cattle,64420012_14,64420012_2,64420012,64420012,within,54,55,64,abattage,353,135,cattle->cattle,2011,10,b2012,235,235
25797,13,SB0832,cattle,cattle,64420035_4,64420035_2,64420035,64420035,within,54,55,68,abattage,354,135,cattle->cattle,2011,14,b2012,235,235
25798,13,SB0832,cattle,cattle,64420035_6,64420035_2,64420035,64420035,within,54,57,68,abattage,355,135,cattle->cattle,2011,14,b2012,235,235
25799,13,SB0832,cattle,cattle,64420035_5,64420047_10,64420035,64420047,pasture,54,56,68,abattage,356,135,cattle->cattle,2011,14,b2012,235,235
25800,13,SB0832,cattle,cattle,64420012_16,64420012_8,64420012,64420012,within,55,55,64,abattage,369,135,cattle->cattle,2011,9,b2012,235,235
25801,13,SB0832,cattle,cattle,64420012_15,64420012_9,64420012,64420012,within,55,56,64,abattage,370,135,cattle->cattle,2011,9,b2012,235,235
25802,13,SB0832,cattle,cattle,64420039_0,64420047_1,64420039,64420047,pasture,55,57,66,abattage,371,135,cattle->cattle,2011,11,b2012,235,235
25803,13,SB0832,cattle,cattle,64420028_0,64420047_12,64420028,64420047,pasture,55,62,73,abattage,372,135,cattle->cattle,2011,18,b2012,235,235
25804,13,SB0832,cattle,cattle,64420028_1,64420047_13,64420028,64420047,pasture,55,68,71,abattage,373,135,cattle->cattle,2011,16,b2012,235,235
25805,13,SB0832,cattle,cattle,64420035_7,64420047_13,64420035,64420047,pasture,55,58,68,abattage,374,135,cattle->cattle,2011,13,b2012,235,235
