sp_infector,R,nb,R_sim,nb_sim,tree,scenario
boar,2.272727272727273,22,NA,0,B1_13,5
cattle,0.8928571428571429,196,0.9897959183673469,196,B1_13,5
badger,1.2941176470588236,17,NA,0,B1_13,6
boar,1.962962962962963,27,1.4074074074074074,27,B1_13,6
cattle,0.8367346938775511,196,0.9285714285714286,196,B1_13,6
badger,0.5161290322580645,93,0.6559139784946236,93,B1_14,1
boar,1.7826086956521738,69,1.0869565217391304,69,B1_14,1
cattle,0.9565217391304348,230,1.1043478260869566,230,B1_14,1
badger,0.5108695652173914,92,0.5384615384615384,91,B1_14,2
boar,1.7826086956521738,69,1.1014492753623188,69,B1_14,2
cattle,0.9565217391304348,230,1.0782608695652174,230,B1_14,2
badger,0.3978494623655914,93,0.7419354838709677,93,B1_14,3
boar,3.3055555555555554,36,NA,0,B1_14,3
cattle,0.8782608695652174,230,1.0913043478260869,230,B1_14,3
badger,1.4210526315789473,19,NA,0,B1_14,4
boar,1.5797101449275361,69,0.9565217391304348,69,B1_14,4
cattle,0.7869565217391304,230,0.9391304347826087,230,B1_14,4
badger,0.391304347826087,92,0.6263736263736264,91,B1_14,5
boar,3.3055555555555554,36,NA,0,B1_14,5
cattle,0.8782608695652174,230,1.0739130434782609,230,B1_14,5
badger,1.4210526315789473,19,NA,0,B1_14,6
boar,1.5797101449275361,69,0.9565217391304348,69,B1_14,6
cattle,0.7869565217391304,230,0.9391304347826087,230,B1_14,6
badger,0.4807692307692308,52,1.1153846153846154,52,B1_15,1
boar,0.38181818181818183,55,0.9090909090909091,55,B1_15,1
cattle,1.262008733624454,229,0.9912663755458515,229,B1_15,1
badger,0.5,50,0.86,50,B1_15,2
boar,0.38181818181818183,55,0.9636363636363636,55,B1_15,2
cattle,1.2532751091703056,229,1.034934497816594,229,B1_15,2
badger,0.19230769230769232,52,1.1538461538461537,52,B1_15,3
boar,2.142857142857143,7,NA,0,B1_15,3
cattle,1.1441048034934498,229,0.9606986899563319,229,B1_15,3
badger,1.2352941176470589,17,NA,0,B1_15,4
boar,0.34545454545454546,55,0.9090909090909091,55,B1_15,4
cattle,1.1353711790393013,229,1.017467248908297,229,B1_15,4
badger,0.2,50,0.78,50,B1_15,5
boar,2.142857142857143,7,NA,0,B1_15,5
cattle,1.1353711790393013,229,1.0436681222707425,229,B1_15,5
badger,1.2352941176470589,17,NA,0,B1_15,6
boar,0.34545454545454546,55,0.9090909090909091,55,B1_15,6
cattle,1.1353711790393013,229,1.017467248908297,229,B1_15,6
badger,0.3548387096774194,62,1.467741935483871,62,B1_16,1
boar,0.8064516129032258,31,0.8064516129032258,31,B1_16,1
cattle,1.1724137931034482,261,0.9080459770114943,261,B1_16,1
badger,0.4230769230769231,52,1.0192307692307692,52,B1_16,2
boar,0.8064516129032258,31,0.8064516129032258,31,B1_16,2
cattle,1.1340996168582376,261,1.0153256704980842,261,B1_16,2
badger,0.25806451612903225,62,1.4838709677419355,62,B1_16,3
boar,1.75,12,NA,0,B1_16,3
cattle,1.1379310344827587,261,0.8812260536398467,261,B1_16,3
badger,1.6363636363636365,11,NA,0,B1_16,4
boar,0.7741935483870968,31,0.7419354838709677,31,B1_16,4
cattle,0.9961685823754789,261,1.0268199233716475,261,B1_16,4
badger,0.3076923076923077,52,1.0192307692307692,52,B1_16,5
boar,1.75,12,NA,0,B1_16,5
cattle,1.0996168582375478,261,0.9923371647509579,261,B1_16,5
badger,1.6363636363636365,11,NA,0,B1_16,6
boar,0.7741935483870968,31,0.7419354838709677,31,B1_16,6
cattle,0.9961685823754789,261,1.0268199233716475,261,B1_16,6
badger,1.1153846153846154,26,1.1538461538461537,26,B1_17,1
boar,0.3235294117647059,34,0.7647058823529411,34,B1_17,1
cattle,1.1310344827586207,145,1.0206896551724138,145,B1_17,1
badger,1.16,25,1.08,25,B1_17,2
boar,0.3235294117647059,34,0.8529411764705882,34,B1_17,2
cattle,1.1241379310344828,145,1.013793103448276,145,B1_17,2
badger,1.0384615384615385,26,1.1153846153846154,26,B1_17,3
boar,1.4285714285714286,7,NA,0,B1_17,3
cattle,0.9655172413793104,145,0.9724137931034482,145,B1_17,3
badger,2,13,NA,0,B1_17,4
boar,0.2647058823529412,34,0.9411764705882353,34,B1_17,4
cattle,1.0758620689655172,145,1.006896551724138,145,B1_17,4
badger,1.08,25,1,25,B1_17,5
boar,1.4285714285714286,7,NA,0,B1_17,5
cattle,0.9586206896551724,145,0.993103448275862,145,B1_17,5
badger,2,13,NA,0,B1_17,6
boar,0.2647058823529412,34,0.9411764705882353,34,B1_17,6
cattle,1.0758620689655172,145,1.006896551724138,145,B1_17,6
badger,0.2830188679245283,53,0.9811320754716981,53,B1_18,1
boar,1.3888888888888888,18,2.2777777777777777,18,B1_18,1
cattle,1.5084745762711864,59,0.6101694915254238,59,B1_18,1
badger,0.2978723404255319,47,1.127659574468085,47,B1_18,2
boar,1.3888888888888888,18,1.7777777777777777,18,B1_18,2
cattle,1.423728813559322,59,0.6271186440677966,59,B1_18,2
badger,0.20754716981132076,53,1.0754716981132075,53,B1_18,3
boar,2.1818181818181817,11,NA,0,B1_18,3
