sp_infector,R,nb,R_sim,nb_sim,tree,scenario
badger,1.2941176470588236,17,NA,0,B1_13,4
boar,1.962962962962963,27,1.2962962962962963,27,B1_13,4
cattle,0.8367346938775511,196,0.8112244897959183,196,B1_13,4
badger,0.75,32,0.375,32,B1_13,5
boar,2.272727272727273,22,NA,0,B1_13,5
cattle,0.8928571428571429,196,0.6122448979591837,196,B1_13,5
badger,1.2941176470588236,17,NA,0,B1_13,6
boar,1.962962962962963,27,1.1481481481481481,27,B1_13,6
cattle,0.8367346938775511,196,0.8979591836734694,196,B1_13,6
badger,0.5161290322580645,93,0.43010752688172044,93,B1_14,1
boar,1.7826086956521738,69,0.4057971014492754,69,B1_14,1
cattle,0.9565217391304348,230,0.43478260869565216,230,B1_14,1
badger,0.5108695652173914,92,0.5164835164835165,91,B1_14,2
boar,1.7826086956521738,69,0.36231884057971014,69,B1_14,2
cattle,0.9565217391304348,230,0.2391304347826087,230,B1_14,2
badger,0.3978494623655914,93,0.22580645161290322,93,B1_14,3
boar,3.3055555555555554,36,NA,0,B1_14,3
cattle,0.8782608695652174,230,0.30434782608695654,230,B1_14,3
badger,1.4210526315789473,19,NA,0,B1_14,4
boar,1.5797101449275361,69,0.4782608695652174,69,B1_14,4
cattle,0.7869565217391304,230,0.34782608695652173,230,B1_14,4
badger,0.391304347826087,92,0.2857142857142857,91,B1_14,5
boar,3.3055555555555554,36,NA,0,B1_14,5
cattle,0.8782608695652174,230,0.2956521739130435,230,B1_14,5
badger,1.4210526315789473,19,NA,0,B1_14,6
boar,1.5797101449275361,69,0.42028985507246375,69,B1_14,6
cattle,0.7869565217391304,230,0.33043478260869563,230,B1_14,6
badger,1.1153846153846154,26,0.8461538461538461,26,B1_17,1
boar,0.3235294117647059,34,0.14705882352941177,34,B1_17,1
cattle,1.1310344827586207,145,0.496551724137931,145,B1_17,1
badger,1.16,25,0.48,25,B1_17,2
boar,0.3235294117647059,34,0.7941176470588235,34,B1_17,2
cattle,1.1241379310344828,145,0.6758620689655173,145,B1_17,2
badger,1.0384615384615385,26,0.6923076923076923,26,B1_17,3
boar,1.4285714285714286,7,NA,0,B1_17,3
cattle,0.9655172413793104,145,0.7379310344827587,145,B1_17,3
badger,2,13,NA,0,B1_17,4
boar,0.2647058823529412,34,0.8529411764705882,34,B1_17,4
cattle,1.0758620689655172,145,0.6413793103448275,145,B1_17,4
badger,1.08,25,1.12,25,B1_17,5
boar,1.4285714285714286,7,NA,0,B1_17,5
cattle,0.9586206896551724,145,0.7310344827586207,145,B1_17,5
badger,2,13,NA,0,B1_17,6
boar,0.2647058823529412,34,0.5882352941176471,34,B1_17,6
cattle,1.0758620689655172,145,0.6689655172413793,145,B1_17,6
badger,0.2830188679245283,53,0.6037735849056604,53,B1_18,1
boar,1.3888888888888888,18,0.5555555555555556,18,B1_18,1
cattle,1.5084745762711864,59,0.847457627118644,59,B1_18,1
badger,0.2978723404255319,47,0.3617021276595745,47,B1_18,2
boar,1.3888888888888888,18,0.5,18,B1_18,2
cattle,1.423728813559322,59,0.6610169491525424,59,B1_18,2
badger,0.20754716981132076,53,0.41509433962264153,53,B1_18,3
boar,2.1818181818181817,11,NA,0,B1_18,3
cattle,1.4745762711864407,59,0.8983050847457628,59,B1_18,3
badger,1.1,10,NA,0,B1_18,4
boar,1.3888888888888888,18,0.4444444444444444,18,B1_18,4
cattle,0.847457627118644,59,0.7627118644067796,59,B1_18,4
badger,0.2127659574468085,47,0.425531914893617,47,B1_18,5
boar,2.1818181818181817,11,NA,0,B1_18,5
cattle,1.3898305084745763,59,0.8135593220338984,59,B1_18,5
badger,1.1,10,NA,0,B1_18,6
boar,1.3888888888888888,18,0.4444444444444444,18,B1_18,6
cattle,0.847457627118644,59,0.847457627118644,59,B1_18,6
badger,0.36065573770491804,61,0.03278688524590164,61,B1_20,1
boar,1.4838709677419355,31,0.06451612903225806,31,B1_20,1
cattle,1.1825396825396826,126,0.14285714285714285,126,B1_20,1
badger,0.3684210526315789,57,0.08928571428571429,56,B1_20,2
boar,1.4838709677419355,31,0.0967741935483871,31,B1_20,2
cattle,1.1587301587301588,126,0.12698412698412698,126,B1_20,2
badger,0.32786885245901637,61,0.13114754098360656,61,B1_20,3
boar,2.3157894736842106,19,NA,0,B1_20,3
cattle,1.119047619047619,126,0.30952380952380953,126,B1_20,3
badger,1.0666666666666667,15,NA,0,B1_20,4
boar,1.4516129032258065,31,0.4838709677419355,31,B1_20,4
cattle,0.873015873015873,126,0.46825396825396826,126,B1_20,4
badger,0.3333333333333333,57,0.16071428571428573,56,B1_20,5
boar,2.3157894736842106,19,NA,0,B1_20,5
cattle,1.0952380952380953,126,0.38095238095238093,126,B1_20,5
badger,1.0666666666666667,15,NA,0,B1_20,6
boar,1.4516129032258065,31,0.22580645161290322,31,B1_20,6
cattle,0.873015873015873,126,0.4523809523809524,126,B1_20,6
badger,0.6666666666666666,30,0.6666666666666666,30,B1_21,1
boar,0.6111111111111112,18,0.7777777777777778,18,B1_21,1
cattle,1.1355932203389831,118,0.8559322033898306,118,B1_21,1
badger,0.7037037037037037,27,0.96,25,B1_21,2
boar,0.6111111111111112,18,0.7777777777777778,18,B1_21,2
cattle,1.11864406779661,118,0.8050847457627118,118,B1_21,2
badger,0.6333333333333333,30,0.8333333333333334,30,B1_21,3
boar,2.75,4,NA,0,B1_21,3
cattle,1.0254237288135593,118,0.8305084745762712,118,B1_21,3
badger,1.3076923076923077,13,NA,0,B1_21,4
boar,0.6111111111111112,18,2.111111111111111,18,B1_21,4
cattle,1.0169491525423728,118,0.6271186440677966,118,B1_21,4
badger,0.6666666666666666,27,0.6,25,B1_21,5
boar,2.75,4,NA,0,B1_21,5
cattle,1.0084745762711864,118,0.9661016949152542,118,B1_21,5
badger,1.3076923076923077,13,NA,0,B1_21,6
boar,0.6111111111111112,18,1.1666666666666667,18,B1_21,6
cattle,1.0169491525423728,118,0.8220338983050848,118,B1_21,6
badger,1.3846153846153846,26,1.4615384615384615,26,B1_22,1
boar,0.47619047619047616,63,0.38095238095238093,63,B1_22,1
cattle,1.1067961165048543,206,0.8543689320388349,206,B1_22,1
badger,1.5,24,1.2083333333333333,24,B1_22,2
boar,0.4838709677419355,62,1,62,B1_22,2
cattle,1.0922330097087378,206,0.6941747572815534,206,B1_22,2
badger,1.0769230769230769,26,1.3846153846153846,26,B1_22,3
boar,1.3,20,NA,0,B1_22,3
cattle,0.9563106796116505,206,0.8640776699029126,206,B1_22,3
badger,2,16,NA,0,B1_22,4
boar,0.4444444444444444,63,0.7619047619047619,63,B1_22,4
cattle,1.087378640776699,206,0.8980582524271845,206,B1_22,4
badger,1.1666666666666667,24,0.625,24,B1_22,5
boar,1.3,20,NA,0,B1_22,5
cattle,0.9466019417475728,206,0.9902912621359223,206,B1_22,5
badger,2,16,NA,0,B1_22,6
boar,0.45161290322580644,62,0.967741935483871,62,B1_22,6
cattle,1.0825242718446602,206,0.8300970873786407,206,B1_22,6
badger,1.6296296296296295,27,0.8888888888888888,27,B1_23,1
boar,1.8275862068965518,29,0.7931034482758621,29,B1_23,1
cattle,0.8064516129032258,217,0.7511520737327189,217,B1_23,1
badger,1.6296296296296295,27,0.5384615384615384,26,B1_23,2
boar,1.8275862068965518,29,0.4482758620689655,29,B1_23,2
cattle,0.8064516129032258,217,0.7695852534562212,217,B1_23,2
badger,1.6296296296296295,27,1.037037037037037,27,B1_23,3
boar,2.8333333333333335,18,NA,0,B1_23,3
