sp_infector,R,nb,R_sim,nb_sim,tree,scenario
boar,0,15,0,15,A1_3,2
badger,0.43661971830985913,71,0.08450704225352113,71,A1_3,3
cattle,1.1304347826086956,299,1.214046822742475,299,A1_3,3
badger,1.1818181818181819,22,NA,0,A1_3,4
cattle,1.0367892976588629,299,1.0501672240802675,299,A1_3,4
boar,0,16,0,16,A1_3,4
badger,0.4375,64,0.09375,64,A1_3,5
cattle,1.117056856187291,299,1.1906354515050168,299,A1_3,5
badger,1.1904761904761905,21,NA,0,A1_3,6
cattle,1.0334448160535117,299,1.0468227424749164,299,A1_3,6
boar,0,15,0,15,A1_3,6
badger,0.5256410256410257,78,0.47435897435897434,78,A1_4,1
cattle,1.1820580474934037,379,1.1899736147757256,379,A1_4,1
boar,0,33,0,33,A1_4,1
badger,0.5394736842105263,76,0.49333333333333335,75,A1_4,2
cattle,1.1741424802110818,379,1.1794195250659631,379,A1_4,2
boar,0,32,0,32,A1_4,2
badger,0.47435897435897434,78,0.3717948717948718,78,A1_4,3
cattle,1.1055408970976253,379,1.1240105540897098,379,A1_4,3
badger,1.2222222222222223,18,NA,0,A1_4,4
cattle,1.0738786279683377,379,1.0554089709762533,379,A1_4,4
boar,0,33,0.30303030303030304,33,A1_4,4
badger,0.4868421052631579,76,0.38666666666666666,75,A1_4,5
cattle,1.1002638522427441,379,1.116094986807388,379,A1_4,5
badger,1.2222222222222223,18,NA,0,A1_4,6
cattle,1.071240105540897,379,1.0527704485488127,379,A1_4,6
boar,0,32,0.3125,32,A1_4,6
badger,0.40350877192982454,114,0.7719298245614035,114,A1_5,1
cattle,1.4848484848484849,231,1.2857142857142858,231,A1_5,1
boar,0,45,0.08888888888888889,45,A1_5,1
badger,0.425531914893617,94,0.07608695652173914,92,A1_5,2
cattle,1.4155844155844155,231,1.5324675324675325,231,A1_5,2
boar,0,43,0.09302325581395349,43,A1_5,2
badger,0.21052631578947367,114,0.6842105263157895,114,A1_5,3
