sp_infector,R,nb,R_sim,nb_sim,tree,scenario
badger,0.5492957746478874,71,0,0,A1_3,6
cattle,1.157190635451505,299,0.9732441471571907,299,A1_3,6
boar,0,16,1.4666666666666666,15,A1_3,6
badger,0.5256410256410257,78,0.9358974358974359,78,A1_4,1
cattle,1.1820580474934037,379,1.007915567282322,379,A1_4,1
boar,0,33,1,33,A1_4,1
badger,0.5256410256410257,78,0.8266666666666667,75,A1_4,2
cattle,1.1820580474934037,379,1.029023746701847,379,A1_4,2
boar,0,33,0.96875,32,A1_4,2
badger,0.5256410256410257,78,0.7435897435897436,78,A1_4,3
cattle,1.1820580474934037,379,1.0448548812664908,379,A1_4,3
boar,0,33,0,0,A1_4,3
badger,0.5256410256410257,78,0,0,A1_4,4
cattle,1.1820580474934037,379,1.0158311345646438,379,A1_4,4
boar,0,33,0.7575757575757576,33,A1_4,4
badger,0.5256410256410257,78,0.8,75,A1_4,5
cattle,1.1820580474934037,379,1.0343007915567282,379,A1_4,5
boar,0,33,0,0,A1_4,5
badger,0.5256410256410257,78,0,0,A1_4,6
cattle,1.1820580474934037,379,1.0052770448548813,379,A1_4,6
boar,0,33,0.875,32,A1_4,6
badger,0.40350877192982454,114,1.0614035087719298,114,A1_5,1
cattle,1.4848484848484849,231,0.974025974025974,231,A1_5,1
boar,0,45,0.9333333333333333,45,A1_5,1
badger,0.40350877192982454,114,0.75,92,A1_5,2
cattle,1.4848484848484849,231,1.1515151515151516,231,A1_5,2
boar,0,45,0.6976744186046512,43,A1_5,2
badger,0.40350877192982454,114,0.9824561403508771,114,A1_5,3
cattle,1.4848484848484849,231,1.0043290043290043,231,A1_5,3
boar,0,45,0,0,A1_5,3
badger,0.40350877192982454,114,0,0,A1_5,4
cattle,1.4848484848484849,231,1.025974025974026,231,A1_5,4
boar,0,45,0.8444444444444444,45,A1_5,4
badger,0.40350877192982454,114,0.75,92,A1_5,5
cattle,1.4848484848484849,231,1.0952380952380953,231,A1_5,5
boar,0,45,0,0,A1_5,5
badger,0.40350877192982454,114,0,0,A1_5,6
cattle,1.4848484848484849,231,1.0649350649350648,231,A1_5,6
boar,0,45,0.627906976744186,43,A1_5,6
badger,0.611764705882353,85,1.3058823529411765,85,A1_6,1
cattle,1.3232323232323233,198,0.9343434343434344,198,A1_6,1
boar,0,32,0.5625,32,A1_6,1
badger,0.611764705882353,85,1.3461538461538463,78,A1_6,2
cattle,1.3232323232323233,198,0.9040404040404041,198,A1_6,2
boar,0,32,0.71875,32,A1_6,2
badger,0.611764705882353,85,1.3411764705882352,85,A1_6,3
cattle,1.3232323232323233,198,0.8484848484848485,198,A1_6,3
boar,0,32,0,0,A1_6,3
badger,0.611764705882353,85,0,0,A1_6,4
cattle,1.3232323232323233,198,0.9545454545454546,198,A1_6,4
boar,0,32,1.25,32,A1_6,4
badger,0.611764705882353,85,1.1923076923076923,78,A1_6,5
cattle,1.3232323232323233,198,0.9191919191919192,198,A1_6,5
boar,0,32,0,0,A1_6,5
badger,0.611764705882353,85,0,0,A1_6,6
cattle,1.3232323232323233,198,0.9545454545454546,198,A1_6,6
boar,0,32,1.25,32,A1_6,6
badger,0.8809523809523809,42,1.0476190476190477,42,A1_7,1
cattle,1.5348837209302326,43,1.069767441860465,43,A1_7,1
boar,0,19,0.6842105263157895,19,A1_7,1
badger,0.8809523809523809,42,1.0571428571428572,35,A1_7,2
cattle,1.5348837209302326,43,1.069767441860465,43,A1_7,2
boar,0,19,0.6666666666666666,18,A1_7,2
badger,0.8809523809523809,42,1.0476190476190477,42,A1_7,3
