sp_infector,R,nb,R_sim,nb_sim,tree,scenario
badger,0.9473684210526315,19,1.4444444444444444,18,A1_21,5
cattle,1.1008064516129032,248,0.4314516129032258,248,A1_21,5
boar,0,25,0,0,A1_21,5
badger,0.9473684210526315,19,0,0,A1_21,6
cattle,1.1008064516129032,248,0.875,248,A1_21,6
boar,0,25,1.1304347826086956,23,A1_21,6
badger,1.2692307692307692,26,0.7307692307692307,26,A1_22,1
cattle,1.1238938053097345,113,0.7787610619469026,113,A1_22,1
boar,0,22,0.36363636363636365,22,A1_22,1
badger,1.2692307692307692,26,0.9090909090909091,22,A1_22,2
cattle,1.1238938053097345,113,0.4690265486725664,113,A1_22,2
boar,0,22,0.7727272727272727,22,A1_22,2
badger,1.2692307692307692,26,0.7307692307692307,26,A1_22,3
cattle,1.1238938053097345,113,0.8495575221238938,113,A1_22,3
boar,0,22,0,0,A1_22,3
badger,1.2692307692307692,26,0,0,A1_22,4
cattle,1.1238938053097345,113,0.7610619469026548,113,A1_22,4
boar,0,22,0.5909090909090909,22,A1_22,4
badger,1.2692307692307692,26,0.7272727272727273,22,A1_22,5
cattle,1.1238938053097345,113,0.7876106194690266,113,A1_22,5
boar,0,22,0,0,A1_22,5
badger,1.2692307692307692,26,0,0,A1_22,6
cattle,1.1238938053097345,113,0.7699115044247787,113,A1_22,6
boar,0,22,0.5909090909090909,22,A1_22,6
badger,0.35294117647058826,17,0.11764705882352941,17,A1_24,1
cattle,1.6419753086419753,81,0.1111111111111111,81,A1_24,1
boar,0,42,0.09523809523809523,42,A1_24,1
badger,0.35294117647058826,17,0.25,16,A1_24,2
cattle,1.6419753086419753,81,0.04938271604938271,81,A1_24,2
boar,0,42,0.16666666666666666,42,A1_24,2
badger,0.35294117647058826,17,0.058823529411764705,17,A1_24,3
cattle,1.6419753086419753,81,0.20987654320987653,81,A1_24,3
boar,0,42,0,0,A1_24,3
badger,0.35294117647058826,17,0,0,A1_24,4
cattle,1.6419753086419753,81,0.12345679012345678,81,A1_24,4
boar,0,42,0.30952380952380953,42,A1_24,4
badger,0.35294117647058826,17,0.125,16,A1_24,5
cattle,1.6419753086419753,81,0.2716049382716049,81,A1_24,5
boar,0,42,0,0,A1_24,5
badger,0.35294117647058826,17,0,0,A1_24,6
cattle,1.6419753086419753,81,0.04938271604938271,81,A1_24,6
boar,0,42,0.14285714285714285,42,A1_24,6
badger,0.6101694915254238,59,0.5084745762711864,59,A1_25,1
cattle,1.3252032520325203,123,1.065040650406504,123,A1_25,1
boar,0,18,0.5555555555555556,18,A1_25,1
badger,0.6101694915254238,59,0.8518518518518519,54,A1_25,2
cattle,1.3252032520325203,123,0.7642276422764228,123,A1_25,2
boar,0,18,0.5294117647058824,17,A1_25,2
badger,0.6101694915254238,59,0.9830508474576272,59,A1_25,3
cattle,1.3252032520325203,123,0.8048780487804879,123,A1_25,3
boar,0,18,0,0,A1_25,3
badger,0.6101694915254238,59,0,0,A1_25,4
cattle,1.3252032520325203,123,0.8536585365853658,123,A1_25,4
boar,0,18,0.7222222222222222,18,A1_25,4
badger,0.6101694915254238,59,0.9259259259259259,54,A1_25,5
cattle,1.3252032520325203,123,0.7886178861788617,123,A1_25,5
boar,0,18,0,0,A1_25,5
badger,0.6101694915254238,59,0,0,A1_25,6
cattle,1.3252032520325203,123,0.9186991869918699,123,A1_25,6
boar,0,18,1.0588235294117647,17,A1_25,6
badger,0.6,35,0.8285714285714286,35,A1_26,1
cattle,1.1466666666666667,225,0.6444444444444445,225,A1_26,1
boar,0,20,1.1,20,A1_26,1
badger,0.6,35,0.7878787878787878,33,A1_26,2
cattle,1.1466666666666667,225,0.7244444444444444,225,A1_26,2
boar,0,20,1.1,20,A1_26,2
badger,0.6,35,0.6285714285714286,35,A1_26,3
cattle,1.1466666666666667,225,0.7866666666666666,225,A1_26,3
boar,0,20,0,0,A1_26,3
badger,0.6,35,0,0,A1_26,4
cattle,1.1466666666666667,225,0.9066666666666666,225,A1_26,4
boar,0,20,0.6,20,A1_26,4
badger,0.6,35,0.6363636363636364,33,A1_26,5
cattle,1.1466666666666667,225,0.8,225,A1_26,5
boar,0,20,0,0,A1_26,5
badger,0.6,35,0,0,A1_26,6
cattle,1.1466666666666667,225,0.9822222222222222,225,A1_26,6
boar,0,20,0.35,20,A1_26,6
badger,0.7619047619047619,42,0.6904761904761905,42,A1_27,1
cattle,1.5714285714285714,70,0.6571428571428571,70,A1_27,1
boar,0,31,0.7741935483870968,31,A1_27,1
badger,0.7619047619047619,42,1,34,A1_27,2
cattle,1.5714285714285714,70,1.0285714285714285,70,A1_27,2
boar,0,31,0.6451612903225806,31,A1_27,2
badger,0.7619047619047619,42,0.8333333333333334,42,A1_27,3
cattle,1.5714285714285714,70,0.8,70,A1_27,3
boar,0,31,0,0,A1_27,3
