3_d500_24_0_badger_2018-06-01,3_d500_24_1_badger_2018-08-01,3_d500_280_0_badger_2020-02-01,3_d500_280_1_badger_2020-02-01,3_d500_281_0_badger_2020-02-01,3_d500_281_1_badger_2020-02-01,3_d500_281_2_badger_2019-06-01,3_d500_281_3_badger_2020-02-01,3_d500_283_0_badger_2018-08-01,3_d500_284_0_badger_2016-07-01,3_d500_285_0_badger_2013-06-01,3_d500_285_1_badger_2018-01-01,3_d500_285_2_badger_2013-02-01,3_d500_285_3_badger_2020-02-01,3_d500_285_4_badger_2020-02-01,3_d500_285_5_badger_2019-07-01,3_d500_285_6_badger_2018-06-01,3_d500_89_2_badger_2019-07-01,45_d500_124_0_badger_2013-09-01,45_d500_152_0_badger_2013-05-01,5_d500_4_0_badger_2020-02-01,64146020_0_cattle_2020-02-01,64146027_0_cattle_2018-02-01,64146027_10_cattle_2018-04-01,64146027_11_cattle_2018-04-01,64146027_12_cattle_2018-04-01,64146027_13_cattle_2018-04-01,64146027_14_cattle_2018-02-01,64146027_15_cattle_2018-02-01,64146027_16_cattle_2018-02-01,64146027_17_cattle_2018-04-01,64146027_18_cattle_2018-04-01,64146027_19_cattle_2018-02-01,64146027_1_cattle_2018-04-01,64146027_20_cattle_2018-02-01,64146027_21_cattle_2018-02-01,64146027_22_cattle_2018-04-01,64146027_23_cattle_2018-04-01,64146027_24_cattle_2018-02-01,64146027_25_cattle_2018-04-01,64146027_26_cattle_2018-04-01,64146027_27_cattle_2018-04-01,64146027_28_cattle_2018-04-01,64146027_29_cattle_2018-04-01,64146027_2_cattle_2018-02-01,64146027_30_cattle_2018-04-01,64146027_3_cattle_2018-04-01,64146027_4_cattle_2018-04-01,64146027_5_cattle_2018-04-01,64146027_6_cattle_2018-02-01,64146027_7_cattle_2018-02-01,64146027_8_cattle_2018-02-01,64146027_9_cattle_2018-02-01,64146_0_boar_2020-02-01,64146_1_boar_2019-07-01,64146_2_boar_2020-02-01,64146_3_boar_2020-02-01,64171011_0_cattle_2019-04-01,64194036_0_cattle_2020-02-01,64194036_1_cattle_2018-03-01,64194036_2_cattle_2020-02-01,64194036_3_cattle_2020-02-01,64194036_4_cattle_2020-02-01,64194036_5_cattle_2020-02-01,64194_0_boar_2020-02-01,64194_1_boar_2020-02-01,64194_2_boar_2019-04-01,64194_3_boar_2019-04-01,64194_4_boar_2020-02-01,64194_5_boar_2019-12-01,64194_6_boar_2020-02-01,64194_7_boar_2020-02-01,64301063_0_cattle_2016-01-01,64301063_1_cattle_2016-01-01,64332009_0_cattle_2018-12-01,64332009_1_cattle_2018-12-01,64361002_0_cattle_2020-02-01,64361002_1_cattle_2020-02-01,64420038_0_cattle_2011-08-01,64420038_1_cattle_2011-09-01,64420038_2_cattle_2011-09-01,64420038_3_cattle_2011-09-01,64420038_4_cattle_2011-09-01,64420038_5_cattle_2011-09-01,64420038_6_cattle_2011-09-01,64470005_0_cattle_2019-10-01,64470005_1_cattle_2020-02-01,64470_0_boar_2020-02-01,64470_1_boar_2020-02-01,64470_2_boar_2020-02-01,64470_3_boar_2020-02-01,64521001_0_cattle_2011-08-01,64521001_10_cattle_2014-03-01,64521001_11_cattle_2014-03-01,64521001_12_cattle_2014-03-01,64521001_13_cattle_2014-03-01,64521001_14_cattle_2014-03-01,64521001_15_cattle_2014-03-01,64521001_16_cattle_2014-03-01,64521001_1_cattle_2014-03-01,64521001_2_cattle_2014-03-01,64521001_3_cattle_2014-03-01,64521001_4_cattle_2014-03-01,64521001_5_cattle_2014-03-01,64521001_6_cattle_2014-03-01,64521001_7_cattle_2014-02-01,64521001_8_cattle_2014-03-01,64521001_9_cattle_2014-03-01,64521010_0_cattle_2015-03-01,64521010_10_cattle_2019-03-01,64521010_11_cattle_2019-03-01,64521010_12_cattle_2019-07-01,64521010_13_cattle_2019-03-01,64521010_1_cattle_2015-03-01,64521010_2_cattle_2015-03-01,64521010_3_cattle_2015-03-01,64521010_4_cattle_2015-05-01,64521010_5_cattle_2015-03-01,64521010_6_cattle_2015-03-01,64521010_7_cattle_2015-03-01,64521010_8_cattle_2019-03-01,64521010_9_cattle_2019-03-01,64521015_0_cattle_2010-11-01,64521015_10_cattle_2010-11-01,64521015_1_cattle_2010-11-01,64521015_2_cattle_2010-11-01,64521015_3_cattle_2010-04-01,64521015_4_cattle_2010-11-01,64521015_5_cattle_2010-11-01,64521015_6_cattle_2010-11-01,64521015_7_cattle_2010-11-01,64521015_8_cattle_2010-10-01,64521015_9_cattle_2010-11-01,64521018_0_cattle_2017-12-01,64521018_1_cattle_2017-11-01,64521018_2_cattle_2017-12-01,64521018_3_cattle_2017-12-01,64521018_4_cattle_2017-12-01,64521018_5_cattle_2017-12-01,64521018_6_cattle_2017-12-01,64521018_7_cattle_2017-12-01,64521018_8_cattle_2017-12-01,64521_0_boar_2010-07-01,64521_10_boar_2020-02-01,64521_1_boar_2011-02-01,64521_2_boar_2010-07-01,64521_3_boar_2020-02-01,64521_4_boar_2014-03-01,64521_5_boar_2015-11-01,64521_6_boar_2014-12-01,64521_9_boar_2018-01-01,64554022_11_cattle_2017-09-01,64554022_12_cattle_2019-03-01,64554022_13_cattle_2018-12-01,64554022_1_cattle_2017-02-01
0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,0.007198560287942414,0.28834233153369476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03099380123975197,0,0,0.00519896020795841,0,0.023795240951809585,0.002599480103979204,0,0,0,0,0,0.023995200959807984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.13777244551089995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,3.999200159968006e-4,0,0,0,0,1.999600079984003e-4,7.998400319936012e-4,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011597680463907209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.028594281143771175,0,0,0,0,0,0,0,0.1763647270545924,0.051589682063587126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042591481703659145,0,0,0,0,0,0,0,0,0,0,0.024395120975804784,0,0,0.001399720055988802,0,0.011397720455908809,0,0,0,0,0,0,0.051789642071585526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.003399320135972806,0.002199560087982403,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0011997600479904018,0,0,3.999200159968006e-4,0.03199360127974397,0,0,0,0,0,0,1.999600079984003e-4,0.0023995200959808036,0,0,0.006998600279944014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22255548890222432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1485702859428139,0.03439312137572476,0,0,0,0,0.00539892021595681,5.998800239952009e-4,0,0,0,0,0,0,7.998400319936012e-4,0.0153969206158768,0,0.028194361127774376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009998000399920012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0.03599280143971196,0.0045990801839632086,0,0
0.0023995200959808036,0,0.0011997600479904018,0.007398520295940815,0.0015996800639872023,0,0.024395120975804784,0.0027994401119776045,0,0,0,0,0,5.998800239952009e-4,0,0.025194961007798382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027594481103779177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002199560087982403,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0011997600479904018,0.03619276144771036,9.998000399920016e-4,0.1393721255748872,0,0,0,0,0,0,0.0717856428714258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0.03019396120775837,0,0,0,0,0,0,0,0,0,0,0.037392521495700756,0,0,0.0037992401519696068,0,0.014197160567886403,0.00519896020795841,0,0,0,0,0,0.07998400319936047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.440511897620461,0,1.999600079984003e-4,0,0,0,0,0,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08038392321535728,0,0,0.014397120575884803,0,0.052989402119575923,0.0171965606878624,0,0,0,0,0,0.05018996200759833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
