45_d500_168_0_badger_2019-04-01,45_d500_168_1_badger_2018-07-01,45_d500_168_2_badger_2018-07-01,45_d500_168_3_badger_2020-02-01,45_d500_169_0_badger_2019-06-01,45_d500_170_0_badger_2016-07-01,45_d500_178_0_badger_2020-02-01,45_d500_178_1_badger_2019-08-01,45_d500_178_2_badger_2020-02-01,45_d500_181_0_badger_2018-12-01,56_d500_20_918_0_badger_2016-05-01,56_d500_4_0_badger_2015-08-01,56_d500_4_1_badger_2015-12-01,56_d500_4_2_badger_2014-05-01,56_d500_4_3_badger_2015-09-01,56_d500_4_4_badger_2020-02-01,56_d500_4_5_badger_2016-07-01,56_d500_9_0_badger_2011-07-01,56_d500_9_1_badger_2018-07-01,64039022_0_cattle_2015-06-01,64039022_10_cattle_2015-06-01,64039022_11_cattle_2015-06-01,64039022_12_cattle_2015-06-01,64039022_13_cattle_2015-06-01,64039022_14_cattle_2015-06-01,64039022_1_cattle_2015-06-01,64039022_2_cattle_2015-06-01,64039022_3_cattle_2015-06-01,64039022_4_cattle_2015-06-01,64039022_5_cattle_2015-05-01,64039022_6_cattle_2015-06-01,64039022_7_cattle_2015-06-01,64039022_8_cattle_2015-06-01,64039022_9_cattle_2015-06-01,64093_2_boar_2019-04-01,64201002_0_cattle_2008-12-01,64201002_1_cattle_2017-06-01,64201002_2_cattle_2017-09-01,64201002_3_cattle_2017-09-01,64201002_4_cattle_2017-12-01,64201002_5_cattle_2017-10-01,64201002_6_cattle_2017-09-01,64201007_0_cattle_2019-01-01,64253_0_boar_2010-06-01,64253_1_boar_2012-07-01,64253_2_boar_2013-05-01,64253_3_boar_2018-10-01,64253_4_boar_2018-08-01,64264001_0_cattle_2013-07-01,64264001_1_cattle_2013-06-01,64264001_2_cattle_2013-07-01,64264001_3_cattle_2015-07-01,64264001_4_cattle_2015-02-01,64264001_5_cattle_2017-01-01,64264001_6_cattle_2017-11-01,64264001_7_cattle_2018-05-01,64264003_0_cattle_2014-02-01,64264003_1_cattle_2014-04-01,64264003_2_cattle_2014-02-01,64264003_3_cattle_2016-04-01,64264003_4_cattle_2016-05-01,64264003_5_cattle_2019-12-01,64264007_0_cattle_2014-01-01,64264007_1_cattle_2015-12-01,64264007_2_cattle_2015-12-01,64264010_0_cattle_2013-09-01,64264010_10_cattle_2013-09-01,64264010_11_cattle_2015-03-01,64264010_12_cattle_2015-05-01,64264010_13_cattle_2015-05-01,64264010_14_cattle_2015-03-01,64264010_15_cattle_2015-05-01,64264010_16_cattle_2015-05-01,64264010_17_cattle_2015-03-01,64264010_18_cattle_2015-03-01,64264010_19_cattle_2015-03-01,64264010_1_cattle_2013-09-01,64264010_20_cattle_2015-05-01,64264010_21_cattle_2015-03-01,64264010_22_cattle_2017-02-01,64264010_23_cattle_2017-02-01,64264010_2_cattle_2013-09-01,64264010_3_cattle_2013-09-01,64264010_4_cattle_2013-09-01,64264010_5_cattle_2013-09-01,64264010_6_cattle_2013-09-01,64264010_7_cattle_2013-09-01,64264010_8_cattle_2013-09-01,64264010_9_cattle_2013-08-01,64264_0_boar_2012-02-01,64264_1_boar_2012-11-01,64264_2_boar_2016-08-01,64264_3_boar_2014-04-01,64264_4_boar_2014-04-01,64264_5_boar_2015-02-01,64264_6_boar_2014-02-01,64264_7_boar_2018-05-01,64281001_0_cattle_2018-12-01,64281001_1_cattle_2018-12-01,64281001_2_cattle_2018-12-01,64281003_0_cattle_2017-03-01,64281003_1_cattle_2017-03-01,64281008_0_cattle_2016-06-01,64281008_1_cattle_2017-12-01,64281008_2_cattle_2020-02-01,64281_1_boar_2012-02-01,64281_3_boar_2017-05-01,64281_4_boar_2020-02-01,64416031_0_cattle_2016-05-01,64416031_1_cattle_2016-03-01,64416031_2_cattle_2016-05-01,64416031_3_cattle_2016-01-01,64416031_4_cattle_2016-07-01,64416031_5_cattle_2016-05-01,64416031_6_cattle_2016-05-01,64416031_7_cattle_2016-05-01,64416031_8_cattle_2016-05-01,64416_1_boar_2016-11-01,64416_2_boar_2016-11-01,64416_3_boar_2017-02-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04019196160767835,0.019996000799839993,7.998400319936012e-4,0,0,0,0.09818036392721546,0.447910417916401,0,0,0.014197160567886403,0.02639472105578878,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0.008798240351929614,0.009198160367926414,0,0,0,0,0,0,0,0,0,0,0.1115776844631087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0.008598280343931215,0,0,0,0,0.00539892021595681,0.0157968406318736,0,0.002599480103979204,1.999600079984003e-4,9.998000399920016e-4,0.009598080383923213,0.0023995200959808036,0,0,0.12477504499100353,0.0067986402719456135,0.0157968406318736,0.009598080383923213,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36452709458107707,0.006998600279944014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0
0.007198560287942414,0.009998000399920012,0.017996400719855997,0,1.999600079984003e-4,3.999200159968006e-4,0,0,0,9.998000399920016e-4,0,0.003999200159968007,0,0,0.11937612477504655,0,0.5498900219955742,0,9.998000399920016e-4,0.0035992801439712063,0.0015996800639872023,3.999200159968006e-4,0,0,0,3.999200159968006e-4,0.0035992801439712063,0,0.003399320135972806,5.998800239952009e-4,0.017796440711857597,0.009998000399920012,0.03119376124775037,0,0,0,0.32813437312537214,0.024195160967806384,0.006398720255948813,0.004199160167966408,0.013397320535892805,0.006398720255948813,0.0017996400719856025,0,0,0,3.999200159968006e-4,7.998400319936012e-4,0,0,0,9.998000399920016e-4,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167966406718656,0.0023995200959808036,0.0023995200959808036,0.05138972205558873,0.02559488102379518,0.0015996800639872023,0,0,0,0.10177964407118678,0,0.009598080383923213,0.004799040191961609,0.0035992801439712063,0.17116576684663384,7.998400319936012e-4,0.002999400119976005,0.0035992801439712063,3.999200159968006e-4,1.999600079984003e-4,9.998000399920016e-4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,5.998800239952009e-4,1.999600079984003e-4,0,3.999200159968006e-4,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0.007998400319936016,0,0,0,0.002199560087982403,0.11297740451909755,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0.0011997600479904018,0,0.0031993601279744054,0,0,0,0,0.40051989602078525,0.042391521695660746,0,0.018196360727854397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7.998400319936012e-4,0,0,5.998800239952009e-4,0.004799040191961609,0,0,0,0,0,0.011797640471905608,0.5154969006198531,0,0,0,0.0993801239752059,0,0,0.023795240951809585,0.04199160167966395,0.004799040191961609,0.0035992801439712063,0.001399720055988802,0.008598280343931215,0.018396320735852796,0.03059388122375517,0,0.05898820235952791,0.06738652269546086,0.14897020595881072,0.07638472305538915,0.1793641271745685,0.0017996400719856025,0,0,0.028994201159767974,0,0,0,1.999600079984003e-4,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0.014797040591881602,0.023995200959807984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0.0031993601279744054,1.999600079984003e-4,0.02199560087982399,5.998800239952009e-4,0,0,3.999200159968006e-4,0,0.019796040791841593,0.007398520295940815,0.03199360127974397,0.45310937812435886,0.0045990801839632086,0.009798040391921612,0.012197560487902407,0.004199160167966408,0.002999400119976005,7.998400319936012e-4,0,0.002199560087982403
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747850429914019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001399720055988802,0.004199160167966408,0.005798840231953611,0,1.999600079984003e-4,0,0,0,0,3.999200159968006e-4,0,0,0.09498100379924096,0,0.006198760247950412,0.05618876224755032,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,3.999200159968006e-4,0.0011997600479904018,3.999200159968006e-4,3.999200159968006e-4,0,0,0,0.14677064587082825,0.005598880223955211,0.0015996800639872023,0.0019996000799840027,0.006998600279944014,0.0037992401519696068,1.999600079984003e-4,0,0,0,7.998400319936012e-4,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14317136572685693,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007198560287942414,0,0,0.02199560087982399,0.0165966806638672,0,0,0,0,0.04899020195960793,0,1.999600079984003e-4,3.999200159968006e-4,0.0017996400719856025,0.015996800639872,0,0,5.998800239952009e-4,3.999200159968006e-4,3.999200159968006e-4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0.042391521695660746,0.493301339732033,0.03479304139172156,0,0,0.010397920415916811,0.028194361127774376,0.002599480103979204,0,0,0,0,0,0,0,0,0,0,0,0.008598280343931215,0,0,0.0037992401519696068,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008398320335932815,0.03459308138372316,0,0.0011997600479904018,0,0,0,0.003999200159968007,0.23035392921416217,0.22575484903019882,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0.28854229154169314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.028394321135772775,0,0,0,9.998000399920016e-4,0.006398720255948813,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004399120175964808,0.0163967206558688,0.02559488102379518,0.0161967606478704,0.007998400319936016,0.0031993601279744054,0.061587682463507105,0,0,0,0.11817636472705612,0.39852029594080146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.006198760247950412,0.004199160167966408,0,0.017596480703859198,0,0,0,0,0,0.10137972405518997,0.033193361327734365,0.022195560887822388,5.998800239952009e-4,0.02559488102379518,0.4425114977004448,0.009398120375924813,0,0.00539892021595681,0.03199360127974397,0.008998200359928014,0.015996800639872,0.012397520495900807,0.03159368126374717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009798040391921612,0.019196160767846394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005998800239952012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,0,0,0
