45_d500_152_0_badger_2011-11-01,45_d500_160_0_badger_2019-05-01,45_d500_261_1_badger_2016-08-01,45_d500_78_668_0_badger_2017-05-01,45_d500_78_668_1_badger_2015-09-01,45_d500_99_766_0_badger_2015-05-01,45_d500_99_766_1_badger_2018-05-01,45_d500_99_766_2_badger_2012-10-01,45_d500_99_766_3_badger_2012-12-01,45_d500_99_766_4_badger_2017-09-01,45_d500_99_766_5_badger_2016-09-01,45_d500_99_839_0_badger_2013-07-01,45_d500_99_866_0_badger_2015-05-01,64002002_0_cattle_2015-06-01,64002002_1_cattle_2015-05-01,64002_0_boar_2013-01-01,64002_10_boar_2017-08-01,64002_11_boar_2016-01-01,64002_12_boar_2016-10-01,64002_1_boar_2015-04-01,64002_2_boar_2017-12-01,64002_3_boar_2016-03-01,64002_4_boar_2015-07-01,64002_5_boar_2015-04-01,64002_6_boar_2015-08-01,64002_7_boar_2014-08-01,64002_8_boar_2015-06-01,64002_9_boar_2017-02-01,64152_0_boar_2018-03-01,64405006_0_cattle_2017-01-01,64405006_1_cattle_2017-01-01,64405006_2_cattle_2017-01-01,64420012_0_cattle_2013-01-01,64420012_10_cattle_2013-01-01,64420012_11_cattle_2013-01-01,64420012_12_cattle_2013-01-01,64420012_13_cattle_2013-01-01,64420012_14_cattle_2013-01-01,64420012_15_cattle_2013-01-01,64420012_16_cattle_2013-01-01,64420012_17_cattle_2013-01-01,64420012_18_cattle_2013-01-01,64420012_19_cattle_2013-01-01,64420012_1_cattle_2013-01-01,64420012_20_cattle_2013-01-01,64420012_21_cattle_2013-01-01,64420012_22_cattle_2013-01-01,64420012_23_cattle_2019-02-01,64420012_24_cattle_2019-06-01,64420012_25_cattle_2019-02-01,64420012_26_cattle_2019-06-01,64420012_27_cattle_2019-02-01,64420012_28_cattle_2019-02-01,64420012_29_cattle_2019-02-01,64420012_2_cattle_2013-01-01,64420012_30_cattle_2019-02-01,64420012_31_cattle_2019-02-01,64420012_32_cattle_2019-06-01,64420012_33_cattle_2019-02-01,64420012_34_cattle_2020-02-01,64420012_35_cattle_2019-06-01,64420012_36_cattle_2019-12-01,64420012_37_cattle_2020-02-01,64420012_38_cattle_2020-02-01,64420012_39_cattle_2020-02-01,64420012_3_cattle_2012-12-01,64420012_40_cattle_2020-02-01,64420012_4_cattle_2013-01-01,64420012_5_cattle_2013-01-01,64420012_6_cattle_2013-01-01,64420012_7_cattle_2013-01-01,64420012_8_cattle_2013-01-01,64420012_9_cattle_2013-01-01,64420035_0_cattle_2011-06-01,64420035_10_cattle_2015-03-01,64420035_11_cattle_2015-03-01,64420035_12_cattle_2019-09-01,64420035_1_cattle_2011-06-01,64420035_2_cattle_2011-07-01,64420035_3_cattle_2011-02-01,64420035_4_cattle_2011-07-01,64420035_5_cattle_2011-07-01,64420035_6_cattle_2011-07-01,64420035_7_cattle_2011-07-01,64420035_8_cattle_2011-07-01,64420035_9_cattle_2015-03-01,64420039_0_cattle_2016-02-01,64420039_1_cattle_2016-02-01,64420039_2_cattle_2016-02-01,64420039_3_cattle_2016-02-01,64420039_4_cattle_2016-02-01,64420039_5_cattle_2016-02-01,64420047_0_cattle_2018-03-01,64420047_1_cattle_2018-03-01,64420047_2_cattle_2018-05-01,64472005_0_cattle_2016-02-01,64472005_1_cattle_2016-05-01,64472005_2_cattle_2016-05-01,64472005_3_cattle_2016-01-01,64472005_4_cattle_2016-08-01,64472005_5_cattle_2016-05-01,64472005_6_cattle_2016-05-01,64472005_7_cattle_2016-05-01,64472005_8_cattle_2016-05-01,64472_0_boar_2017-07-01,64472_1_boar_2018-02-01,6_d500_20_0_badger_2016-11-01,6_d500_28_0_badger_2020-02-01,6_d500_30_0_badger_2016-08-01,6_d500_30_1_badger_2014-09-01,6_d500_30_2_badger_2017-09-01,6_d500_7_0_badger_2018-09-01,6_d500_9_0_badger_2017-06-01
0,0.0015996800639872023,0,0,0,0,0,0,0,0.23675264947011118,0,0,0.02079584083183359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006598680263947213,0.010197960407918412,0.01079784043191361,0.008598280343931215,0.007798440311937616,0.005998800239952012,0.006398720255948813,0,0.0067986402719456135,0.0163967206558688,0.018996200759847995,0.006198760247950412,0,0.004199160167966408,0,0,3.999200159968006e-4,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04439112177564474,0.042391521695660746,0.07358528294341146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0037992401519696068,0,0.004399120175964808,0,0.0011997600479904018,0.0019996000799840027,0,0.009198160367926414,0.01059788042391521,0,0,0,0,0.0031993601279744054,0.004399120175964808,0.002599480103979204,0,1.999600079984003e-4,0,0.002199560087982403,0,5.998800239952009e-4,0.007998400319936016,0.004199160167966408,0.004799040191961609,0.008998200359928014,0.0015996800639872023,1.999600079984003e-4,0,0,0,0,0.0023995200959808036,1.999600079984003e-4,0.003399320135972806,0,0.0019996000799840027,0.00519896020795841,0,1.999600079984003e-4,0,0,0.002999400119976005,0.008798240351929614,0.0017996400719856025,5.998800239952009e-4,0.012797440511897606,0,0,0,0,0,0,0,0.008398320335932815,0,0,0,0,0,0,0,0,0,0,0.006598680263947213,0,0,0,0.001399720055988802,0,9.998000399920016e-4,0.007198560287942414,7.998400319936012e-4,0.01099780043991201,0.003999200159968007,0,1.999600079984003e-4,9.998000399920016e-4,0,3.999200159968006e-4,0,1.999600079984003e-4,0,1.999600079984003e-4,0.002599480103979204,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0.0019996000799840027,1.999600079984003e-4,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0.010397920415916811,0,0,0
0,0,0,0,0,0,0,0,0,0.07878424315137003,0.5656868626274462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,1.999600079984003e-4,0,0,0,0,0.0027994401119776045,0.004799040191961609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003399320135972806,0,0.006398720255948813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0.0031993601279744054,0,0,0.0961807638472314,0,0,1.999600079984003e-4,0,0.0015996800639872023,0,0,1.999600079984003e-4,0.0011997600479904018,0.0023995200959808036,0.005798840231953611,3.999200159968006e-4,5.998800239952009e-4,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0.006198760247950412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003399320135972806,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0.06778644271145767,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0,9.998000399920016e-4,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0
0.0031993601279744054,0,0,0,0,0,0,0.004799040191961609,0.005598880223955211,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,1.999600079984003e-4,0,0,0,0,0,0,0.0015996800639872023,0.04959008198360313,0.06458708258348317,1.999600079984003e-4,0.07218556288742262,0.0027994401119776045,0,5.998800239952009e-4,0.07618476304739075,9.998000399920016e-4,5.998800239952009e-4,0.003999200159968007,0.0019996000799840027,5.998800239952009e-4,0.001399720055988802,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0.007198560287942414,0,9.998000399920016e-4,0.1113777244551103,0.029194161167766373,0.11257748450310073,7.998400319936012e-4,0.002999400119976005,0,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022395520895820788,0,0
0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038192361527694355,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0.005598880223955211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,9.998000399920016e-4,9.998000399920016e-4,0,7.998400319936012e-4,0.001399720055988802,0,0,0,0,0,0,0.0019996000799840027
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0.002199560087982403,0,0,0,0,0,0,0,0,0,0,0.0035992801439712063,0.06998600279944014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03059388122375517,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0
