45_d500_152_0_badger_2016-06-01,45_d500_152_10_badger_2016-08-01,45_d500_152_1_badger_2011-01-01,45_d500_152_2_badger_2018-01-01,45_d500_152_3_badger_2009-02-01,45_d500_152_4_badger_2008-10-01,45_d500_152_5_badger_2013-12-01,45_d500_152_6_badger_2016-08-01,45_d500_152_7_badger_2010-05-01,45_d500_152_8_badger_2011-03-01,45_d500_152_9_badger_2020-02-01,45_d500_156_0_badger_2018-09-01,45_d500_156_1_badger_2016-09-01,45_d500_159_855_0_badger_2019-11-01,45_d500_159_855_1_badger_2015-06-01,45_d500_159_855_2_badger_2020-02-01,45_d500_170_1_badger_2013-03-01,45_d500_170_2_badger_2015-12-01,45_d500_170_3_badger_2020-02-01,45_d500_170_4_badger_2020-02-01,45_d500_170_5_badger_2020-02-01,64072_1_boar_2020-02-01,64201002_0_cattle_2018-01-01,64201008_0_cattle_2014-07-01,64201008_1_cattle_2014-08-01,64201008_2_cattle_2014-08-01,64201014_0_cattle_2015-01-01,64201014_1_cattle_2015-01-01,64201014_2_cattle_2015-01-01,64201014_3_cattle_2015-01-01,64201014_4_cattle_2015-03-01,64201021_0_cattle_2015-03-01,64201021_10_cattle_2015-03-01,64201021_11_cattle_2015-03-01,64201021_12_cattle_2015-03-01,64201021_13_cattle_2020-02-01,64201021_1_cattle_2015-01-01,64201021_2_cattle_2015-03-01,64201021_3_cattle_2015-03-01,64201021_4_cattle_2015-01-01,64201021_5_cattle_2015-01-01,64201021_6_cattle_2015-01-01,64201021_7_cattle_2015-01-01,64201021_8_cattle_2015-01-01,64201021_9_cattle_2015-01-01,64281001_0_cattle_2015-12-01,64281001_10_cattle_2015-12-01,64281001_11_cattle_2015-12-01,64281001_12_cattle_2015-12-01,64281001_13_cattle_2015-12-01,64281001_14_cattle_2015-12-01,64281001_15_cattle_2015-12-01,64281001_1_cattle_2015-12-01,64281001_2_cattle_2015-11-01,64281001_3_cattle_2015-12-01,64281001_4_cattle_2015-12-01,64281001_5_cattle_2015-12-01,64281001_6_cattle_2015-12-01,64281001_7_cattle_2015-12-01,64281001_8_cattle_2015-12-01,64281001_9_cattle_2015-12-01,64281003_0_cattle_2015-01-01,64281003_1_cattle_2015-03-01,64281003_2_cattle_2015-01-01,64281003_3_cattle_2015-01-01,64281003_4_cattle_2015-03-01,64281003_5_cattle_2015-03-01,64281003_6_cattle_2017-01-01,64281008_0_cattle_2014-08-01,64281008_10_cattle_2014-08-01,64281008_11_cattle_2014-08-01,64281008_12_cattle_2014-08-01,64281008_13_cattle_2014-08-01,64281008_14_cattle_2014-08-01,64281008_15_cattle_2014-08-01,64281008_16_cattle_2014-08-01,64281008_17_cattle_2014-08-01,64281008_18_cattle_2014-08-01,64281008_1_cattle_2014-08-01,64281008_2_cattle_2014-08-01,64281008_3_cattle_2014-08-01,64281008_4_cattle_2014-08-01,64281008_5_cattle_2014-08-01,64281008_6_cattle_2014-05-01,64281008_7_cattle_2014-08-01,64281008_8_cattle_2014-08-01,64281008_9_cattle_2014-08-01,64281_0_boar_2014-05-01,64281_1_boar_2014-12-01,64281_2_boar_2015-03-01,64281_3_boar_2016-08-01,64281_4_boar_2016-07-01,64281_5_boar_2016-09-01,64326020_0_cattle_2018-06-01,64326020_1_cattle_2018-05-01,64349068_0_cattle_2019-11-01,64349068_10_cattle_2019-11-01,64349068_1_cattle_2019-10-01,64349068_2_cattle_2019-11-01,64349068_3_cattle_2019-11-01,64349068_4_cattle_2019-11-01,64349068_5_cattle_2019-11-01,64349068_6_cattle_2019-11-01,64349068_7_cattle_2019-06-01,64349068_8_cattle_2019-11-01,64349068_9_cattle_2019-11-01,64349_0_boar_2019-09-01,64349_10_boar_2020-02-01,64349_1_boar_2019-03-01,64349_2_boar_2020-02-01,64349_3_boar_2020-02-01,64349_4_boar_2020-02-01,64349_5_boar_2020-02-01,64349_6_boar_2020-02-01,64349_7_boar_2020-02-01,64349_8_boar_2020-02-01,64349_9_boar_2020-02-01,64359209_0_cattle_2019-02-01,64359209_10_cattle_2019-06-01,64359209_11_cattle_2019-06-01,64359209_3_cattle_2019-06-01,64359209_4_cattle_2019-06-01,64359209_6_cattle_2019-02-01,64359209_7_cattle_2019-02-01,64359209_8_cattle_2019-06-01,64393387_0_cattle_2018-05-01,64393_2_boar_2020-02-01,64393_3_boar_2020-02-01,64420007_0_cattle_2016-03-01,64420012_0_cattle_2015-03-01,64420015_1_cattle_2017-01-01,64420015_2_cattle_2017-03-01,64420015_3_cattle_2017-01-01,64420015_4_cattle_2017-01-01,64420047_0_cattle_2014-12-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11317736452709595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017396520695860798,0.010197960407918412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004199160167966408,0,0.001399720055988802,0,0,0.002999400119976005,0.35512897420515327,0.002599480103979204,0.004399120175964808,0,0,0,0,0,0.001399720055988802,0,0,0
0,0.042591481703659145,0,0,0,0,0,0.04899020195960793,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012197560487902407,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28374325134973205,0,0.01059788042391521,0.06958608278344333,0.010397920415916811,0.03719256148770236,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0.09058188362327602,0.003399320135972806,0,0.009798040391921612,0.006398720255948813,0,0.0011997600479904018,0.0153969206158768,1.999600079984003e-4,1.999600079984003e-4,0.007998400319936016,0,3.999200159968006e-4,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008198360327934416,0.14577084583083622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004399120175964808,0,0,0,0,0,0,0,0,0,0,0,0,0.008598280343931215,0,0,0,0,0,0,0.0067986402719456135,0,0,0,0,0,0.002199560087982403,0.029994001199759972,0.3549290141971549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0.002199560087982403,0,0,0,0.0035992801439712063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.33913217356528297,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0.001399720055988802,0.0031993601279744054,0,0.008398320335932815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,1.999600079984003e-4,0,0,0,0,3.999200159968006e-4,0.002199560087982403,0.0031993601279744054,1.999600079984003e-4,0.006598680263947213,0,0,0.0049990001999600095,0,0.0015996800639872023,0.003399320135972806,0.006998600279944014,0,0.024795040991801583,0,0.010197960407918412,3.999200159968006e-4,0.11177764447110711,0.16296740651869918,0,0.017796440711857597,9.998000399920016e-4,0.07218556288742262,0,5.998800239952009e-4,0.02199560087982399,0.1573685262947438,0.012997400519896006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14897020595881072
0.4687062587482324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029794041191761572,0,0,0,0.029994001199759972,0,0,0.05018996200759833,0,0,0,0.006398720255948813,0,0,0,0,0.001399720055988802,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07638472305538915,0.0171965606878624,0.010197960407918412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167966406718656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
