infected,id,ances,weight,date,ances.date,sp,sp_infector,infector
64420009_8,95,4,0,2014-02-28T23:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
20_d500_71_0,96,4,0.005873843664867655,2017-09-30T22:00:00Z,2007-12-31T23:00:00Z,badger,badger,45_d500_160_0
64244012_4,97,32,0,2013-11-30T23:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
56_d500_42_1988_0,98,114,0,2017-06-30T22:00:00Z,2015-04-30T22:00:00Z,badger,boar,64241_0
56_d500_24_0,99,32,0,2015-12-31T23:00:00Z,2012-07-31T22:00:00Z,badger,cattle,64459003_11
64244012_5,100,32,0.005882708657051434,2013-10-31T23:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
20_d500_71_1,101,4,0,2013-10-31T23:00:00Z,2007-12-31T23:00:00Z,badger,badger,45_d500_160_0
56_d500_24_1,102,32,0,2014-02-28T23:00:00Z,2012-07-31T22:00:00Z,badger,cattle,64459003_11
64244012_7,103,32,0,2013-11-30T23:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64244012_6,104,32,0,2013-11-30T23:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64244012_8,105,32,0,2013-11-30T23:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
40252_0,106,4,0,2015-05-31T22:00:00Z,2007-12-31T23:00:00Z,boar,badger,45_d500_160_0
40119_0,107,4,0,2014-04-30T22:00:00Z,2007-12-31T23:00:00Z,boar,badger,45_d500_160_0
64508019_5,108,4,0.005882708657051434,2014-04-30T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
20_d500_92_1460_0,109,28,0,2020-01-31T23:00:00Z,2016-01-31T23:00:00Z,badger,cattle,40119050_0
64241029_0,110,32,0.011791365390838339,2015-04-30T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64217090_0,111,32,0,2016-02-29T23:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
20_d500_92_1460_1,112,28,0,2018-04-30T22:00:00Z,2016-01-31T23:00:00Z,badger,cattle,40119050_0
64241029_1,113,114,0,2015-06-30T22:00:00Z,2015-04-30T22:00:00Z,cattle,boar,64241_0
64241_0,114,32,0.005873843664867655,2015-04-30T22:00:00Z,2012-07-31T22:00:00Z,boar,cattle,64459003_11
64241_1,115,114,0,2018-04-30T22:00:00Z,2015-04-30T22:00:00Z,boar,boar,64241_0
64241_2,116,114,0,2015-10-31T23:00:00Z,2015-04-30T22:00:00Z,boar,boar,64241_0
64241_3,117,144,0,2018-02-28T23:00:00Z,2016-12-31T23:00:00Z,boar,cattle,64241029_3
64217090_1,118,32,0,2016-02-29T23:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64244012_9,119,32,0,2016-08-31T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64241029_2,120,114,0,2015-06-30T22:00:00Z,2015-04-30T22:00:00Z,cattle,boar,64241_0
64217_1,121,32,0,2015-10-31T23:00:00Z,2012-07-31T22:00:00Z,boar,cattle,64459003_11
64217_0,122,82,0.005873843664867655,2017-06-30T22:00:00Z,2013-02-28T23:00:00Z,boar,cattle,64449006_4
64217101_0,123,32,0,2015-07-31T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64217_2,124,32,0.005873843664867655,2015-12-31T23:00:00Z,2012-07-31T22:00:00Z,boar,cattle,64459003_11
56_d500_24_2,125,164,0,2020-01-31T23:00:00Z,2017-11-30T23:00:00Z,badger,cattle,64244012_14
64217_3,126,32,0.005882708657051434,2017-11-30T23:00:00Z,2012-07-31T22:00:00Z,boar,cattle,64459003_11
20_d500_71_2,127,96,0,2018-08-31T22:00:00Z,2017-09-30T22:00:00Z,badger,badger,20_d500_71_0
64217_4,128,32,0,2016-06-30T22:00:00Z,2012-07-31T22:00:00Z,boar,cattle,64459003_11
64244012_10,129,32,0,2016-08-31T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64217090_2,130,32,0,2016-04-30T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64217090_3,131,32,0,2016-09-30T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64217090_4,132,32,0,2016-02-29T23:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64217_5,133,32,0,2017-01-31T23:00:00Z,2012-07-31T22:00:00Z,boar,cattle,64459003_11
64217090_7,134,32,0,2016-06-30T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64217090_5,135,32,0,2016-06-30T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64217090_6,136,32,0,2016-06-30T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64217_6,137,32,0,2016-11-30T23:00:00Z,2012-07-31T22:00:00Z,boar,cattle,64459003_11
64244012_12,138,32,0,2016-08-31T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64244012_11,139,32,0,2016-07-31T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64217090_8,140,32,0,2016-06-30T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64217090_9,141,32,0,2016-06-30T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64217090_10,142,32,0,2017-06-30T22:00:00Z,2012-07-31T22:00:00Z,cattle,cattle,64459003_11
64217_7,143,32,0,2017-01-31T23:00:00Z,2012-07-31T22:00:00Z,boar,cattle,64459003_11
64241029_3,144,114,0.005873843664867655,2016-12-31T23:00:00Z,2015-04-30T22:00:00Z,cattle,boar,64241_0
64217_8,145,32,0,2019-03-31T22:00:00Z,2012-07-31T22:00:00Z,boar,cattle,64459003_11
56_d500_42_1988_2,146,32,0.005882708657051434,2017-02-28T23:00:00Z,2012-07-31T22:00:00Z,badger,cattle,64459003_11
64217_10,147,32,0,2018-11-30T23:00:00Z,2012-07-31T22:00:00Z,boar,cattle,64459003_11
64217_9,148,32,0,2017-10-31T23:00:00Z,2012-07-31T22:00:00Z,boar,cattle,64459003_11
20_d500_92_1460_2,149,28,0,2018-06-30T22:00:00Z,2016-01-31T23:00:00Z,badger,cattle,40119050_0
64217_11,150,32,0,2017-01-31T23:00:00Z,2012-07-31T22:00:00Z,boar,cattle,64459003_11
