40089001_0_cattle_2012-05-01,40089001_10_cattle_2012-05-01,40089001_11_cattle_2012-05-01,40089001_12_cattle_2012-05-01,40089001_13_cattle_2012-05-01,40089001_14_cattle_2012-04-01,40089001_15_cattle_2012-05-01,40089001_16_cattle_2012-05-01,40089001_17_cattle_2012-05-01,40089001_18_cattle_2012-05-01,40089001_19_cattle_2012-05-01,40089001_1_cattle_2012-05-01,40089001_20_cattle_2012-05-01,40089001_21_cattle_2012-05-01,40089001_22_cattle_2012-05-01,40089001_23_cattle_2012-05-01,40089001_24_cattle_2012-05-01,40089001_25_cattle_2012-05-01,40089001_2_cattle_2012-05-01,40089001_3_cattle_2012-05-01,40089001_4_cattle_2012-05-01,40089001_5_cattle_2012-05-01,40089001_6_cattle_2012-05-01,40089001_7_cattle_2012-05-01,40089001_8_cattle_2012-05-01,40089001_9_cattle_2012-05-01,40270058_0_cattle_2009-08-01,40270058_1_cattle_2009-09-01,40270058_2_cattle_2009-08-01,64420015_0_cattle_2009-07-01,64420015_10_cattle_2009-05-01,64420015_11_cattle_2009-02-01,64420015_12_cattle_2009-05-01,64420015_13_cattle_2009-05-01,64420015_14_cattle_2009-05-01,64420015_15_cattle_2009-05-01,64420015_16_cattle_2009-05-01,64420015_17_cattle_2009-05-01,64420015_18_cattle_2009-07-01,64420015_19_cattle_2009-05-01,64420015_1_cattle_2009-05-01,64420015_20_cattle_2009-07-01,64420015_21_cattle_2009-05-01,64420015_22_cattle_2009-05-01,64420015_2_cattle_2009-03-01,64420015_3_cattle_2009-05-01,64420015_4_cattle_2009-05-01,64420015_5_cattle_2009-05-01,64420015_6_cattle_2009-05-01,64420015_7_cattle_2009-05-01,64420015_8_cattle_2009-05-01,64420015_9_cattle_2009-07-01
0,0,0,0,0.010197960407918412,0,0,0,0,0.0027994401119776045,0,1.999600079984003e-4,0.0017996400719856025,0,0,0,0,0,0,0,0,1.999600079984003e-4,0.012597480503899207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0.048190361927614334,0,0.013997200559888004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5.998800239952009e-4,0,0,0,0,0.06598680263947201,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0.0011997600479904018,0,0,0,0,0,0,0.001399720055988802,0,0.0031993601279744054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0011997600479904018,0,0,0,0,0,0,0.0015996800639872023,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0.04659068186362714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0.04559088182363514,0,0,0,0,0,0.010197960407918412,0,3.999200159968006e-4,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0.04919016196760633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0,0.009598080383923213,0,0,0,0.008798240351929614,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.023195360927814386,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.03639272145570876,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0.005798840231953611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0015996800639872023,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0.029794041191761572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
