64420015_0_cattle_2008-07-01,64420015_10_cattle_2011-12-01,64420015_11_cattle_2011-12-01,64420015_12_cattle_2011-11-01,64420015_13_cattle_2011-12-01,64420015_14_cattle_2011-12-01,64420015_15_cattle_2011-12-01,64420015_16_cattle_2011-12-01,64420015_17_cattle_2011-12-01,64420015_18_cattle_2011-12-01,64420015_19_cattle_2011-12-01,64420015_1_cattle_2008-03-01,64420015_20_cattle_2011-11-01,64420015_21_cattle_2011-12-01,64420015_22_cattle_2011-12-01,64420015_23_cattle_2011-12-01,64420015_24_cattle_2011-12-01,64420015_25_cattle_2011-12-01,64420015_26_cattle_2011-12-01,64420015_27_cattle_2011-12-01,64420015_28_cattle_2011-12-01,64420015_29_cattle_2011-12-01,64420015_2_cattle_2008-07-01,64420015_30_cattle_2011-12-01,64420015_31_cattle_2011-12-01,64420015_32_cattle_2011-12-01,64420015_33_cattle_2011-12-01,64420015_34_cattle_2011-12-01,64420015_35_cattle_2011-12-01,64420015_36_cattle_2011-12-01,64420015_37_cattle_2011-12-01,64420015_38_cattle_2011-12-01,64420015_3_cattle_2008-06-01,64420015_4_cattle_2008-07-01,64420015_5_cattle_2008-07-01,64420015_6_cattle_2008-07-01,64420015_7_cattle_2011-12-01,64420015_8_cattle_2011-12-01,64420015_9_cattle_2010-11-01,64420044_0_cattle_2011-02-01,64420044_10_cattle_2011-02-01,64420044_11_cattle_2011-02-01,64420044_12_cattle_2011-02-01,64420044_13_cattle_2011-01-01,64420044_14_cattle_2011-02-01,64420044_15_cattle_2011-02-01,64420044_16_cattle_2011-02-01,64420044_17_cattle_2011-02-01,64420044_18_cattle_2011-02-01,64420044_19_cattle_2011-02-01,64420044_1_cattle_2011-02-01,64420044_20_cattle_2011-02-01,64420044_21_cattle_2011-02-01,64420044_22_cattle_2011-02-01,64420044_23_cattle_2011-02-01,64420044_24_cattle_2012-02-01,64420044_2_cattle_2011-02-01,64420044_3_cattle_2011-02-01,64420044_4_cattle_2010-04-01,64420044_5_cattle_2011-02-01,64420044_6_cattle_2011-02-01,64420044_7_cattle_2010-08-01,64420044_8_cattle_2011-02-01,64420044_9_cattle_2011-02-01
0,0,0,0,0,0,0,0.03019396120775837,0.03019396120775837,0,0,0,0,0,0,0.03019396120775837,0.03019396120775837,0,0,0,0,0,0,0.03019396120775837,0.03019396120775837,0.03019396120775837,0.03019396120775837,0,0,0.03019396120775837,0,0,0,0,0,0,0.03019396120775837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.334933013397317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04179164167166555,0,0,0,0,0,0,0,0,0,0.03899220155968795,0.03119376124775037,0.03599280143971196,0.033193361327734365,0,0,0,3.999200159968006e-4,3.999200159968006e-4,0,1.999600079984003e-4,5.998800239952009e-4,0,0,9.998000399920016e-4,1.999600079984003e-4,7.998400319936012e-4,0,0,0,0,3.999200159968006e-4,3.999200159968006e-4,0,0,0,7.998400319936012e-4,0,0,0.001399720055988802,0,0
0,0,0,0.3229354129174143,0.03019396120775837,0,0.03439312137572476,9.998000399920016e-4,0.005798840231953611,0,0.0023995200959808036,0,0,0.027394521095780777,0,0.004199160167966408,0.006998600279944014,0,0,0,0,0,0,0.006598680263947213,0.0037992401519696068,0.007198560287942414,0.009598080383923213,0.02679464107178558,0,0.00539892021595681,0.026994601079783978,0,0,0,0,0,5.998800239952009e-4,0.03719256148770236,0,0,0,0,0,0,0,0,0,0,0.006998600279944014,0,0,0,0,0,0.018196360727854397,0,0,0,0,0,0,0,0,0
0,0,0,0.022195560887822388,0.0171965606878624,0,0.367126574685056,7.998400319936012e-4,0.002999400119976005,0,0,0,0.018996200759847995,0,0,0.005798840231953611,0.0011997600479904018,0,0,0,0,0,0,0.002599480103979204,0.0035992801439712063,0.0027994401119776045,0.001399720055988802,0.014997000599880001,0,0.0045990801839632086,0.014797040591881602,0,0,0,0,0,0,0.022595480903819187,0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0,0,0,0,0,0.008398320335932815,0,0,0,0,0,0,0,0,0
0,1.999600079984003e-4,1.999600079984003e-4,0,0,1.999600079984003e-4,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,0,0,0,0,0,0,1.999600079984003e-4,0,0,1.999600079984003e-4,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,1.999600079984003e-4
0,0,0,0,0,0,0,0.12017596480704018,0.12017596480704018,0,0.12017596480704018,0,0,0,0,0,0.12017596480704018,0,0,0,0,0,0,0.12017596480704018,0.12017596480704018,0.12017596480704018,0.12017596480704018,0,0,0.12017596480704018,0,0,0,0,0,0,0.12017596480704018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.08938212357528558,0.08898220355928876,0,0.08938212357528558,0,0,0,0,0.08938212357528558,0,0,0,0,0,0,0,0.08938212357528558,0.08938212357528558,0.08938212357528558,0.08938212357528558,0,0,0.08938212357528558,0,0,0,0,0,0,0.08938212357528558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0031993601279744054,0.0031993601279744054,0,0,0.0019996000799840027,0,0,0,0.0037992401519696068,0,0,0,0,0.0037992401519696068,0,0,0,0.0037992401519696068,0.0037992401519696068,0.0037992401519696068,0.0037992401519696068,0,0,0,0,0,0,0.002199560087982403,0,0,0.0037992401519696068,0,0,0,0,0,0,0.0037992401519696068,0,0,0,0,0,0.0037992401519696068,0,0,0,0,0,0,0,0,0,0,0.024795040991801583,0,0,0,0,0,0,0,0.0037992401519696068
0,3.999200159968006e-4,3.999200159968006e-4,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,3.999200159968006e-4,0,0,3.999200159968006e-4,0,3.999200159968006e-4,3.999200159968006e-4,3.999200159968006e-4,0,0,0,0,0,0,3.999200159968006e-4,0,0,3.999200159968006e-4,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,3.999200159968006e-4
0,7.998400319936012e-4,7.998400319936012e-4,0,0,7.998400319936012e-4,0,0,0,7.998400319936012e-4,0,0,0,0,7.998400319936012e-4,0,0,7.998400319936012e-4,7.998400319936012e-4,0,0.002599480103979204,7.998400319936012e-4,0,0,0,0,0,0,7.998400319936012e-4,0,0,7.998400319936012e-4,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,7.998400319936012e-4
