40089001_0_cattle_2012-04-01,40089001_10_cattle_2011-06-01,40089001_11_cattle_2012-04-01,40089001_12_cattle_2012-04-01,40089001_13_cattle_2012-04-01,40089001_14_cattle_2012-04-01,40089001_15_cattle_2012-04-01,40089001_16_cattle_2012-04-01,40089001_17_cattle_2012-04-01,40089001_18_cattle_2012-04-01,40089001_19_cattle_2012-04-01,40089001_1_cattle_2012-04-01,40089001_20_cattle_2012-04-01,40089001_21_cattle_2012-04-01,40089001_22_cattle_2012-04-01,40089001_23_cattle_2012-04-01,40089001_24_cattle_2012-04-01,40089001_25_cattle_2012-04-01,40089001_26_cattle_2012-04-01,40089001_2_cattle_2012-04-01,40089001_3_cattle_2012-04-01,40089001_4_cattle_2012-03-01,40089001_5_cattle_2011-06-01,40089001_6_cattle_2012-04-01,40089001_7_cattle_2012-04-01,40089001_8_cattle_2012-04-01,40089001_9_cattle_2012-04-01,40270058_0_cattle_2014-02-01,40270058_1_cattle_2014-04-01,40270058_2_cattle_2014-02-01,64281001_0_cattle_2014-02-01,64281001_1_cattle_2014-04-01,64420015_0_cattle_2009-04-01,64420015_10_cattle_2009-04-01,64420015_11_cattle_2008-12-01,64420015_12_cattle_2009-04-01,64420015_13_cattle_2009-06-01,64420015_14_cattle_2009-06-01,64420015_15_cattle_2009-04-01,64420015_16_cattle_2009-06-01,64420015_17_cattle_2009-04-01,64420015_18_cattle_2009-04-01,64420015_19_cattle_2009-01-01,64420015_1_cattle_2009-06-01,64420015_20_cattle_2009-03-01,64420015_21_cattle_2009-04-01,64420015_22_cattle_2009-06-01,64420015_23_cattle_2009-04-01,64420015_24_cattle_2009-04-01,64420015_25_cattle_2009-06-01,64420015_26_cattle_2009-04-01,64420015_27_cattle_2009-04-01,64420015_28_cattle_2009-04-01,64420015_29_cattle_2009-04-01,64420015_2_cattle_2009-06-01,64420015_30_cattle_2009-04-01,64420015_31_cattle_2009-04-01,64420015_32_cattle_2009-04-01,64420015_33_cattle_2009-04-01,64420015_34_cattle_2009-04-01,64420015_35_cattle_2009-06-01,64420015_36_cattle_2009-06-01,64420015_37_cattle_2009-06-01,64420015_38_cattle_2009-06-01,64420015_39_cattle_2013-04-01,64420015_3_cattle_2009-06-01,64420015_40_cattle_2013-02-01,64420015_41_cattle_2013-02-01,64420015_42_cattle_2013-02-01,64420015_43_cattle_2013-02-01,64420015_44_cattle_2013-02-01,64420015_45_cattle_2013-02-01,64420015_46_cattle_2013-04-01,64420015_47_cattle_2013-02-01,64420015_48_cattle_2013-02-01,64420015_49_cattle_2013-04-01,64420015_4_cattle_2009-06-01,64420015_50_cattle_2013-04-01,64420015_51_cattle_2013-02-01,64420015_52_cattle_2013-02-01,64420015_53_cattle_2013-04-01,64420015_54_cattle_2013-04-01,64420015_55_cattle_2014-12-01,64420015_56_cattle_2014-12-01,64420015_5_cattle_2009-06-01,64420015_6_cattle_2009-06-01,64420015_7_cattle_2009-04-01,64420015_8_cattle_2009-06-01,64420015_9_cattle_2009-04-01,64420035_0_cattle_2013-12-01,64420035_1_cattle_2013-12-01,64420035_2_cattle_2013-12-01,64420035_3_cattle_2013-12-01,64420039_0_cattle_2014-03-01,64420039_1_cattle_2013-03-01,64420039_2_cattle_2014-01-01,64420039_3_cattle_2013-09-01,64420039_4_cattle_2014-01-01,64420039_5_cattle_2014-01-01,64420042_0_cattle_2013-12-01,64420042_1_cattle_2014-02-01,64420044_0_cattle_2010-09-01,64420044_10_cattle_2010-09-01,64420044_11_cattle_2010-09-01,64420044_12_cattle_2010-09-01,64420044_13_cattle_2014-03-01,64420044_14_cattle_2014-03-01,64420044_15_cattle_2014-02-01,64420044_16_cattle_2014-03-01,64420044_17_cattle_2014-03-01,64420044_18_cattle_2014-03-01,64420044_19_cattle_2014-03-01,64420044_1_cattle_2010-09-01,64420044_20_cattle_2015-03-01,64420044_2_cattle_2010-09-01,64420044_3_cattle_2010-09-01,64420044_4_cattle_2010-08-01,64420044_5_cattle_2010-09-01,64420044_6_cattle_2010-09-01,64420044_7_cattle_2010-09-01,64420044_8_cattle_2010-09-01,64420044_9_cattle_2010-09-01,64420047_0_cattle_2013-02-01,64420047_10_cattle_2013-02-01,64420047_11_cattle_2013-02-01,64420047_12_cattle_2013-02-01,64420047_13_cattle_2013-02-01,64420047_14_cattle_2013-02-01,64420047_15_cattle_2014-02-01,64420047_16_cattle_2014-02-01,64420047_1_cattle_2011-03-01,64420047_2_cattle_2011-07-01,64420047_3_cattle_2013-02-01,64420047_4_cattle_2012-09-01,64420047_5_cattle_2013-01-01,64420047_6_cattle_2013-02-01,64420047_7_cattle_2013-02-01,64420047_8_cattle_2012-09-01,64420047_9_cattle_2013-02-01,64556051_0_cattle_2014-03-01
0.0010998900109989,0.003199680031996801,0.0026997300269973002,0.0012998700129986998,0.0025997400259974,7.999200079992001e-4,6.999300069993001e-4,2.9997000299970003e-4,0.0021997800219977996,0.0011998800119988,0,0,0.0015998400159983996,0.0026997300269973002,0.0022997700229976997,4.999500049995e-4,4.999500049995e-4,4.999500049995e-4,0.0012998700129986998,0.003399660033996601,0.0019998000199979993,0.003399660033996601,0.0026997300269973002,0.003199680031996801,0.0020997900209978994,0,0.003399660033996601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.004999500049995003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005699430056994304,0.01979802019798012,0.013898610138986063,0.01279872012798717,0.013598640135986365,0.007999200079992006,0.007099290070992906,0.003899610038996102,0.0086991300869913,0.011898810118988077,0.020597940205979316,0,0,0.013498650134986466,0.01279872012798717,0.013098690130986869,0.0021997800219977996,0.35826417358264817,0.3928607139286193,0.012598740125987372,0.016598340165983345,0.020597940205979316,0.019098090190980826,0.012098790120987876,0.007799220077992207,8.999100089991002e-4,0.020497950204979416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.46775322467755687,0,0,0,0,0.46275372462756104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13458654134586673,0.22147785221477015,0.16158384161583672,0.12178782121788051,0.10848915108489345,0.1267873212678754,0.13828617138286262,0.0812918708129199,0.10588941105889597,0.13238676132386917,0.23827617238275148,6.999300069993001e-4,0.08929107089291212,0.09909009099090259,0,0.13018698130187162,0.03869613038696134,0.07809219078092301,0.09739026097390424,0.1284871512848735,0.3770622937706325,0.23827617238275148,0.21167883211678104,0.29197080291970345,0.12868713128687329,0.009699030096990293,0.23827617238275148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3710628937106375,0.13008699130087173,0.24677532246774203,0.053494650534946946,0.05229477052294811,0.06749325067493332,0.06729327067293352,0.06129387061293936,0.0630936906309376,0.07089291070893002,0.1339866013398674,0,0.037396260373962605,0.0666933306669341,0.0956904309569059,0,0.010898910108989085,0.042895710428957255,0.060793920607939846,0.08419158084191708,0.08789121087891348,0.1338866113388675,0.12428757124287808,0.10848915108489345,0.08049195080492068,0.009399060093990596,0.13368663133686773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.13278672132786873,0,0,0.13278672132786873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13278672132786873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011998800119988,0.0019998000199979993,5.999400059994001e-4,0.0017998200179981994,0.0014998500149984997,0.0019998000199979993,0.0011998800119988,1.9998000199980003e-4,1.9998000199980003e-4,0.0017998200179981994,0.0019998000199979993,0,0.20337966203379026,7.999200079992001e-4,0.0019998000199979993,0.0011998800119988,1.9998000199980003e-4,0,0.19898010198979516,0,0.0017998200179981994,0.0019998000199979993,0.0017998200179981994,0.0017998200179981994,1.9998000199980003e-4,9.999000099990002e-5,0.0019998000199979993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006999300069993006,0.014598540145985358,0.009599040095990394,0.0086991300869913,0.0088991100889911,0.006599340065993406,0.006899310068993106,0.004799520047995203,0.009199080091990797,0.008999100089990998,0.018298170182981632,0,0.3976602339766153,0.011398860113988581,0.0087991200879912,0.011798820117988178,0.0029997000299970007,0.3426657334266612,0,0.015098490150984854,0.012098790120987876,0.018298170182981632,0.018298170182981632,0.010698930106989286,0.009599040095990394,0.0015998400159983996,0.018298170182981632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.035996400359963966,0.03109689031096874,0.041795820417958325,0.013698630136986264,0.010298970102989689,0.4805519448055462,0.019298070192980625,0.014698530146985257,0.011298870112988682,0.02129787021297861,0.03249675032496737,0,0.012098790120987876,0.013298670132986667,0.019598040195980323,0.035596440355964355,0.005299470052994704,0.011898810118988077,0.01149885011498848,0,0.019298070192980625,0.03259674032596727,0.030496950304969343,0.01979802019798012,0.01849815018498143,0.0022997700229976997,0.03259674032596727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
