40089001_0_cattle_2011-01-01,40089001_10_cattle_2011-01-01,40089001_11_cattle_2011-01-01,40089001_12_cattle_2011-01-01,40089001_13_cattle_2011-01-01,40089001_14_cattle_2011-01-01,40089001_15_cattle_2011-01-01,40089001_16_cattle_2011-01-01,40089001_1_cattle_2011-01-01,40089001_2_cattle_2011-01-01,40089001_3_cattle_2011-01-01,40089001_4_cattle_2011-01-01,40089001_5_cattle_2011-01-01,40089001_6_cattle_2011-01-01,40089001_7_cattle_2011-01-01,40089001_8_cattle_2010-12-01,40089001_9_cattle_2011-01-01,64281001_0_cattle_2014-02-01,64281001_10_cattle_2014-04-01,64281001_11_cattle_2014-02-01,64281001_12_cattle_2014-04-01,64281001_13_cattle_2014-04-01,64281001_14_cattle_2014-02-01,64281001_15_cattle_2014-02-01,64281001_16_cattle_2014-02-01,64281001_17_cattle_2014-04-01,64281001_18_cattle_2014-04-01,64281001_19_cattle_2014-04-01,64281001_1_cattle_2013-04-01,64281001_20_cattle_2014-04-01,64281001_21_cattle_2014-04-01,64281001_2_cattle_2014-02-01,64281001_3_cattle_2013-11-01,64281001_4_cattle_2014-04-01,64281001_5_cattle_2014-02-01,64281001_6_cattle_2014-02-01,64281001_7_cattle_2014-02-01,64281001_8_cattle_2014-04-01,64281001_9_cattle_2014-04-01,64281003_0_cattle_2014-04-01,64281003_1_cattle_2014-04-01,64281003_2_cattle_2014-02-01,64281003_3_cattle_2014-02-01,64281003_4_cattle_2014-04-01,64281003_5_cattle_2014-04-01,64281008_0_cattle_2014-06-01,64281008_10_cattle_2014-04-01,64281008_1_cattle_2014-04-01,64281008_2_cattle_2014-04-01,64281008_3_cattle_2013-05-01,64281008_4_cattle_2014-04-01,64281008_5_cattle_2014-06-01,64281008_6_cattle_2014-04-01,64281008_7_cattle_2014-04-01,64281008_8_cattle_2014-04-01,64281008_9_cattle_2014-06-01,64420002_0_cattle_2014-02-01,64420012_0_cattle_2014-03-01,64420012_10_cattle_2014-05-01,64420012_11_cattle_2014-03-01,64420012_12_cattle_2014-05-01,64420012_13_cattle_2014-05-01,64420012_14_cattle_2014-03-01,64420012_15_cattle_2014-05-01,64420012_16_cattle_2014-05-01,64420012_1_cattle_2014-05-01,64420012_2_cattle_2014-03-01,64420012_3_cattle_2014-03-01,64420012_4_cattle_2014-03-01,64420012_5_cattle_2014-05-01,64420012_6_cattle_2014-05-01,64420012_7_cattle_2014-03-01,64420012_8_cattle_2014-05-01,64420012_9_cattle_2014-03-01,64420015_0_cattle_2009-08-01,64420015_10_cattle_2009-08-01,64420015_11_cattle_2009-08-01,64420015_12_cattle_2014-01-01,64420015_1_cattle_2008-08-01,64420015_2_cattle_2009-08-01,64420015_3_cattle_2008-03-01,64420015_4_cattle_2009-08-01,64420015_5_cattle_2009-07-01,64420015_6_cattle_2009-08-01,64420015_7_cattle_2009-08-01,64420015_8_cattle_2009-02-01,64420015_9_cattle_2009-08-01,64420035_0_cattle_2013-09-01,64420035_10_cattle_2013-09-01,64420035_11_cattle_2013-08-01,64420035_12_cattle_2013-09-01,64420035_13_cattle_2013-09-01,64420035_14_cattle_2013-09-01,64420035_15_cattle_2013-09-01,64420035_16_cattle_2013-09-01,64420035_17_cattle_2013-09-01,64420035_18_cattle_2013-09-01,64420035_19_cattle_2013-09-01,64420035_1_cattle_2013-09-01,64420035_20_cattle_2013-09-01,64420035_21_cattle_2013-09-01,64420035_22_cattle_2013-09-01,64420035_2_cattle_2013-09-01,64420035_3_cattle_2013-09-01,64420035_4_cattle_2013-09-01,64420035_5_cattle_2013-09-01,64420035_6_cattle_2013-09-01,64420035_7_cattle_2013-09-01,64420035_8_cattle_2013-09-01,64420035_9_cattle_2013-09-01,64420038_0_cattle_2014-02-01,64420038_10_cattle_2014-02-01,64420038_1_cattle_2014-02-01,64420038_2_cattle_2014-02-01,64420038_3_cattle_2013-12-01,64420038_4_cattle_2014-02-01,64420038_5_cattle_2014-02-01,64420038_6_cattle_2014-02-01,64420038_7_cattle_2014-02-01,64420038_8_cattle_2014-02-01,64420038_9_cattle_2014-02-01,64420039_0_cattle_2013-08-01,64420039_1_cattle_2013-09-01,64420039_2_cattle_2013-09-01,64420039_3_cattle_2013-09-01,64420039_4_cattle_2013-09-01,64420039_5_cattle_2013-09-01,64420044_0_cattle_2012-01-01,64420044_1_cattle_2014-02-01,64420044_2_cattle_2014-02-01,64420044_3_cattle_2014-02-01,64420047_0_cattle_2011-06-01,64420047_10_cattle_2013-05-01,64420047_11_cattle_2013-05-01,64420047_12_cattle_2013-05-01,64420047_13_cattle_2012-08-01,64420047_14_cattle_2013-05-01,64420047_15_cattle_2013-05-01,64420047_16_cattle_2013-05-01,64420047_17_cattle_2013-05-01,64420047_18_cattle_2013-05-01,64420047_19_cattle_2013-04-01,64420047_1_cattle_2012-06-01,64420047_20_cattle_2013-05-01,64420047_21_cattle_2013-05-01,64420047_22_cattle_2013-05-01,64420047_23_cattle_2013-02-01,64420047_24_cattle_2013-05-01,64420047_25_cattle_2013-05-01,64420047_26_cattle_2013-05-01,64420047_27_cattle_2013-05-01,64420047_28_cattle_2013-05-01,64420047_29_cattle_2013-05-01,64420047_2_cattle_2011-12-01,64420047_30_cattle_2013-05-01,64420047_31_cattle_2013-05-01,64420047_32_cattle_2013-05-01,64420047_33_cattle_2013-05-01,64420047_34_cattle_2013-05-01,64420047_35_cattle_2013-05-01,64420047_3_cattle_2013-05-01,64420047_4_cattle_2013-05-01,64420047_5_cattle_2013-05-01,64420047_6_cattle_2013-05-01,64420047_7_cattle_2013-05-01,64420047_8_cattle_2013-05-01,64420047_9_cattle_2012-06-01
0,0,0,0,0,0,0,0,0,0,0,0.5126974605078758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.4867026594680865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.47670465906816756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.3643271345730787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009598080383923213,0.009598080383923213,0.013197360527894405,0.009598080383923213,0.008998200359928014,0.0035992801439712063,0.0049990001999600095,0,5.998800239952009e-4,0.11317736452709595,0.0017996400719856025,0.007798440311937616,0.0045990801839632086,0.009598080383923213,0,0.005998800239952012,0.009598080383923213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009598080383923213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.627874425114942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22315536892621954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0.22055588882224025,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2559488102379574,0,0,0,0,0,0,0,0,0,0,0,0.24895020995801398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24435112977405063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2519496100779898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5128974205158742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26034793041392174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24715056988602832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2461507698460363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24715056988602832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
