64420015_0_cattle_2010-02-01,64420015_10_cattle_2009-03-01,64420015_11_cattle_2010-02-01,64420015_12_cattle_2010-02-01,64420015_13_cattle_2010-02-01,64420015_14_cattle_2010-02-01,64420015_15_cattle_2010-02-01,64420015_16_cattle_2010-02-01,64420015_17_cattle_2010-04-01,64420015_18_cattle_2010-02-01,64420015_19_cattle_2010-02-01,64420015_1_cattle_2010-04-01,64420015_20_cattle_2010-04-01,64420015_21_cattle_2010-02-01,64420015_22_cattle_2010-02-01,64420015_23_cattle_2010-04-01,64420015_24_cattle_2010-02-01,64420015_25_cattle_2010-04-01,64420015_26_cattle_2010-04-01,64420015_27_cattle_2010-04-01,64420015_28_cattle_2010-04-01,64420015_29_cattle_2010-02-01,64420015_2_cattle_2010-02-01,64420015_30_cattle_2010-04-01,64420015_31_cattle_2010-02-01,64420015_32_cattle_2010-04-01,64420015_33_cattle_2010-02-01,64420015_34_cattle_2010-04-01,64420015_35_cattle_2010-04-01,64420015_36_cattle_2010-04-01,64420015_37_cattle_2010-04-01,64420015_38_cattle_2010-04-01,64420015_39_cattle_2010-02-01,64420015_3_cattle_2010-04-01,64420015_40_cattle_2010-04-01,64420015_41_cattle_2010-04-01,64420015_42_cattle_2010-04-01,64420015_43_cattle_2010-02-01,64420015_44_cattle_2010-02-01,64420015_45_cattle_2010-04-01,64420015_46_cattle_2010-04-01,64420015_4_cattle_2010-04-01,64420015_5_cattle_2010-02-01,64420015_6_cattle_2010-02-01,64420015_7_cattle_2010-04-01,64420015_8_cattle_2010-02-01,64420015_9_cattle_2010-02-01,64420044_0_cattle_2010-09-01,64420044_1_cattle_2010-09-01,64420044_2_cattle_2010-08-01,64420044_3_cattle_2010-09-01,64420044_4_cattle_2010-09-01,64420044_5_cattle_2010-09-01,64420044_6_cattle_2010-09-01
0.05078984203159353,0,0,0,0.05078984203159353,0,0,0,0,0,0,0,0,0.05078984203159353,0,0.04939012197560473,0,0,0,0.04959008198360313,0,0.05058988202359513,0,0,0,0,0,0,0,0,0,0,0.05078984203159353,0,0.04859028194361113,0,0,0,0,0,0,0,0,0,0,0,0.05078984203159353,0,0,0,0,0,0,0
5.998800239952009e-4,5.998800239952009e-4,0.0015996800639872023,0.0015996800639872023,0,9.998000399920016e-4,0.001399720055988802,5.998800239952009e-4,0.03139372125574877,0,0,0,0.001399720055988802,5.998800239952009e-4,0.001399720055988802,0,5.998800239952009e-4,0.0015996800639872023,0.0015996800639872023,0,5.998800239952009e-4,1.999600079984003e-4,0,0.0015996800639872023,1.999600079984003e-4,0.0015996800639872023,0.0015996800639872023,7.998400319936012e-4,1.999600079984003e-4,9.998000399920016e-4,7.998400319936012e-4,0.0015996800639872023,1.999600079984003e-4,9.998000399920016e-4,0,5.998800239952009e-4,0.0011997600479904018,0.001399720055988802,0.0015996800639872023,0,0.001399720055988802,0.03239352129574077,0.0015996800639872023,9.998000399920016e-4,0.0015996800639872023,1.999600079984003e-4,0,7.998400319936012e-4,9.998000399920016e-4,7.998400319936012e-4,5.998800239952009e-4,0,0,0
0.0017996400719856025,0.003399320135972806,0.009198160367926414,0.019996000799839993,7.998400319936012e-4,0.01079784043191361,0.0155968806238752,0.009198160367926414,0.018996200759847995,0.012597480503899207,0.0023995200959808036,0.017396520695860798,0,0.002999400119976005,0.014997000599880001,1.999600079984003e-4,0.009998000399920012,0.22315536892621954,0.018396320735852796,9.998000399920016e-4,0.006398720255948813,0.006998600279944014,0.014397120575884803,0.019396120775844794,0.006398720255948813,0.015196960607878401,0.012797440511897606,0.011997600479904008,0.008998200359928014,0.005598880223955211,0.007998400319936016,0.0153969206158768,0,0.014997000599880001,0.003399320135972806,0.014397120575884803,0.013397320535892805,0.011597680463907209,0.019996000799839993,0.009998000399920012,0.17116576684663384,0.012997400519896006,0.007798440311937616,0.010397920415916811,0.013797240551889604,0.008798240351929614,3.999200159968006e-4,0.0023995200959808036,0.00539892021595681,0.009398120375924813,0.008398320335932815,0.0023995200959808036,0.005798840231953611,0.004199160167966408
0.14597080583883462,0,0,0,0.14597080583883462,0,0,0,0,0,0.14597080583883462,0,0,0,0,0.14437112577484737,0,0,0,0.14457108578284578,0,0.14597080583883462,0,0,0,0,0,0,0,0,0,0,0.14597080583883462,0,0.14277144571086012,0,0,0,0,0,0,0,0,0,0,0,0.14597080583883462,0,0,0,0,0,0,0
0,0,0.3681263747250479,3.999200159968006e-4,0,0,0.015196960607878401,3.999200159968006e-4,3.999200159968006e-4,1.999600079984003e-4,0,3.999200159968006e-4,3.999200159968006e-4,0,0,0,0,0,3.999200159968006e-4,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,3.999200159968006e-4,0.011397720455908809,3.999200159968006e-4,3.999200159968006e-4,0,1.999600079984003e-4,0,3.999200159968006e-4,1.999600079984003e-4,0,3.999200159968006e-4,0,3.999200159968006e-4,0,1.999600079984003e-4,3.999200159968006e-4,1.999600079984003e-4,3.999200159968006e-4,1.999600079984003e-4,1.999600079984003e-4,3.999200159968006e-4,1.999600079984003e-4,1.999600079984003e-4,0,0,1.999600079984003e-4,3.999200159968006e-4,1.999600079984003e-4,0,3.999200159968006e-4,0
0.00519896020795841,0,0,0,0.00519896020795841,0,0,0,0,0,0.00519896020795841,0,0,0.00519896020795841,0,0,0,0,0,0.006398720255948813,0,0.00519896020795841,0,0,0,0,0,0,0,0,0,0,0.00519896020795841,0,0.006198760247950412,0,0,0,0,0,0,0,0,0,0,0,0.00519896020795841,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5186962607478272,0,0,0,0,0,0,0,0,0,0
0.005598880223955211,0.0155968806238752,0.024795040991801583,0.03019396120775837,0.0045990801839632086,0.020195960807838392,0.018796240751849595,0.009998000399920012,0.024595080983803183,0.017596480703859198,0.0017996400719856025,0.024395120975804784,0.27534493101380014,0.005798840231953611,0.012197560487902407,1.999600079984003e-4,0.0153969206158768,0,0.02679464107178558,0.002599480103979204,0.011597680463907209,0.003999200159968007,0.02079584083183359,0.027194561087782378,0.0163967206558688,0.022995400919815986,0.0161967606478704,0.018796240751849595,0.01059788042391521,0.0165966806638672,0.012797440511897606,0.026994601079783978,3.999200159968006e-4,0.023395320935812786,0.00519896020795841,0.013597280543891204,0.017396520695860798,0.019196160767846394,0.03019396120775837,0.0163967206558688,0.19316136772645856,0.024595080983803183,0.015996800639872,0.0165966806638672,0.015196960607878401,0.01099780043991201,0,0.004199160167966408,0.014197160567886403,0.0163967206558688,0.018196360727854397,0.0019996000799840027,0.012397520495900807,0.0049990001999600095
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01059788042391521,0,0.009198160367926414,0,0,0,0,0,0.008598280343931215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08558288342331585,0,0,0,0.08558288342331585,0,0,0,0,0,0.08558288342331585,0,0,0.08558288342331585,0,0.09058188362327602,0,0,0,0,0,0.08538292341531745,0,0,0,0,0,0,0,0,0,0,0.08558288342331585,0,0.09978004399120272,0,0,0,0,0,0,0,0,0,0,0,0.08558288342331585,0,0,0,0,0,0,0
3.999200159968006e-4,5.998800239952009e-4,0.002999400119976005,0.004199160167966408,1.999600079984003e-4,0.002599480103979204,0.0023995200959808036,0.0015996800639872023,0.004199160167966408,0.0031993601279744054,5.998800239952009e-4,0.004199160167966408,0.0027994401119776045,0.0011997600479904018,0.0031993601279744054,0,0.002199560087982403,0.002999400119976005,0.003999200159968007,1.999600079984003e-4,0,5.998800239952009e-4,0.002999400119976005,0.003999200159968007,0.0017996400719856025,0.003999200159968007,0.002599480103979204,0.003399320135972806,0.32613477304538835,0.001399720055988802,7.998400319936012e-4,0.004199160167966408,0,0.002199560087982403,3.999200159968006e-4,0.0027994401119776045,0.37512497500499115,0.002999400119976005,0.004199160167966408,0.003399320135972806,0.0027994401119776045,0.004199160167966408,9.998000399920016e-4,0.0019996000799840027,0.0019996000799840027,0.0011997600479904018,5.998800239952009e-4,0.0011997600479904018,0.0023995200959808036,0.0011997600479904018,0.0027994401119776045,9.998000399920016e-4,5.998800239952009e-4,0.0011997600479904018
0.1941611677664506,0,0,0,0.19236152769446493,0,0,0,0,0,0.19236152769446493,0,0,0.1911617676464745,0,0.19056188762247928,0,0,0,0.18936212757448884,0,0,0,0,0,0,0,0,0,0,0,0,0.19236152769446493,0,0.19016196760648246,0,0,0,0,0,0,0,0,0,0,0,0.19236152769446493,0,0,0,0,0,0,0
1.999600079984003e-4,0,1.999600079984003e-4,5.998800239952009e-4,0,3.999200159968006e-4,3.999200159968006e-4,1.999600079984003e-4,5.998800239952009e-4,0.008798240351929614,0,5.998800239952009e-4,1.999600079984003e-4,0,5.998800239952009e-4,0,3.999200159968006e-4,5.998800239952009e-4,3.999200159968006e-4,1.999600079984003e-4,5.998800239952009e-4,1.999600079984003e-4,0,3.999200159968006e-4,1.999600079984003e-4,5.998800239952009e-4,0.42031593681262475,3.999200159968006e-4,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4,3.999200159968006e-4,0,5.998800239952009e-4,0,3.999200159968006e-4,1.999600079984003e-4,5.998800239952009e-4,5.998800239952009e-4,1.999600079984003e-4,5.998800239952009e-4,5.998800239952009e-4,0.007198560287942414,1.999600079984003e-4,3.999200159968006e-4,0,0,0,1.999600079984003e-4,3.999200159968006e-4,5.998800239952009e-4,1.999600079984003e-4,3.999200159968006e-4,1.999600079984003e-4
