40089001_0_cattle_2014-06-01,40089001_10_cattle_2014-06-01,40089001_11_cattle_2014-06-01,40089001_12_cattle_2014-06-01,40089001_13_cattle_2014-06-01,40089001_14_cattle_2014-05-01,40089001_15_cattle_2014-06-01,40089001_16_cattle_2014-06-01,40089001_17_cattle_2014-06-01,40089001_18_cattle_2014-06-01,40089001_19_cattle_2014-06-01,40089001_1_cattle_2012-11-01,40089001_20_cattle_2014-06-01,40089001_21_cattle_2014-06-01,40089001_22_cattle_2014-06-01,40089001_23_cattle_2013-10-01,40089001_24_cattle_2014-06-01,40089001_25_cattle_2014-06-01,40089001_26_cattle_2014-06-01,40089001_27_cattle_2014-05-01,40089001_28_cattle_2014-06-01,40089001_29_cattle_2014-06-01,40089001_2_cattle_2014-06-01,40089001_30_cattle_2014-06-01,40089001_31_cattle_2014-06-01,40089001_32_cattle_2014-06-01,40089001_33_cattle_2014-06-01,40089001_34_cattle_2014-06-01,40089001_35_cattle_2014-06-01,40089001_36_cattle_2014-06-01,40089001_37_cattle_2014-06-01,40089001_38_cattle_2014-06-01,40089001_3_cattle_2014-06-01,40089001_4_cattle_2014-06-01,40089001_5_cattle_2014-06-01,40089001_6_cattle_2014-06-01,40089001_7_cattle_2014-06-01,40089001_8_cattle_2014-05-01,40089001_9_cattle_2014-06-01,64420015_0_cattle_2009-04-01,64420015_10_cattle_2009-04-01,64420015_11_cattle_2009-04-01,64420015_12_cattle_2009-04-01,64420015_13_cattle_2009-04-01,64420015_14_cattle_2009-04-01,64420015_15_cattle_2009-04-01,64420015_16_cattle_2009-04-01,64420015_17_cattle_2009-04-01,64420015_18_cattle_2009-04-01,64420015_19_cattle_2009-04-01,64420015_1_cattle_2009-01-01,64420015_2_cattle_2008-10-01,64420015_3_cattle_2008-05-01,64420015_4_cattle_2009-04-01,64420015_5_cattle_2008-05-01,64420015_6_cattle_2009-04-01,64420015_7_cattle_2009-04-01,64420015_8_cattle_2009-04-01,64420015_9_cattle_2009-04-01
0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0.023795240951809585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3.999200159968006e-4,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,1.999600079984003e-4,0,0.024795040991801583,0,0.003999200159968007,0,0,0,0,1.999600079984003e-4,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.003399320135972806,0,1.999600079984003e-4,7.998400319936012e-4,0,0,0,0,0,0.004199160167966408,0.0015996800639872023,0,0,0,0,0,3.999200159968006e-4,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.999600079984003e-4,0,0,0,0,0.008198360327934416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032793441311737566,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.24835032993401876,0,0,0,0,0,0,0,0.23975204959008728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.03419316136772636,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0.0019996000799840027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.999600079984003e-4,0,1.999600079984003e-4,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,1.999600079984003e-4,0,0,0,1.999600079984003e-4,0,0,0,0,1.999600079984003e-4,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038392321535692754,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.999600079984003e-4,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024995000999799982,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0.0019996000799840027,0.22315536892621954,0.027794441111777576,0.002199560087982403,0.0035992801439712063,0.003399320135972806,0.007198560287942414,0.04199160167966395,0.005598880223955211,0.0049990001999600095,0.002199560087982403,0,0.4417116576684513,3.999200159968006e-4,0.005598880223955211,0.002999400119976005,0.0167966406718656,0.0027994401119776045
