45_d500_100_0_badger_2017-09-01,45_d500_105_726_0_badger_2018-06-01,45_d500_124_0_badger_2014-03-01,45_d500_136_1_badger_2014-08-01,45_d500_136_2_badger_2017-03-01,45_d500_152_0_badger_2013-02-01,45_d500_157_858_1_badger_2012-03-01,45_d500_159_855_0_badger_2013-08-01,45_d500_159_855_1_badger_2016-10-01,45_d500_159_855_2_badger_2016-01-01,45_d500_159_855_3_badger_2018-06-01,45_d500_159_855_4_badger_2015-09-01,45_d500_160_0_badger_2007-09-01,45_d500_160_1_badger_2018-05-01,45_d500_163_0_badger_2020-02-01,45_d500_190_1526_0_badger_2020-02-01,45_d500_190_1526_1_badger_2011-11-01,45_d500_190_1526_2_badger_2015-10-01,45_d500_191_0_badger_2012-08-01,45_d500_57_687_0_badger_2020-02-01,45_d500_61_0_badger_2020-02-01,45_d500_61_1_badger_2020-02-01,45_d500_61_2_badger_2019-06-01,45_d500_99_716_0_badger_2017-01-01,45_d500_99_716_1_badger_2018-06-01,45_d500_99_716_2_badger_2020-02-01,45_d500_99_716_3_badger_2018-06-01,45_d500_99_766_0_badger_2009-11-01,45_d500_99_766_1_badger_2020-02-01,64349068_0_cattle_2014-05-01,64349068_10_cattle_2014-05-01,64349068_11_cattle_2014-05-01,64349068_12_cattle_2014-05-01,64349068_13_cattle_2014-05-01,64349068_14_cattle_2014-05-01,64349068_15_cattle_2014-05-01,64349068_16_cattle_2014-05-01,64349068_17_cattle_2014-05-01,64349068_1_cattle_2014-05-01,64349068_2_cattle_2014-05-01,64349068_3_cattle_2014-05-01,64349068_4_cattle_2014-05-01,64349068_5_cattle_2014-05-01,64349068_6_cattle_2014-05-01,64349068_7_cattle_2014-05-01,64349068_8_cattle_2014-04-01,64349068_9_cattle_2014-05-01,64349_0_boar_2015-03-01,64349_10_boar_2013-10-01,64349_11_boar_2016-12-01,64349_13_boar_2017-06-01,64349_14_boar_2014-11-01,64349_15_boar_2014-04-01,64349_16_boar_2017-12-01,64349_17_boar_2016-09-01,64349_19_boar_2017-05-01,64349_1_boar_2017-01-01,64349_20_boar_2014-09-01,64349_21_boar_2017-05-01,64349_25_boar_2018-09-01,64349_2_boar_2012-01-01,64349_3_boar_2014-07-01,64349_4_boar_2012-03-01,64349_5_boar_2014-03-01,64349_6_boar_2014-04-01,64349_7_boar_2015-05-01,64349_8_boar_2012-11-01,64349_9_boar_2014-03-01,64359_2_boar_2019-04-01,64359_3_boar_2018-04-01,64359_4_boar_2019-06-01,64420009_0_cattle_2017-03-01,64420009_1_cattle_2017-07-01,64420009_2_cattle_2017-03-01,64420009_3_cattle_2017-03-01,64420009_4_cattle_2017-03-01,64420009_5_cattle_2017-04-01,64420009_6_cattle_2017-07-01,64420009_7_cattle_2017-07-01,64420009_8_cattle_2017-10-01,64420012_0_cattle_2011-04-01,64420012_10_cattle_2011-08-01,64420012_11_cattle_2011-08-01,64420012_12_cattle_2011-04-01,64420012_13_cattle_2011-07-01,64420012_14_cattle_2011-08-01,64420012_1_cattle_2010-05-01,64420012_2_cattle_2011-07-01,64420012_3_cattle_2011-08-01,64420012_4_cattle_2011-08-01,64420012_5_cattle_2011-08-01,64420012_6_cattle_2011-08-01,64420012_7_cattle_2011-08-01,64420012_8_cattle_2011-08-01,64420012_9_cattle_2011-08-01,64420015_0_cattle_2007-07-01,64420015_1_cattle_2007-08-01,64420015_2_cattle_2007-08-01
0,0,0,0,3.999200159968006e-4,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0.00539892021595681,0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0.08338332333533338,0,0,0.3183363327334516,0,0.010397920415916811,7.998400319936012e-4,0,0.006598680263947213,0.03699260147970396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004399120175964808,0.001399720055988802,0,0.013197360527894405,0.07918416316736684,0,0,0,0.03539292141571676,0.3315336932613446,3.999200159968006e-4,0,0,9.998000399920016e-4,0,0,0,0.3567286542691403,0,3.999200159968006e-4,0,0,0,0.02139572085582879,5.998800239952009e-4,0,0.002599480103979204,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0.008198360327934416,0.046990601879623936,0,0.01079784043191361,0.005598880223955211,0.03639272145570876,0,0,0.047990401919615934,0.0019996000799840027,0.008198360327934416,0,0.002599480103979204,0,0,0.03999200159967995,0,0,0,0.028594281143771175,0,0,0,0,0,0.0045990801839632086,0.00519896020795841,0.002999400119976005,0.001399720055988802,0.012197560487902407,0.0045990801839632086,0.004399120175964808,0.0031993601279744054,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5158968206358499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,3.999200159968006e-4,0,0.004199160167966408,0,0,0.17756448710258285,0,0,0,0,0,3.999200159968006e-4,0,0,0.08898220355928876,0.237152569486108,0.13977204559088402
0.04859028194361113,0.16276744651070077,0,0,0,0,0,0,0,0,0,0,0,0,0.024195160967806384,0,0,0,0,0.013197360527894405,0.014797040591881602,0.0157968406318736,0.046990601879623936,0.013397320535892805,0.09978004399120272,0.011397720455908809,0.06438712257548476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05998800239951991,0.10877824435113101,0.07278544291141784,0.003399320135972806,0.010397920415916811,0.0027994401119776045,0.00519896020795841,0.014597080583883202,0.0031993601279744054,0.012197560487902407,0.008798240351929614,0.013397320535892805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0011997600479904018,0.013597280543891204,0,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0,0,0,0,0,1.999600079984003e-4,0.05598880223955192,0.003999200159968007,0.01059788042391521,5.998800239952009e-4,0.0011997600479904018,0.002599480103979204,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009398120375924813,0.001399720055988802,0.052189562087582325,1.999600079984003e-4,1.999600079984003e-4,0,3.999200159968006e-4,5.998800239952009e-4,0,0,3.999200159968006e-4,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.999600079984003e-4,0,0,0,0,0,9.998000399920016e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07918416316736684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519896020795841,0,0,0.0017996400719856025,0,0.0023995200959808036,1.999600079984003e-4,0,1.999600079984003e-4,0.07998400319936047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7.998400319936012e-4,0,0,0.03179364127174557,0.16236752649470396,0.003399320135972806,0,0,0,0,0,0,0,0,0,0,0.05818836232753431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,1.999600079984003e-4,0,0,0,0,0,0,0.0023995200959808036,0,0,0,0,0,0,0,0,0,0,0,0.14957008598280594,0,0.10697860427914535,0,0,0,0.04119176164767035,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.007798440311937616,0.007598480303939215,9.998000399920016e-4,0.014797040591881602,0.023995200959807984,0.0067986402719456135,0,0.024795040991801583,0.009398120375924813,0.003999200159968007,0.0035992801439712063,0.08758248350329992,0.12777444511097963,0.00539892021595681,0.008198360327934416,0,0,0
0.0035992801439712063,0,0,0.02099580083983199,0.04639072185562874,0,0,0,0.03479304139172156,0.254149170165972,0,0.29794041191761694,0,0.0011997600479904018,0,0,0,0,0,0,0,0,0,0.007198560287942414,0.004399120175964808,0,0.0023995200959808036,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0.009998000399920012,0.042191561687662346,0,0.01099780043991201,1.999600079984003e-4,0.033393321335732765,0,0,0.03999200159967995,0.001399720055988802,0.0035992801439712063,0,5.998800239952009e-4,1.999600079984003e-4,0,0.04399120175964794,0,0,0,0.027794441111777576,0,0,0,3.999200159968006e-4,3.999200159968006e-4,0.0027994401119776045,1.999600079984003e-4,0.0017996400719856025,0.0019996000799840027,0.00519896020795841,0.0011997600479904018,0.001399720055988802,0.0027994401119776045,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.03179364127174557,1.999600079984003e-4,0,0.19876024795041394,0.03919216156768635,0.04419116176764634,0,0,0,0,0,0,0,0,0.024995000999799982,0,0,0,0,0,0,0,0,0,0,0,0,0.0023995200959808036,0.00519896020795841,0.0019996000799840027,0,0,1.999600079984003e-4,0.0035992801439712063,0,0.0011997600479904018,0,0,1.999600079984003e-4,0.019596080783843194,7.998400319936012e-4,0.0157968406318736,0.0011997600479904018,0.003999200159968007,5.998800239952009e-4,0,0.04479104179164154,0,0,0,9.998000399920016e-4,0,0,0,0,0.001399720055988802,0,0,0.04579084183163354,0,0.13177364527094776,0.009998000399920012,0.0031993601279744054,0,0.21535692861428168,0.008198360327934416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01079784043191361,0.019596080783843194,0,0,0,0,0
0.0067986402719456135,0.010197960407918412,0,0,0,0,0,0,0,0,0,0,0,0.010197960407918412,9.998000399920016e-4,0,0,0,0,0,5.998800239952009e-4,5.998800239952009e-4,0.0031993601279744054,0.001399720055988802,0.012197560487902407,5.998800239952009e-4,0.010197960407918412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0.04999000199959993,0.004199160167966408,0,5.998800239952009e-4,0,3.999200159968006e-4,0.001399720055988802,9.998000399920016e-4,0.004199160167966408,7.998400319936012e-4,0.0027994401119776045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
