45_d500_124_0_badger_2012-07-01,45_d500_152_0_badger_2015-08-01,45_d500_156_0_badger_2011-11-01,45_d500_157_858_0_badger_2010-05-01,45_d500_157_858_1_badger_2015-08-01,45_d500_157_858_2_badger_2018-05-01,45_d500_157_858_3_badger_2015-07-01,45_d500_157_858_4_badger_2018-02-01,45_d500_159_855_2_badger_2011-07-01,45_d500_169_0_badger_2017-01-01,45_d500_170_0_badger_2014-09-01,45_d500_170_1_badger_2012-06-01,45_d500_170_2_badger_2014-06-01,45_d500_171_0_badger_2015-06-01,45_d500_78_668_0_badger_2016-07-01,45_d500_99_839_0_badger_2009-11-01,64002002_0_cattle_2013-10-01,64002002_10_cattle_2015-03-01,64002002_11_cattle_2015-03-01,64002002_12_cattle_2015-03-01,64002002_13_cattle_2015-03-01,64002002_14_cattle_2015-03-01,64002002_15_cattle_2019-04-01,64002002_16_cattle_2018-12-01,64002002_17_cattle_2018-12-01,64002002_18_cattle_2018-12-01,64002002_19_cattle_2018-12-01,64002002_1_cattle_2013-10-01,64002002_20_cattle_2019-04-01,64002002_2_cattle_2013-10-01,64002002_3_cattle_2013-09-01,64002002_4_cattle_2013-09-01,64002002_5_cattle_2013-10-01,64002002_6_cattle_2013-10-01,64002002_7_cattle_2013-10-01,64002002_8_cattle_2015-03-01,64002002_9_cattle_2015-03-01,64002_0_boar_2014-04-01,64002_10_boar_2020-02-01,64002_1_boar_2013-12-01,64002_2_boar_2014-09-01,64002_3_boar_2014-07-01,64002_4_boar_2019-03-01,64002_5_boar_2020-02-01,64002_6_boar_2019-02-01,64002_7_boar_2020-02-01,64002_8_boar_2020-02-01,64002_9_boar_2020-02-01,64201006_0_cattle_2009-04-01,64201007_0_cattle_2017-03-01,64201007_10_cattle_2017-03-01,64201007_11_cattle_2017-03-01,64201007_12_cattle_2017-03-01,64201007_13_cattle_2017-03-01,64201007_14_cattle_2017-03-01,64201007_15_cattle_2017-03-01,64201007_16_cattle_2017-03-01,64201007_17_cattle_2017-03-01,64201007_18_cattle_2017-03-01,64201007_19_cattle_2017-03-01,64201007_1_cattle_2017-03-01,64201007_20_cattle_2017-03-01,64201007_21_cattle_2017-03-01,64201007_2_cattle_2017-03-01,64201007_3_cattle_2017-02-01,64201007_4_cattle_2017-03-01,64201007_5_cattle_2017-03-01,64201007_6_cattle_2017-03-01,64201007_7_cattle_2017-03-01,64201007_8_cattle_2017-03-01,64201007_9_cattle_2017-03-01,64281003_0_cattle_2014-12-01,64281003_1_cattle_2015-02-01,64281003_2_cattle_2015-02-01,64281003_3_cattle_2015-02-01,64281003_4_cattle_2015-02-01,64281003_5_cattle_2017-01-01,64281008_0_cattle_2015-01-01,64281_0_boar_2016-02-01,64281_1_boar_2017-03-01,64281_2_boar_2020-02-01,64281_3_boar_2016-03-01,64359189_0_cattle_2015-02-01,64359189_1_cattle_2015-04-01,64359189_2_cattle_2015-04-01,64359189_3_cattle_2015-02-01,64359189_4_cattle_2015-02-01,64359189_5_cattle_2015-03-01,64359189_7_cattle_2018-09-01,64359_0_boar_2015-02-01,64359_1_boar_2017-09-01,64399021_0_cattle_2019-07-01,64399021_1_cattle_2019-05-01,64399021_2_cattle_2019-07-01,64399021_3_cattle_2019-05-01,64399034_0_cattle_2019-03-01,64399_0_boar_2020-02-01,64420015_0_cattle_2008-06-01,64420015_10_cattle_2018-03-01,64420015_1_cattle_2008-06-01,64420015_2_cattle_2008-05-01,64420015_3_cattle_2011-08-01,64420015_4_cattle_2011-07-01,64420015_5_cattle_2011-08-01,64420015_6_cattle_2011-08-01,64420015_7_cattle_2011-08-01,64420015_9_cattle_2018-03-01,64420035_10_cattle_2011-07-01,64420035_11_cattle_2011-07-01,64420035_12_cattle_2012-12-01,64420035_13_cattle_2013-02-01,64420035_15_cattle_2014-02-01,64420035_16_cattle_2016-02-01,64420035_17_cattle_2016-06-01,64420035_1_cattle_2011-05-01,64420035_2_cattle_2011-05-01,64420035_3_cattle_2011-05-01,64420035_4_cattle_2011-05-01,64420035_6_cattle_2011-07-01,64420035_7_cattle_2011-05-01,64420039_0_cattle_2011-12-01,64420039_1_cattle_2011-12-01,64420039_2_cattle_2011-12-01,64420039_3_cattle_2012-02-01,64420039_4_cattle_2011-12-01,64420039_5_cattle_2011-12-01,64420039_6_cattle_2011-12-01,64420039_7_cattle_2011-12-01,64420039_8_cattle_2011-12-01,64420047_0_cattle_2013-12-01,64420047_1_cattle_2013-12-01,64420047_2_cattle_2013-12-01,64472021_0_cattle_2017-12-01,64472021_10_cattle_2017-11-01,64472021_11_cattle_2017-12-01,64472021_12_cattle_2017-12-01,64472021_13_cattle_2017-12-01,64472021_14_cattle_2017-12-01,64472021_1_cattle_2017-12-01,64472021_2_cattle_2017-08-01,64472021_3_cattle_2017-12-01,64472021_4_cattle_2017-09-01,64472021_5_cattle_2017-12-01,64472021_6_cattle_2017-12-01,64472021_7_cattle_2017-12-01,64472021_8_cattle_2017-09-01,64472021_9_cattle_2017-12-01,64472_0_boar_2017-08-01,64472_1_boar_2017-12-01,64472_2_boar_2020-02-01,64472_3_boar_2019-07-01,6_d500_20_0_badger_2019-04-01,6_d500_20_1_badger_2019-09-01,6_d500_20_2_badger_2018-08-01,6_d500_20_3_badger_2019-09-01,6_d500_24_256_0_badger_2020-02-01,6_d500_2_0_badger_2020-02-01,6_d500_9_0_badger_2019-06-01,6_d500_9_1_badger_2020-02-01,6_d500_9_2_badger_2020-02-01,6_d500_9_3_badger_2019-08-01
0,0,0,0,0,0,0,0,0,0,0,0,0.048190361927614334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0,0.001399720055988802,0,0.014197160567886403,0,0,0,0.056388722255548716,0,3.999200159968006e-4,0.4103179364127058,0.03119376124775037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067986402719456135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037992401519696068,0,0,0,0,0,0,7.998400319936012e-4,0,0,9.998000399920016e-4,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067986402719456135,0,0,0,0,0,0,0,0.003399320135972806,0,0.0027994401119776045,0.0067986402719456135,0,0.08678264347130629,0.018596280743851196,0.004399120175964808,0.013597280543891204,0.15676864627074857,0.10277944411117881,0.13777244551089995,0.003999200159968007,0.0045990801839632086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.07978404319136206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,7.998400319936012e-4,0,0.020195960807838392,0,0,0,0.07498500299940031,0,3.999200159968006e-4,0.07718456308738278,0.3795240951809555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009598080383923213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.009198160367926414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0.007598480303939215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,3.999200159968006e-4,0.033593281343731164,0.001399720055988802,3.999200159968006e-4,0,0.0015996800639872023,0.0015996800639872023,0.0067986402719456135,0.0011997600479904018,0.002999400119976005,0,0.0035992801439712063,7.998400319936012e-4,0.002199560087982403,0,3.999200159968006e-4,0.15316936612677726,0,0.003399320135972806,0.10697860427914535,0.002199560087982403,0.005598880223955211,0.22135572885423388,0.008998200359928014,0.04359128174365114,0.011997600479904008,0.056988602279543915,0,0,0.042191561687662346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,7.998400319936012e-4,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10437912417516607,0.33473305338931864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.2511497700459963,0,0,0,0,0.005998800239952012,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1483703259348155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049990001999600095,0,0.0045990801839632086,0.018796240751849595,0,0,0,0,0,0,7.998400319936012e-4,0.05378924215156952,0,0,0,0,0,0.012797440511897606,0.00539892021595681,0.06018796240751831,0.0037992401519696068,0.002199560087982403,0.08358328334333179,0.002999400119976005,3.999200159968006e-4,0.0015996800639872023,5.998800239952009e-4,3.999200159968006e-4,0.0011997600479904018,0,0.0017996400719856025,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.001399720055988802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022195560887822388,0,0.38252349530093116,0.001399720055988802,0.004399120175964808,0.02599480103979198,0.003399320135972806,0.14137172565487127,0,0,0.0037992401519696068,0,0.04059188162367515,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11277744451109914,0.07718456308738278,0.42891421715655503,0.09038192361527761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08538292341531745,0.11717656468706408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0.012197560487902407,1.999600079984003e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,0.07418516296740668,0,0.06518696260747839,0.07538492301539712,0.44491101779642533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06978604279144174,0.08298340331933657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013997200559888004,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20195960807838845,0,0,0.047990401919615934,0.03679264147170556,0,0.028194361127774376,0.037592481503699156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10497900419916129,0.08338332333533338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998000399920016e-4,0.5732853429313846,0.200759848030398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
